layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,3.7169192021563546e-06,1.8362426684192368e-12,9.715043131134417e-07,6.784812889316962e-06,1.720012357390076e-06,1.0891799368653726e-06,0.0075379349788279,-2.2099347608501785,0.0
parameters/classifier.out_proj.bias,1.3915451066609498e-07,2.2801717835167935e-14,8.547366287593824e-08,6.467737848636935e-07,5.186946831953538e-07,1.6118784123550624e-07,-0.2373902686118388,-1.2251090260243052,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,1.469776637979025e-07,2.3198659744230692e-14,8.512704528281236e-08,7.016572080836454e-07,1.710886650903091e-07,1.621180218675661e-07,0.2437264912397571,0.5428114047730571,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.90153271868813e-07,1.6676717356215537e-14,1.0725320971866341e-07,7.306820162895874e-07,2.8617037645990804e-07,1.6853777048659873e-07,-0.1459396000003801,10.933717640278108,0.0286644048181279
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,2.7760550603343784e-05,6.806320729962288e-10,1.101807434090379e-05,7.836252313163203e-05,7.836252313163203e-05,2.2722131024537517e-05,-2.5002245264621457,10.524311329780874,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,3.257700712421986e-09,2.9029042636226464e-18,1.0865977693211442e-09,7.907368267509787e-09,1.5612942096949722e-09,1.660697221647591e-09,0.1517832506183853,0.0735266562998387,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.5992692235030293e-06,8.264247562295845e-14,1.1657247023501742e-06,2.2928820068292235e-06,1.8452788867019815e-06,2.4000293413643475e-07,0.5892874289487284,2.2915581120641613,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.756603312003639e-06,1.841222628409865e-13,1.0517594714083894e-06,2.5698908001350465e-06,2.005810506651382e-06,4.853797186949337e-07,2.0432180941488816,151.50790863137428,0.0369605993005512
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,3.233849629703468e-07,7.597271076438659e-15,1.0845848828437097e-07,4.670706076382e-07,4.16105401393473e-07,9.759412519153833e-08,2.1662484670394933,39.778981559095335,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,7.052693951786752e-06,6.396696154481823e-12,8.066054843383367e-07,9.527524488920869e-06,4.306868563941102e-06,2.4793400099841137e-06,0.5335832919412379,117.5684373232112,0.0
