layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.0441846557784403e-09,1.3911415965827241e-18,1.2010966192518418e-09,5.595678868546967e-09,5.595678868546967e-09,0.0219668149300707,-2.779122482896783,2.0895731600691527,0.0
parameters/classifier.out_proj.bias,1.0337717882053909e-07,9.396714310234029e-18,8.112967308666246e-08,1.2164033045010426e-07,8.112967308666246e-08,0.0156209387150936,-1.6290495806577971,2.3363172630017,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,4.239764160141034e-07,2.1474086063341613e-14,9.266598520560881e-08,4.525796312783338e-07,9.266598520560881e-08,0.1459699956957089,1.7539421477606498,3.8238916877593097,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,2.9390793765498335e-08,3.5727922624158295e-16,9.82529795633084e-09,7.922790376186298e-08,7.922790376186298e-08,0.0737079822746415,2.58244392770303,12.082853774915456,0.0777936086870806
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,3.6416418804306174e-06,5.1080296589439055e-12,1.013340718522778e-06,8.25785128902446e-06,1.013340718522778e-06,0.0229356769549387,3.953219290442812,24.104211752151613,0.0194440618154371
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,1.2890537591695615e-08,1.0724210656713021e-18,8.290926730064084e-09,1.2890537591695615e-08,1.2890537591695615e-08,0.0572984188825851,0.4066671712500083,-0.0837413930603389,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,3.4965858400096477e-06,3.182724493129552e-12,8.473255142074899e-07,5.943322510293462e-06,5.943322510293462e-06,0.0832489253727788,1.2817437211907166,1.7539675852490126,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.348693592835736e-07,1.3645195670563844e-16,1.2302406683064424e-07,1.7014604283960557e-07,1.7014604283960557e-07,0.1084210061230814,1.087218969850803,2.569298999430331,0.0
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.591459669356542e-09,4.296969984668208e-18,8.672131276590845e-10,6.649291336867261e-09,6.649291336867261e-09,0.0449983755290781,1.2206015866468714,3.369336171101766,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,2.0457740270444225e-07,2.6078017280731548e-15,1.170512420780651e-07,2.82697835312219e-07,2.82697835312219e-07,0.0417940390887696,2.9523234477289666,15.112290404129835,0.0432118670117697
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,8.520890480985565e-09,6.205976326557318e-18,8.384804547306159e-10,8.520890480985565e-09,8.520890480985565e-09,0.0826096104990801,1.2401816819990248,3.0009850932826767,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,4.028002045076032e-08,2.7960449720503133e-16,8.682001666033546e-09,7.583660721739411e-08,8.682001666033546e-09,0.0524370239020792,3.399222079782327,9.302412213759457,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,2.4987416229599093e-05,6.146002783288345e-11,9.68288702736218e-06,3.782248040040213e-05,9.68288702736218e-06,0.0495207051101988,4.800046766898765,23.625260732542085,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,1.698055678370213e-06,1.0081189726302106e-13,1.0746662693997085e-06,2.2020569128492573e-06,2.2020569128492573e-06,0.1199739402589063,0.1972991676577431,-0.1380500951984629,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,2.3000705514955319e-07,2.6685158416700345e-14,9.161475429207285e-08,7.633085965890922e-07,7.633085965890922e-07,0.0824818847229581,1.121009201688443,1.793105841241102,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,3.3974398905176315e-06,5.706469269808152e-13,1.0866696643624998e-06,4.128720686145007e-06,1.0866696643624998e-06,0.0878980146229985,2.332767230896476,4.6724622667604,0.0
parameters/encoder.roberta.encoder.layer.1.intermediate.dense.bias,3.7722277578789634e-08,1.5563043276294141e-16,1.3170058856237636e-08,6.430809304328385e-08,6.430809304328385e-08,0.0459796849827813,1.5269822357060971,2.7621158898221947,0.0
parameters/encoder.roberta.encoder.layer.1.output.dense.bias,1.661512054311752e-08,7.685965443932962e-16,9.814954960657208e-09,1.097022154780868e-07,9.814954960657208e-09,0.0399157402961325,3.072899045040089,10.870045148031217,0.0
parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.bias,2.752026866753963e-06,3.0521576320629073e-13,1.0370088012290818e-06,2.752026866753963e-06,2.752026866753963e-06,0.1230829943962739,0.4197657137279365,-0.4449619110918545,0.0449319880248117
parameters/encoder.roberta.encoder.layer.2.attention.self.query.bias,3.245714852145978e-07,7.520921131106283e-15,1.2331290680172324e-07,3.814679403289762e-07,1.2331290680172324e-07,0.0591751002655517,2.540840699482523,9.124505199750558,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.key.bias,2.356941082985427e-06,1.473003917502054e-12,1.0005240183091495e-06,5.702473139285918e-06,5.702473139285918e-06,0.059138106900624,4.986045510461399,20.724786050277476,0.0322738125217065
parameters/encoder.roberta.encoder.layer.2.attention.self.value.bias,3.671498799811283e-09,3.813286971341657e-18,1.0774591541543571e-09,7.54167729871188e-09,7.54167729871188e-09,0.1563440895645564,0.330321834750234,-0.4226605328289518,0.0
parameters/encoder.roberta.encoder.layer.2.attention.output.dense.bias,1.0518898191154854e-08,3.0999630315915046e-16,1.0518898191154854e-08,8.22971254393174e-08,1.0518898191154854e-08,0.0785645984948401,1.3811308304731529,1.9948651233999248,0.0568571794505311
parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.bias,3.15400082273379e-06,7.1218529147469465e-12,1.0520940602655568e-06,9.366990791859067e-06,9.366990791859067e-06,0.055416730366472,1.239370880153542,3.9163486879792777,0.0543248501398254
parameters/encoder.roberta.encoder.layer.2.intermediate.dense.bias,3.4720348253383147e-06,9.479595556278189e-13,1.0209163787016986e-06,3.4720348253383147e-06,1.0209163787016986e-06,0.0441015210949281,2.045306275809091,4.833731670354101,0.0
parameters/encoder.roberta.encoder.layer.2.output.dense.bias,5.155618645180263e-07,3.996163918732199e-14,1.143139890012531e-07,7.329908806127125e-07,7.329908806127125e-07,0.0450231187706833,2.6403486953702417,11.953320632063626,0.0424613305635303
parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.bias,1.383971535247565e-09,1.1748978936582474e-18,1.1111751449700119e-09,6.544394506769334e-09,6.544394506769334e-09,0.1710180800892636,0.1348761084618372,-0.7984960530964087,0.0571686311863034
parameters/encoder.roberta.encoder.layer.3.attention.self.query.bias,2.3105784789344475e-07,3.486284958814087e-14,9.700214812489345e-08,8.118792546134049e-07,9.700214812489345e-08,0.0605509487116422,2.3043034864050345,6.608254335939847,0.0671899666999667
parameters/encoder.roberta.encoder.layer.3.attention.self.key.bias,3.663103545829397e-09,5.459786814421219e-19,9.28307264494284e-10,3.954799301117857e-09,9.28307264494284e-10,0.0613767426819348,3.010358090739421,18.55655589717764,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.value.bias,1.1911460992046142e-07,8.577781475838912e-15,1.0005825198414665e-07,3.8194968673183946e-07,3.8194968673183946e-07,0.1535685561470352,0.2933543246482417,0.0124573234138887,0.0167039263376901
