layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.6609655461488463e-06,1.9999019257701163e-12,1.0727755288949713e-06,5.56073854464188e-06,1.464799774491892e-06,1.2652678667510807e-06,0.1527654551622589,-1.9066128080354543,0.0912637349522196
parameters/classifier.out_proj.bias,1.5598635759320145e-07,2.5061483013451228e-14,1.10472175899647e-07,6.37240596350546e-07,3.881183171438661e-07,1.7092476151333625e-07,-0.124973289684537,-1.4925205275000528,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,1.1814868304601273e-07,3.892591159791248e-14,1.130678498586368e-07,6.652055658026458e-07,1.802620070409879e-07,1.7337800120334798e-07,0.127880110825434,0.808926908206113,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,4.630994177635503e-07,2.100086123470425e-14,1.105391283060478e-07,7.362524724340953e-07,2.549430487079194e-07,1.6969521745427698e-07,0.0260775522033985,12.740716039546587,0.0663032051205189
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,3.117841683684498e-05,5.331392794427261e-10,1.1695862807009331e-05,0.0001187442449211,9.316725617410553e-05,2.635964127683555e-05,-2.0395197417048836,9.836786189243254,0.0129046560881373
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,2.3708885865640427e-09,3.230778027784706e-18,1.0666837744714304e-09,6.0060751375472915e-09,1.2493571573126907e-09,1.7106047577951554e-09,0.2985026641667336,-0.0859228335676071,0.0010842025561952
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.3641355958158476e-06,1.210310181157995e-13,8.950055676443485e-07,1.679713312923684e-06,1.3012730938925322e-06,3.747565929819093e-07,0.6679983205919565,2.442641892114844,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,2.198588184836975e-06,2.1783792760520882e-13,8.709831579748276e-07,2.198588184836975e-06,2.198588184836975e-06,4.991137999775994e-07,2.437552245712569,138.4274745917234,0.030389409282147
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,3.362601200031349e-07,7.202451587439936e-15,1.2679225612485016e-07,3.869444833834592e-07,3.869444833834592e-07,1.0529901917763383e-07,1.83321489148878,36.379696806485974,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,8.189063226983281e-06,6.141089510055309e-12,8.583387349196668e-07,9.312197271477863e-06,5.687501303665578e-06,2.722004110419579e-06,0.4415975245940471,110.79065897214512,0.0798137782796021
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,4.0888295849791945e-07,5.5775368456348256e-14,1.1528065938581097e-07,8.051330350758587e-07,1.4648886447722817e-07,2.473745461588359e-07,1.4139078614693228,17.432464417845143,0.1049989695214574
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,2.1545585101010106e-07,1.1982388031632272e-14,8.89070901452162e-08,5.545354618043445e-07,2.404655692077432e-07,1.1073604853146555e-07,-0.0020279016038734,0.0405696978660934,0.064156820204305
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,1.04895438103819e-06,5.4097720853878826e-14,9.176377083530368e-07,1.7380234820719914e-06,1.5074462821946235e-06,2.632477482024704e-07,0.2373481775203275,1.4219998813270929,0.0454200477082187
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,2.1023607039474134e-06,8.224964768049966e-14,9.228818741523526e-07,2.1023607039474134e-06,1.3674984532274485e-06,2.724045415607857e-07,0.0580864346481444,7.264328778714222,0.0361556682810196
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,1.276561576180313e-09,3.5888299544089033e-20,9.509882223228904e-10,1.7276806042079e-09,1.637533593464404e-09,1.8028093260698368e-10,-0.0220541821832589,-0.1494324628711798,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,4.5889096511477806e-05,1.0687267202652468e-10,1.000720672027843e-05,5.15271527310259e-05,3.2378109150209176e-05,1.1675980305246024e-05,0.1022509674834409,11.096391689134126,0.0
parameters/encoder.roberta.encoder.layer.1.intermediate.dense.bias,4.651238301983605e-07,4.06362487349448e-14,1.0429564349873325e-07,9.723225297584575e-07,5.605641211264428e-07,2.0716018238085755e-07,2.244622791085258,19.92414683948203,0.0675376057807334
parameters/encoder.roberta.encoder.layer.1.output.dense.bias,1.4890948873016246e-07,1.910224803968061e-14,9.158492458808517e-08,5.543008355343131e-07,1.0365649005547359e-07,1.4720849913094474e-07,-0.1315281750096494,49.796901361792614,0.0294272279475583
parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.bias,4.352804557140952e-06,6.938048883119598e-12,1.238233172939234e-06,9.773018090941955e-06,5.401148727720357e-06,2.395848378808459e-06,0.1997472900193736,0.823600930796058,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.query.bias,9.07084105166114e-05,5.560488643332842e-10,9.215530067390594e-06,0.0001064773112483,1.1515535908804223e-05,2.3731937078616225e-05,-0.1786873119294335,10.72948196668619,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.key.bias,5.9228259513205255e-09,7.805201106730483e-18,1.2970694294803954e-09,1.2424925716126725e-08,6.399061440690881e-09,3.0433717498474192e-09,-1.8392824125229763,22.465345065626384,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.value.bias,4.003801287504656e-07,6.763501043324104e-14,1.0933037597637529e-07,8.33773531091195e-07,1.426323869028565e-07,2.223375994675752e-07,-0.0990023474020104,0.2504407713359605,0.0632489626167124
parameters/encoder.roberta.encoder.layer.2.attention.output.dense.bias,1.862128699210534e-07,5.904744214978188e-15,1.0989836215169289e-07,3.630974370648701e-07,1.27387735595161e-07,6.174161663097936e-08,-0.1356529908096644,0.5481708753179293,0.0398335762537064
parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.bias,4.9740983445683205e-09,7.967889436864883e-18,9.79796620886627e-10,8.589433473861812e-09,7.646024465013778e-09,2.822671577755769e-09,-1.0742759733734186,87.44516086049144,0.0610773561361167
parameters/encoder.roberta.encoder.layer.2.intermediate.dense.bias,7.524097097902096e-07,4.6915682483433134e-14,7.866707969047023e-08,8.147930178521348e-07,7.759331330834064e-07,2.2696008122404801e-07,0.4862555697863399,23.30667878167825,0.0292357791779995
parameters/encoder.roberta.encoder.layer.2.output.dense.bias,1.2018019128636896e-07,5.436113708939067e-14,8.260821964293756e-08,1.0188289325186853e-06,1.1169654264648625e-07,2.270594810840851e-07,-0.1172058330543007,93.20460691422868,0.0
parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.bias,5.694148730575679e-05,2.1919719083974427e-10,9.335370112083284e-06,5.694148730575679e-05,2.802231564462406e-05,1.281822616440535e-05,-0.2458600614213177,2.9568735743410177,0.0288097034571455
