layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,3.106886315016683e-06,1.5512066309821533e-12,1.0867364765103643e-06,4.420717495153646e-06,1.4161656429325494e-06,1.3056948881097502e-06,-0.2322551304385689,-1.754551103191755,0.0766988272847605
parameters/classifier.out_proj.bias,1.0677146749331405e-07,1.9637780112177823e-14,1.0677146749331405e-07,5.57293018865598e-07,3.366542256459551e-07,1.2220873861027097e-07,-0.0453393675896499,-1.168094211694066,0.0369071650728736
parameters/encoder.roberta.embeddings.LayerNorm.bias,1.3206962947681276e-07,3.2704062323954165e-14,1.082258267652991e-07,6.297544947533615e-07,2.0809165994362826e-07,1.602592874334046e-07,0.2277971061715483,0.3856869940853188,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,4.6692792519439163e-07,1.6318875512512707e-14,8.248026690694755e-08,5.086578528936638e-07,2.5580322066672354e-07,1.42892717162046e-07,0.0618800394799586,10.398608900478012,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,2.52328355730817e-05,6.615245630678628e-10,9.82971416943861e-06,9.68492611063188e-05,9.68492611063188e-05,2.3584126026348066e-05,-2.3538327809524584,8.474541295738636,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,2.5786973679214923e-09,3.4099914700218653e-18,1.014225767868587e-09,5.904708413043925e-09,1.6959519598433212e-09,2.0147969172389663e-09,0.3753255880309588,-0.0192603219849788,0.0125081330722941
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.3480035590145975e-06,1.0436856118271764e-13,8.15284939787178e-07,1.803297121926595e-06,1.4733796032357928e-06,2.649920985283838e-07,0.7856799536799856,2.1487503958023355,0.018739077331792
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,2.4070249982319073e-06,2.579889310549637e-13,8.740733861952829e-07,2.4070249982319073e-06,2.1731306167332676e-06,4.113654534104445e-07,2.9566487063341023,155.41727027326715,0.0
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,3.4363925054049157e-07,7.863346503107423e-15,7.766886155981129e-08,3.4363925054049157e-07,3.050176911015477e-07,8.695567693343637e-08,2.133693210412094,40.22423043715481,0.0877217807269184
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,8.566728245583471e-06,5.3686328563689506e-12,9.867708225615831e-07,1.1331309907633427e-05,6.295614870381974e-06,2.43717567691604e-06,0.5085522450713715,117.9877585370965,0.0592110272648346
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,3.33722537832838e-07,5.0945909021619956e-14,9.17988793585542e-08,6.990450979551607e-07,1.3289780001070752e-07,2.0706982220029026e-07,1.3321654759861536,19.110869028804576,0.0746990533246023
