layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.234057004902538e-09,1.721702278439444e-18,1.084369786759999e-09,5.078477683646403e-09,5.078477683646403e-09,0.0197399127005538,-2.112773917406163,2.1710204771867776,0.0
parameters/classifier.out_proj.bias,9.738047417485207e-08,7.698571046551764e-18,8.324972368809073e-08,1.1243850190793889e-07,8.324972368809073e-08,0.0214741584203452,-1.4187507723514703,2.3504428357021094,0.0354298076059442
parameters/encoder.roberta.embeddings.LayerNorm.bias,5.860817785901094e-07,2.1426318339450836e-14,1.1477188265488417e-07,6.101354241268271e-07,1.1477188265488417e-07,0.1525212082823756,1.7424518327452818,3.6564800498741974,0.0781062314461243
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.6881250337884174e-08,3.506442804370463e-16,1.1176731301083421e-08,9.95130046983194e-08,9.95130046983194e-08,0.0857384107661057,2.997764733808811,12.26637914223362,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,3.5367232975286185e-06,7.062488404774168e-12,1.0823597590001678e-06,9.027914936866136e-06,1.0823597590001678e-06,0.0284268980712457,3.930727326638077,17.678835398700688,0.0499027021533923
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,1.1412155230142628e-08,9.265805360530821e-19,8.142966536718057e-09,1.3013314218994052e-08,1.3013314218994052e-08,0.0662728870682716,0.4998756010460847,0.0769721291872278,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,4.188807664921903e-06,2.4560103541833908e-12,1.0025678540177254e-06,5.353849757066275e-06,5.353849757066275e-06,0.0858112239638762,1.0841379286477248,1.8547366437580544,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.3204523686305656e-07,1.0028422341716383e-16,9.951337185614553e-08,1.3204523686305656e-07,1.3204523686305656e-07,0.0979153850107669,1.1017969166335304,2.091368890604521,0.0
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.969164470596927e-09,3.353216617937458e-18,1.0381999312437662e-09,7.309337757728454e-09,7.309337757728454e-09,0.035379865957426,1.656259715748576,3.7088741327490906,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,2.5174402779657964e-07,2.0195369280102978e-15,1.2719379325030645e-07,3.263890522692382e-07,3.263890522692382e-07,0.0439903389671151,2.869245413138748,13.436717194617048,0.0807587547111335
