Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.010204028316618418,8.025750856556955e-05,0.008603736760788556,0.011359798677380042,0.009787900959562237,0.008958655511044548,-1.3930228632301367,0.5221800046802184,0.0
1,parameters/classifier.out_proj.weight,0.033464688436459535,3.2303537242868984e-06,0.02888011625223003,0.03736271470308815,0.032632757471484954,0.0017973184815960948,-1.2260509140617506,1.5165097586547298,0.0
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.01985066963929135,1.339860594480784e-05,0.016894735227007133,0.022597930030053115,0.01949559958162551,0.003660410625163144,2.03252794773511,3.4001626756376697,0.0
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.02815036309103728,5.691846257578564e-05,0.025468197856076107,0.03363577413625388,0.028387221508328602,0.007544432554923182,3.357544884885638,10.617936944442073,0.06951448940594614
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.010709396900656096,4.2401675755030735e-06,0.008982206704165722,0.013082328651382973,0.01117129642840736,0.0020591667187245246,4.570557802401447,20.481491358076358,0.0
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.023334550692829286,3.196717558343363e-05,0.02133733083283099,0.02752476144940944,0.023985946347774473,0.005653952209157154,1.2033482724863866,-0.27539778831051065,0.0
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.0348818771266613,8.653729596296168e-06,0.03064957169146476,0.041105768263608705,0.03562074030169511,0.0029417222160319652,1.6775483156637738,1.2956840363383362,0.07009724750566296
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.04536386938770062,4.2585770224502545e-05,0.03927816407179571,0.05366929356208862,0.045174394046873796,0.00652577736553294,1.8888197608556063,2.146729660776012,0.0
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.01486005681567191,2.3171618455241733e-05,0.0132750492708076,0.017610682993656798,0.015697977889363248,0.004813690731158452,2.1638774348342324,2.886858149443511,0.09571621709054229
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.040937659666164736,8.299444002144105e-05,0.033516540118146594,0.046862803531109484,0.041265916233705506,0.009110128430567787,3.570936576326407,12.844345659861256,0.0
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,0.014659471309720245,1.4815863939842693e-05,0.01147914397281032,0.016288662014763165,0.014347996670088374,0.0038491380775236166,2.175404299726324,3.0831496520162163,0.02984514026827292
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,0.008594307166575825,1.1602412839520174e-05,0.007232230692539748,0.009966303984060104,0.008523719057367736,0.0034062314718056874,3.0717615626114605,9.072239360684089,0.0
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,0.01222716677705966,2.2296235556202044e-05,0.01062679216335623,0.014944527485750255,0.012929914862441843,0.004721888981774285,4.834187786727562,23.448993853520108,0.09585692158046775
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,0.002671684846816408,6.229190598883475e-05,0.0025972822638310397,0.0036836498340392597,0.0031494134797716614,0.007892522156372664,0.880008484024316,-0.42004936504408036,0.023833112509837575
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,0.011669607917560925,2.5234124231767342e-05,0.008877279870652984,0.012861083737718361,0.010738496465944285,0.005023357864194672,1.8301175785697206,2.096484308086642,0.04337949101867314
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,0.0012572186877958032,3.725179948233962e-05,0.0013360398172478532,0.001807418641401278,0.0015473540094795854,0.006103425225423774,2.170662483524354,4.216726735171084,0.0
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,0.023450315443896096,1.6343676651361623e-05,0.020055385496446504,0.025862752082428025,0.023340036476222768,0.004042731335540529,2.0930023265378086,2.9276213141549814,0.0
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,0.012095402432682017,2.3932401889806747e-05,0.009756629194130504,0.013803266390168744,0.011518633889396281,0.004892075417428265,3.6933010471289323,12.206292703167552,0.0
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,0.04363502810164962,5.7021256752628566e-05,0.03505330389300787,0.04949262280360837,0.0430064024473041,0.007551242066880652,0.8569549833645871,-0.9107176261884437,0.0
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,0.04234396919831979,6.300447758697974e-05,0.035092377017615375,0.0499951366783454,0.04269020435600006,0.007937535989649377,3.044588103663969,8.453540026339677,0.08136760520090963
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,0.01690490122820733,2.911824933269314e-05,0.015848073078243492,0.020203465609465066,0.01772611357233371,0.0053961328127366285,4.706144111078681,23.36763795481046,0.0
