Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.010633591341531344,7.571809026201281e-05,0.008965931677721486,0.011838016625316349,0.010199946106172636,0.008701614233118595,-1.5812010597610988,0.5153645268985265,0.06963896817315195
1,parameters/classifier.out_proj.weight,0.03098106951301881,3.58159659933453e-06,0.02673674643208671,0.03458979944215874,0.03021088122619676,0.0018925106602961375,-1.1453328443489101,1.281262110777811,0.0
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.019853665590549303,1.208112589153057e-05,0.016897285055510445,0.022601340610055243,0.019498541944132794,0.0034757914050659064,2.3279173196538516,3.4228717792498307,0.022762051363080807
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.030132562977847,5.718389997741463e-05,0.027261533833459462,0.036004227696516046,0.03038609971386645,0.007562003701229836,3.272296918007412,10.127626480229369,0.0707777109623527
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.011943289097586081,4.398216533393761e-06,0.010017099225779454,0.01458962018146214,0.01245840676902413,0.0020971925360808914,4.540033721818205,19.985320369132786,0.01802494435953248
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.019583548806318022,3.251278148003785e-05,0.0179073797161095,0.023100188056863476,0.020130233367283774,0.005701998025257223,0.9656675681783725,-0.19233850111113038,0.030750350593080157
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.03714453914658544,8.910924006684232e-06,0.03263769926674979,0.043772151735809554,0.03793132972065225,0.002985117084250478,1.6918312131649778,1.2905497670613422,0.006270537539150612
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.044107747261751276,3.871214482931343e-05,0.03819055466758937,0.05218319486642293,0.04392351847883819,0.006221908455555495,2.037529457756292,2.260789217585333,0.04651871687754166
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.01340582650547076,2.443764936654324e-05,0.011975930481526632,0.01588727175032222,0.014161747204733304,0.0049434450908796635,2.0492243354272643,2.6157743256495074,0.0
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.04261083667541058,7.343172842337005e-05,0.03488640602676127,0.04877814911013054,0.04295250952874839,0.008569231495494135,3.7985968147095814,12.50292843366179,0.09436811918562547
