Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.292037725566199e-09,1.7239906146406289e-18,1.0783339352915553e-09,5.749781534653998e-09,1.831291045712778e-06,0.020884424568294,-2.2301403873028156,2.287701259937801,0.008205750668766165,1.1679896507829226e-09,1.3130082309873873e-09
1,parameters/classifier.out_proj.weight,1.1424656854869432e-07,1.011992933455664e-17,1.0325458957111761e-07,1.1451832007137051e-07,-4.371185445960871e-05,0.0187137944230178,-1.4304242270866214,2.28239299333607,0.0,1.0597141778578703e-07,3.1811836373520837e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.272297741275798e-07,2.3058136709548154e-14,1.0209595617249025e-07,6.05595987907515e-07,-0.0113615072623671,0.1283658394965572,1.8212367994001517,3.9762826407176934,0.0,3.3087495854310655e-07,1.5184905896826676e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.311802686756193e-08,3.9387112048046084e-16,9.477253950313118e-09,7.237033642049686e-08,0.0003445132038981,0.0755137771931206,3.0459718857343367,10.460294909407452,0.08924279262617008,3.941550141800555e-08,1.9846186547557716e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.822455498193902e-06,5.240141022806296e-12,1.0297917486115608e-06,9.88395374452898e-06,-0.0002076929983255,0.0251005607441857,4.368507067011616,21.03146845200714,0.03859634540077546,7.997161805651919e-06,2.289135431294159e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.2370187819632817e-08,9.24467618835525e-19,1.0667669878046258e-08,1.4356946326184454e-08,0.3357254763638286,0.0639204642931742,0.48367763475342296,-0.08545890520855626,0.017235576438134805,1.3994519157457657e-08,9.614923914600286e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.192414858944985e-06,2.4238260804182995e-12,1.084877577398354e-06,7.0792625984601974e-06,8.546326140564047e-05,0.1016103293044025,1.1609295689875143,1.6771750221998474,0.0,1.4844155709585604e-06,1.5568641817507071e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.3456858229097666e-07,1.220553290839725e-16,1.0607130942179179e-07,1.4585400163048345e-07,0.000112793106243,0.1006120468130983,1.5332763576104578,2.0859716975595903,0.0,1.0944456409789645e-07,1.1047865363226171e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.7426189492430134e-09,3.61075802622315e-18,9.239766827997214e-10,7.056941430389701e-09,3.158816936226893e-05,0.0397860407903909,1.7136999329784777,3.1000321950078398,0.028498875617079644,3.0904551181793877e-09,1.9001994701144272e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.0374595059824127e-07,2.0355685962077424e-15,1.0013641909135902e-07,2.570485874279455e-07,3.304292350580742e-06,0.0403816936415788,3.392954269360325,12.652185855219267,0.0,1.1557589384277541e-07,4.511727602823272e-08
