Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.0893618171617987e-09,1.3319114417489074e-18,9.829810938174827e-10,5.2413508999117305e-09,1.831291045712778e-06,0.020884424568294,-2.2176908837743152,2.3314304928547824,0.051739560937264,1.0647089059509894e-09,1.1540846770271697e-09
1,parameters/classifier.out_proj.weight,1.2169227965315844e-07,1.0843481720219737e-17,1.099839281755316e-07,1.2198174184632348e-07,-4.371185445960871e-05,0.0187137944230178,-1.2719440492230698,2.509552276826352,0.0,1.1287781832093431e-07,3.292944232783139e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.980308651546192e-07,2.0250807566893157e-14,9.644170317488441e-08,5.720570206620446e-07,-0.0113615072623671,0.1283658394965572,1.5868196542273953,3.544208772530238,0.0,3.125505234105898e-07,1.42305332180116e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.451550498564582e-08,3.5847637559741474e-16,9.877164701882049e-09,7.542414037900122e-08,0.0003445132038981,0.0755137771931206,2.87915975990347,10.652979904466532,0.0,4.107871344948436e-08,1.8933472359749934e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.650053416444011e-06,6.135645111355324e-12,9.833456248271557e-07,9.438163282800499e-06,-0.0002076929983255,0.0251005607441857,4.338177539033961,20.949662959462945,0.07108417739907864,7.636470270057441e-06,2.477023437788856e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.2294642921750946e-08,9.146045787029934e-19,1.060252227937395e-08,1.426926826826639e-08,0.3357254763638286,0.0639204642931742,0.707615737845116,0.08562247507487156,0.09656772414176218,1.390905444697217e-08,9.563496111271199e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.063793130252303e-06,2.223817610039166e-12,1.0515939367950908e-06,6.862073454752093e-06,8.546326140564047e-05,0.1016103293044025,1.212394287745231,1.6414709171494084,0.0,1.4388742533030192e-06,1.491246998333665e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.254407298827687e-07,1.0544202319306445e-16,9.88764408970277e-08,1.359606537378019e-07,0.000112793106243,0.1006120468130983,1.4579712756644663,2.076532589990254,0.0,1.0202088606726862e-07,1.0268496637437464e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.790077494611713e-09,4.1300756956367454e-18,9.399652652939737e-10,7.179055432092652e-09,3.158816936226893e-05,0.0397860407903909,1.475659887263549,3.1192986068189423,0.03139268612432016,3.143932654486985e-09,2.0322587668987294e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.06291249910898e-07,2.0548449632257212e-15,1.0138737479348102e-07,2.6025977072252714e-07,3.304292350580742e-06,0.0403816936415788,3.0897676901154583,12.976727429565285,0.0196769584828302,1.1701972741244361e-07,4.533039778366964e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,8.300378881788517e-09,6.2133916676376955e-18,1.077900858062178e-09,1.0467215316454104e-08,0.6156525901945613,0.0974861908782125,1.5687278826402211,2.8740973180152545,0.07972887967480871,3.8519247788873055e-09,2.4926675806528426e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.670621226948392e-08,2.259237405773052e-16,1.0233422531503429e-08,6.687661061016505e-08,-0.0113346586189311,0.0607580357729595,2.81239836891244,9.50900839290678,0.05624191809688184,5.411114946025437e-08,1.5030759813705536e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.4617075986951013e-05,6.56482994388223e-11,9.51863642936027e-06,3.4604034982111726e-05,-0.000112760096662,0.0509716953262455,4.2883540988372815,23.269887177508704,0.06979039281402595,3.410158271119815e-05,8.102363817974497e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,2.0719416409426146e-06,9.43656986985508e-14,1.0009611534309331e-06,2.154930947721704e-06,0.5109690259462994,0.1123735305669006,0.305011165784459,0.05059024629765013,0.04879696421010174,1.3913116377386567e-06,3.0719000422954974e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,2.3647912127718393e-07,2.801332984739452e-14,1.0159037994071544e-07,6.620092655376165e-07,0.0001951886705329,0.0759863889472458,1.3994482927846004,2.528511159938807,0.0750534691169109,6.301078899629684e-07,1.6737183110486217e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,3.0904931767236458e-06,4.81861857757061e-13,9.60841661678182e-07,3.433242051796837e-06,-3.776269572425157e-05,0.0745593718141202,1.863207997102814,4.829460973524524,0.011692356516255954,2.978189191900314e-06,6.941627026548321e-07
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,4.035528193554176e-08,1.4584051319619176e-16,1.0039904632657754e-08,5.165385832249836e-08,0.0001040482220213,0.0421736568456787,1.6799068208350576,3.4771276036783636,0.003442652053600193,4.507879341953758e-08,1.20764445593971e-08
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,1.4690598925483716e-08,6.304048249978573e-16,1.0625290208132083e-08,1.0478690588265563e-07,-9.920277029305042e-06,0.039764444603185,3.0386440874945033,12.108626797087425,0.014208330969516037,9.889126506351851e-08,2.5107863807935897e-08
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,2.51265524608102e-06,2.63899255018106e-13,9.606798904384089e-07,2.8067245743906297e-06,0.6438848846203952,0.1354366076190484,0.5646908680379956,-0.37111578327415656,0.069323503677353,1.8945065651250477e-06,5.137112564642768e-07
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,2.739660215814313e-07,5.9991431094878424e-15,9.63044531323155e-08,3.5420162109395325e-07,-0.0143675512643725,0.0644239113303974,2.845603235379529,8.683471863137505,0.048387980972328416,2.4202202492669653e-07,7.745413552217752e-08
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,2.026923617377361e-06,1.3863133799832606e-12,1.0010941596403922e-06,5.159656587460584e-06,5.649138364106832e-05,0.0527436002953514,4.307146919505126,24.200388611125053,0.0,1.039900283244044e-06,1.177418099055412e-06
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,5.33172094881763e-09,4.65840104799724e-18,1.0669916023069258e-09,8.750012645971059e-09,0.563354952842928,0.1337718840011416,0.17172719668723788,-0.5184605984131925,0.06003870659611732,2.6346016768181216e-09,2.1583329326119356e-09
22,parameters/encoder.roberta.encoder.layer.2.attention.self.query.weight,9.391872565014387e-09,3.65964079684988e-16,9.057729716765545e-09,7.295209695957625e-08,-0.0015558327343114,0.0693338446486832,1.4883219152583433,2.2348422781227177,0.0,4.446968214641943e-08,1.9130187654202148e-08
