Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,1.9622882786044545e-09,1.42143097079612e-18,9.231968645373498e-10,4.922575568515442e-09,1.831291045712778e-06,0.020884424568294,-2.170602710962023,1.8644689222359285,0.016223798710534986,9.999540477443348e-10,1.1922377996004485e-09
1,parameters/classifier.out_proj.weight,1.0780290329491983e-07,1.0291141950315533e-17,9.743088720907621e-08,1.0805932765401838e-07,-4.371185445960871e-05,0.0187137944230178,-1.5815635540955484,2.26696163362152,0.0,9.99944825364062e-08,3.207980977237167e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.309538364063543e-07,1.9407414484984125e-14,1.0281710607307492e-07,6.0987358618708e-07,-0.0113615072623671,0.1283658394965572,1.6346371065155278,3.5439245640271824,0.09978706614751437,3.332120779786324e-07,1.3931049667912364e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.4257374758604475e-08,3.2304081434471407e-16,9.80329660207931e-09,7.486006778355384e-08,0.0003445132038981,0.0755137771931206,2.69623999189593,10.391101417506814,0.08347215042149364,4.07714991226567e-08,1.797333620518779e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.6077945650211314e-06,6.782660001768081e-12,9.719608444100533e-07,9.3288920217072e-06,-0.0002076929983255,0.0251005607441857,4.296965565377907,20.863403988661357,0.0,7.5480582865276264e-06,2.6043540469314232e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.1870418231959674e-08,1.0684437361383178e-18,1.0236683942010354e-08,1.377690944636482e-08,0.3357254763638286,0.0639204642931742,0.4191095261200206,0.26225390321045006,0.0,1.3429124745425673e-08,1.0336555210215433e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.792494371129954e-06,2.235426113105329e-12,9.813895437542025e-07,6.403961549541733e-06,8.546326140564047e-05,0.1016103293044025,1.1162424856434507,1.854953383936253,0.0,1.342815033027215e-06,1.495134145521842e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.236576017237194e-07,1.333814204842226e-16,9.74709216036145e-08,1.3402798585210645e-07,0.000112793106243,0.1006120468130983,1.4016544979545331,2.5124594990770936,0.0467426692815069,1.0057066878196011e-07,1.1549087430798273e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.1711430618194006e-09,4.024543055369742e-18,1.0683446374320298e-09,8.159562545435945e-09,3.158816936226893e-05,0.0397860407903909,1.6666645443475245,3.189947374546435,0.029364387572701545,3.5733273514294732e-09,2.0061263807072928e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.0928864632220054e-07,2.1060536218644693e-15,1.0286052575596067e-07,2.6404132569932365e-07,3.304292350580742e-06,0.0403816936415788,3.189990878422909,12.63060767358108,0.0,1.1872001528771299e-07,4.589175984710621e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.681270209439363e-09,7.199091578696302e-18,9.975023872618794e-10,9.68648664490143e-09,0.6156525901945613,0.0974861908782125,1.5930467832847868,3.095401548400317,0.04301242599635871,3.5646174077650038e-09,2.683112293344485e-09
