Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/conv2d/kernel.gradient,0.5459820022416076,0.30586127253070683,4.751880345027591,-4.116447741200909,6.821632868655545,2.1798808098213973,0.013671209504705129,2.2701333561296013,11.071775874509097
1,gradients/conv2d/bias.gradient,0.424306668438945,0.1621740476958107,4.087070978367538,-0.7328968808471067,5.100671859678272,2.021650557927244,0.0,4.845804965699273,11.872942458545642
2,gradients/conv2d_4/kernel.gradient,0.07456415681459791,0.03926327402636547,0.07360829302479399,-1.0161114419231336,1.372747458826327,0.27130848314196515,0.0376224687438302,2.0110079976408084,20.657719418115434
3,gradients/conv2d_4/bias.gradient,0.024771541648154854,0.01656051698741594,0.007311629865868915,-0.06996017051243403,0.17343008466024853,0.08550806901029288,0.01587498055229544,3.275447446237828,7.878606337202146
4,gradients/batch_normalization/gamma.gradient,0.21600518436446747,0.15240011760753347,0.43340949197302486,-0.3821744084534385,1.242000876315504,0.658338432702379,0.0,2.4114788938137557,7.001248322761937
5,gradients/batch_normalization/beta.gradient,0.4832189470419844,0.38686620170291675,1.3229494767785837,-1.1973093202688587,0.5911148711053819,1.1501954080844627,0.0,2.0801078448763506,4.195147385475691
6,gradients/batch_normalization_4/gamma.gradient,0.033746284419268434,0.025747388968745066,0.014397762324445739,-0.10692916649637274,0.16211906451328442,0.11999067598961936,0.029854785237048587,2.448547382507282,6.7626946000738055
7,gradients/batch_normalization_4/beta.gradient,0.01771019728958565,0.01528186376410153,0.00240710330256119,-0.047183254526153094,0.056438814203446055,0.049062239069993976,0.0,2.0888238512247748,4.810234202822374
8,gradients/conv2d_8/kernel.gradient,0.14130202084259116,0.0695831120504289,0.352038421318319,-1.3345787060265277,2.6608523698041737,0.59332825764354,0.0,2.370819325279971,13.815421555974682
9,gradients/conv2d_8/bias.gradient,0.05973941424348041,0.04414831637882461,0.04441073032303216,-0.2930867376476872,0.2949480581312247,0.2107385354486271,0.0,1.9711914121338114,8.777473830282048
10,gradients/batch_normalization_8/gamma.gradient,0.11686861996267882,0.0783550408298267,0.21340756022748372,-0.34714932234222695,0.7486397314283124,0.4619605613334148,0.005989702117816554,3.5202430036595045,8.592193005972126
11,gradients/batch_normalization_8/beta.gradient,0.0771109905952977,0.07151620970683753,0.04483937810733677,-0.18983035476366747,0.2822830769111037,0.2117531064880438,0.0,1.8860642900771563,5.916849407979263
12,gradients/conv2d_1/kernel.gradient,0.041530315922953094,0.022210682912109952,0.03650714813258834,-0.6685507455163872,2.3599423169528055,0.19106843834759424,0.0,5.932453070039974,67.01421795020605
13,gradients/conv2d_1/bias.gradient,0.03253861085562842,0.0022743796226350034,0.03506672554229713,-0.12838058765601734,0.6616951190514067,0.18726111593787215,0.06557321314672442,5.697203198361505,21.42480586932811
14,gradients/conv2d_2/kernel.gradient,0.02089875007737718,0.0014362667516559647,0.011614290683285601,-0.6461641083804075,1.558407130231197,0.10776961855405076,0.0,4.051610867586556,52.568575766584026
15,gradients/conv2d_2/bias.gradient,0.016976457805072523,0.0035216261683117794,0.007629693465748422,-0.14821886484326688,0.1798393719110487,0.08734811655524384,0.07735603403637581,2.7357290965744916,16.557761299027142
16,gradients/conv2d_5/kernel.gradient,0.01025626157577252,0.0057394864656568085,0.0022226991939803325,-0.12512094119303105,0.23162984793696498,0.04714551085713674,0.0,3.231122255234186,17.261420652736156
17,gradients/conv2d_5/bias.gradient,0.00822793096195914,0.004576461603918102,0.000907501369899723,-0.04170482713455641,0.07069277048523498,0.030124763399896986,0.08154802192260811,1.7360477087264807,10.369256173407896
18,gradients/conv2d_6/kernel.gradient,0.007744207280068416,0.003515521637997281,0.0009471916924133993,-0.10559751106470815,0.19914991372343896,0.03077647953248502,0.0,2.1305162250139427,17.715791550653073
19,gradients/conv2d_6/bias.gradient,0.006386689950479104,0.002787408850541121,0.0007884736944403822,-0.06748839979939644,0.06921768855144016,0.02807977376049144,0.0,0.8343448001994043,25.909901205695835
20,gradients/batch_normalization_1/gamma.gradient,0.019815695200686035,0.01024733331211266,0.006335693913753856,-0.10342426812576795,0.17273391422551002,0.07959707226873308,0.024059535129767218,2.124555991443471,10.710461223438417
