Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/conv2d/kernel.gradient,0.5871452937457439,0.32892111089408954,5.2259838593853445,-4.4267996166050585,7.335937115231068,2.28604108873514,0.08517364402754175,2.4129212992312086,10.770519770363784
1,gradients/conv2d/bias.gradient,0.4279433709392248,0.1635640300095596,4.016075578855402,-0.7391784882722973,5.14438935809385,2.0040148649287515,0.07065510141574863,4.693092934492813,11.840086770320093
2,gradients/conv2d_4/kernel.gradient,0.06388570870523547,0.03364031988585625,0.07902224142284969,-0.8705925522924879,1.1761541741629613,0.281108949382352,0.049769775398839845,1.8097028183510075,20.441121637087367
3,gradients/conv2d_4/bias.gradient,0.02350888921072936,0.015716396042656552,0.0065708141525291485,-0.06639416799733389,0.16459002447225116,0.08106055855056288,0.0,3.139244304427273,8.301270671678402
4,gradients/batch_normalization/gamma.gradient,0.21788340404821474,0.15372527515658974,0.35791877950333206,-0.3854975115479019,1.2528003879105176,0.5982631356713632,0.0,2.3779917011729927,6.635200242395422
5,gradients/batch_normalization/beta.gradient,0.45720967084054015,0.3660431152848658,1.204171283120356,-1.1328641055270399,0.5592980931344941,1.0973473848879196,0.0667218516573416,1.7248406268261527,4.6149709770442895
6,gradients/batch_normalization_4/gamma.gradient,0.032260076240231236,0.02461345731574353,0.017505950151498254,-0.10221993688608118,0.15497923612020867,0.13231005310065577,0.0,2.710589004400253,6.524051296349298
7,gradients/batch_normalization_4/beta.gradient,0.017686826183939245,0.015261697187373736,0.0029859077315414506,-0.04712098956048157,0.05636433522008192,0.054643460098547175,0.0,2.1312817491134086,4.956524246762
8,gradients/conv2d_8/kernel.gradient,0.153597965720943,0.07563815715972264,0.38639721492686757,-1.4507122624135576,2.8923967870279808,0.6216085705062854,0.0,2.5323801045246532,13.280876153010082
9,gradients/conv2d_8/bias.gradient,0.056576690715690964,0.04181101661296963,0.03446161706513696,-0.2775701422377724,0.27933292070912924,0.18563840406860063,0.0,2.063502626543689,9.263942085348058
10,gradients/batch_normalization_8/gamma.gradient,0.12406242536593959,0.08317815687478668,0.2046192046750383,-0.36851797264032515,0.7947219778582312,0.4523485433546109,0.0,3.7497556343154277,8.974570376890906
11,gradients/batch_normalization_8/beta.gradient,0.07207834443301721,0.06684870672777567,0.05214546914846838,-0.1774410831564632,0.2638598815568992,0.22835382446648106,0.018492584292256243,1.9615865435188151,5.7547504609913975
