Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.0533453025721309,3.8007511277900257,-7.311936025785623,6.1367777328695885,-0.0660678232760023,1.018891772067536,0.7022819147118846,-1.3120648719233061,0.03224918214378083
1,parameters/conv2d_4.weights,0.03188763676284664,1.4456357785352891,-5.147354242030061,5.238780269529396,0.02689845014631943,0.9354519913484053,0.9843935095527176,-0.962857680589232,0.0
2,parameters/conv2d_8.weights,0.03374933212990705,2.2704693869817905,-5.30309043438602,5.338600348994935,0.04369759779142227,1.0008384889470126,0.8792638193089662,-0.8949071836188369,0.09134109772293707
3,parameters/conv2d_1.weights,0.021683541362823536,1.184558389716794,-5.880177510208085,4.543743513649172,-0.179219277967085,0.9819226021387939,1.4613621036259088,0.8298761500390908,0.0
4,parameters/conv2d_2.weights,0.023158589665301207,1.1248275691603002,-6.158997717916038,5.713551195835703,-0.1812070293317454,0.9991571447231987,1.6212697931680993,1.8585687197932084,0.008458509291284711
5,parameters/conv2d_5.weights,0.022064745326199047,0.7582282838492549,-3.957118972690891,4.86639448827172,-0.052952371974848735,1.0185420729669683,1.1716579791714496,-0.08307309130339005,0.0
6,parameters/conv2d_6.weights,0.015356525293120869,0.5330866049309981,-3.9904016316694952,4.673922685510134,-0.03882679652200012,0.9497151596607791,1.796476311746808,1.377453489209632,0.03811772739340483
7,parameters/conv2d_3.weights,0.02515933643113453,1.024186770131931,-7.878874975602523,5.865693382228918,-0.20579141857118002,0.922705287775308,1.9041429894773072,1.8604346592671266,0.05426756911881503
8,parameters/conv2d_7.weights,0.014642876514304131,0.581700284359233,-4.037048796483505,5.592018878856986,-0.05183243132951758,0.9855356468920631,1.744182344232249,2.4909215137250573,0.038362730564544714
9,parameters/conv2d_9.weights,0.021891750412062514,0.9930307953388904,-4.562415711459196,4.703965683138133,-0.1541406856562677,0.9668186770529537,1.2011834699232669,0.1048430248809088,0.047145347646068286
10,parameters/conv2d_10.weights,0.01979264667173188,0.9163364086637995,-4.366874381983154,6.661061712574215,-0.10378500471168009,1.0607072930325046,1.6344740851634605,1.5600113815245584,0.0
11,parameters/conv2d_11.weights,0.017862776946051283,0.7466100478791478,-4.576381775375483,5.343841905308006,-0.07284954210796674,0.9694704278585102,2.045692392013674,2.2207124604812494,0.0
12,parameters/dense.weights,0.03497769094487689,1.4571473532707615,-7.402959253506249,7.622375637916978,0.006639784374093176,0.9379930955657111,1.2616548666397072,0.23088433478265338,0.0
13,parameters/dense_1.weights,0.06789153513645028,5.006786973443216,-10.99286561351593,9.208142214914403,0.013060342028977504,0.9835910306400499,0.7612942940897149,-1.2312997840834448,0.018661968677647002
14,parameters/dense_2.weights,0.10311426935885794,13.548929145161546,-7.5302458404864945,4.730365540560699,-0.856970314288693,1.065312242314438,1.2054065892618537,0.31512941722815535,0.07837263696059898
