Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004007902527052984,0.0035996645386656275,-0.19076886213997557,0.19076886213997557,-0.003343271611010629,1.0284570060105453,0.932766643110635,-1.108750221202434,0.0
1,1,parameters/conv2d_4.weights,0.004080033399976279,0.003716809542957507,-0.1939147920348323,0.1939147920348323,-0.0044280527635336304,1.0400591150875256,0.742063309244997,-1.2336366577255542,0.0
2,2,parameters/conv2d_8.weights,0.003971376575069679,0.0035958881342312327,-0.19287198476968598,0.19287198476968598,-0.003757711845474838,1.071342189585226,0.7490535996982461,-0.800291062968422,0.0
3,3,parameters/conv2d_1.weights,0.043059494718274006,0.3630701686793148,-2.29637781165469,2.156146466936038,-0.03037159506343732,1.047992644751373,0.9808513301769247,-0.6929860602731386,0.0
4,4,parameters/conv2d_2.weights,0.0034347368067576176,0.002272616327698633,-0.21632860752298777,0.21632860752298777,-0.006071872260180926,1.0664649386083127,0.9623056264420998,-0.3234205165359454,0.0
5,5,parameters/conv2d_5.weights,0.0037366013809372028,0.0024656492374190604,-0.18337524570783478,0.18337524570783478,-0.012137568793225265,0.932589757974115,0.9230519470630681,-0.4444910403380349,0.0
6,6,parameters/conv2d_6.weights,0.0035339695959926824,0.002244267442366372,-0.19173813014954444,0.19173813014954444,-0.007883569557991969,0.9761852677457755,1.2088267490973266,0.14888752437616035,0.0
7,7,parameters/conv2d_3.weights,0.0031835120218485775,0.0021580289826026804,-0.19471118526644524,0.19471118526644524,-0.005021367807383792,1.053250697734756,1.4327771295573353,-0.15208513976336327,0.0
8,8,parameters/conv2d_7.weights,0.0031549692253353395,0.0017943718326722767,-0.20678078242084408,0.20678078242084408,-0.006700677173185218,1.0158639803286067,1.4648025581522535,0.3805166534602188,0.0
9,9,parameters/conv2d_9.weights,0.045782123354876025,0.3925463548216737,-2.7147095041103495,2.464821211491135,-0.16286981637939613,0.9815349746246743,0.8673197646968823,-0.4178205471002222,0.0
10,10,parameters/conv2d_10.weights,0.0031635823044239984,0.0020447065704665437,-0.215997237155321,0.215997237155321,-0.008243435419205363,1.0600869133042092,1.1767669483301042,0.31324597235774965,0.0
11,11,parameters/conv2d_11.weights,0.03842283408184174,0.3702492998690135,-2.9485640422424066,2.3740001676088207,-0.09307311312463966,1.000333898927076,1.345594038250159,0.5824456778736584,0.045612765286656566
12,12,parameters/dense.weights,0.00247596260162462,0.001227223980323642,-0.1822132276337659,0.1822132276337659,-0.000679402449192768,0.9468174754739248,1.5019997346029237,0.6019731186680141,0.0022187570995811034
13,13,parameters/dense_1.weights,0.004272362154919298,0.0030710159427447745,-0.18144351565281486,0.18144351565281486,-0.004408037992529529,0.9545810135141016,0.741371129326624,-1.1374267173684323,0.0
14,14,parameters/dense_2.weights,0.022860815798781527,0.038238361896527295,-0.21681869647133098,0.21681869647133098,-0.10187889646135675,1.0092695456235012,1.308381194038476,1.153260692536872,0.0
