Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/conv2d/kernel.gradient,0.6188396941094787,0.3466764390689179,4.569557065711705,-4.665760502220989,7.731934716591387,2.137652232172414,0.0,2.2209484089729097,11.044409625621046
1,gradients/conv2d/bias.gradient,0.4090179394198956,0.15633054992975942,4.80914647781171,-0.7064889484631963,4.916883115172757,2.192976625003493,0.08850148134756655,4.6698622381728185,11.770556592439362
2,gradients/conv2d_4/kernel.gradient,0.06960174462677679,0.03665021491209609,0.08298948950864067,-0.9484869421769409,1.2813880307646852,0.28807896401618893,0.0,2.017403867907263,20.638916628137135
3,gradients/conv2d_4/bias.gradient,0.023335293411465376,0.015600342055242758,0.007393545826434086,-0.0659038960599127,0.1633746485949384,0.08598573036518432,0.0011172982103080154,3.213841790923669,7.8779668523935085
4,gradients/batch_normalization/gamma.gradient,0.2128964244755944,0.1502067657485409,0.42396965379196383,-0.3766741308788541,1.2241259233712265,0.6511295215177728,0.06878929905449656,2.73042908817302,7.085474432653112
5,gradients/batch_normalization/beta.gradient,0.4349945445827666,0.3482576340484505,1.0785223222382223,-1.0778199523906549,0.5321226448727092,1.038519293146845,0.0,1.814724708596093,4.372518688897445
6,gradients/batch_normalization_4/gamma.gradient,0.03224582950842662,0.02460258749254316,0.014180679095650697,-0.10217479440051927,0.15491079401251348,0.11908265656950541,0.0,2.7484581825916115,6.553800920397149
7,gradients/batch_normalization_4/beta.gradient,0.01609628037674549,0.01388923905273787,0.0028169630976621804,-0.042883480151116635,0.05129558766033191,0.053075070397148254,0.0,2.357470113888549,5.140804415172697
8,gradients/conv2d_8/kernel.gradient,0.1423188832032019,0.07008385823336609,0.3248417753020967,-1.3441828351489467,2.6800008618488125,0.5699489234151572,0.0,2.5135864267880588,13.822721784852014
9,gradients/conv2d_8/bias.gradient,0.05649103513626598,0.0417477158647458,0.04338827780386922,-0.27714990855029975,0.27891001822273165,0.20829853048898192,0.0,1.9343177716370636,8.787071350322138
10,gradients/batch_normalization_8/gamma.gradient,0.10878643813201049,0.07293630920162458,0.1869995621782857,-0.3231418176206074,0.6968667025605243,0.43243445998010577,0.028994411542681855,3.4225040763728902,8.756393980854773
11,gradients/batch_normalization_8/beta.gradient,0.07705208322195328,0.0714615763525925,0.04987524280843079,-0.1896853377240232,0.2820674324942438,0.22332765795671353,0.0,1.7091801151521042,5.90395643152438
12,gradients/conv2d_1/kernel.gradient,0.04112312044727023,0.021992912124851396,0.03424358102657386,-0.6619957547153607,2.336803609409176,0.18505021217651693,0.0,5.757240269595382,67.1890632884346
13,gradients/conv2d_1/bias.gradient,0.03601184055679221,0.002517150984083311,0.030303001052659227,-0.14208416191363235,0.7323256432247188,0.17407757194038317,0.0,5.568194931700981,21.091587824401138
14,gradients/conv2d_2/kernel.gradient,0.020487234695060166,0.0014079853540016271,0.014107492233341377,-0.6334405498367058,1.5277206775185599,0.1187749646741323,0.0,3.9679153147762083,52.888684814038164
15,gradients/conv2d_2/bias.gradient,0.018886084358053102,0.003917762448205811,0.007974469190807382,-0.1648915231331941,0.20006891825198644,0.08929988348708762,0.0,2.6153451958568463,16.42436842908641
16,gradients/conv2d_5/kernel.gradient,0.010940131870373205,0.006122185782666937,0.002369431565910124,-0.1334637953882204,0.24707453713260227,0.048676807269070074,0.09280734891012443,3.0776239875339506,17.606811030723534
17,gradients/conv2d_5/bias.gradient,0.007643155539476912,0.004251203373109165,0.0011278327002241459,-0.03874078210064529,0.0656684946474733,0.033583220515969105,0.05854490609895735,1.6255096445438004,10.747812508450574
18,gradients/conv2d_6/kernel.gradient,0.007319803317982353,0.003322861336173315,0.0010044455934465912,-0.09981047561207584,0.1882359480486232,0.031692989657756576,0.013245105815913538,2.506344760052257,17.693874191072428
19,gradients/conv2d_6/bias.gradient,0.005855842545735994,0.0025557256522426458,0.0005974877258236969,-0.06187891473568398,0.06346446886882624,0.024443562052689827,0.06251612628266005,0.9996162613953884,26.060050187642425
20,gradients/batch_normalization_1/gamma.gradient,0.01859965380392427,0.00961847919482116,0.0059682949700131036,-0.09707737036634097,0.16213365073762373,0.07725474076076601,0.0,2.122373879978211,10.674414242607197
21,gradients/batch_normalization_1/beta.gradient,0.0029436882725496784,0.0015476916094880654,0.0001542924771420056,-0.005184626406156482,0.037245459785759126,0.012421452296009607,0.0,4.57524944129762,14.451840407165466
22,gradients/batch_normalization_2/gamma.gradient,0.02034884404815568,0.01074763467141825,0.007113794830995822,-0.0944987832954363,0.12757091268127613,0.084343315271549,0.0,1.811408320859078,7.697570420208096
23,gradients/batch_normalization_2/beta.gradient,0.0027921405463416818,0.001872081824556321,9.759658656173039e-05,-0.011228219479649271,0.01972216297788974,0.00987909846907747,0.0,2.891329725859553,8.062339649300874
24,gradients/conv2d_3/kernel.gradient,0.024038208526386075,0.0015654842163593285,0.01711413725693514,-0.6020491968548356,1.2655929006035755,0.1308210122913562,0.0,4.779952409755198,42.96058857316364
25,gradients/conv2d_3/bias.gradient,0.02164431782029898,0.004793307623429886,0.013782299372692958,-0.04667724687882194,0.4019935535082279,0.11739803819780362,0.05978474315505216,5.612900356093535,19.994999340395292
26,gradients/batch_normalization_5/gamma.gradient,0.011444092086863252,0.006645453338730954,0.0018377525881142544,-0.04089514799190844,0.12283697315422591,0.04286901664505823,0.0,3.4910549628225187,10.955273509635301
27,gradients/batch_normalization_5/beta.gradient,0.0022970621176600717,0.0016811488391933523,4.5623210389584335e-05,-0.01125541903119612,0.014286838484086803,0.006754495568847772,0.08004544428950765,2.2794325228244605,8.540596638791522
28,gradients/batch_normalization_6/gamma.gradient,0.011273812443040336,0.007358789763512533,0.0019190791734238365,-0.041856884558270774,0.08668827340365522,0.04380729589262374,0.0,2.9939295456208916,8.02643701563654
29,gradients/batch_normalization_6/beta.gradient,0.002173892537090266,0.0015246125708287585,5.969762433712413e-05,-0.006412453332367913,0.016885889159310746,0.007726423774109446,0.0,2.7742538558878453,6.998478084603687
30,gradients/conv2d_7/kernel.gradient,0.007200398624271966,0.0027988694448939978,0.0009646590340754918,-0.1020093166154692,0.2379918389128341,0.031058960608423388,0.0,3.480910558396735,25.210880587502384
31,gradients/conv2d_7/bias.gradient,0.005333513753361009,0.0012584527987533484,0.0006126930814153616,-0.057171285319813574,0.06514274806773447,0.024752637867819845,0.08892935499067603,-0.09920230209583387,24.403993843918787
32,gradients/conv2d_9/kernel.gradient,0.02789849444923742,0.019349584665785617,0.017611952354199944,-0.5663887167569646,1.3939676846670133,0.13271003109863255,0.09497187656492634,4.244698705218428,69.28229750805244
33,gradients/conv2d_9/bias.gradient,0.023028803041214723,0.011548824455456706,0.010100973004244907,-0.21085044227214345,0.16953187180741677,0.10050359697167542,0.06839852030115812,0.9136114748199999,16.76813357203953
34,gradients/conv2d_10/kernel.gradient,0.019435721382169303,0.010858474770427198,0.00724985083471278,-0.6095367116014704,0.902129559048464,0.08514605589639955,0.0,2.6847866493005466,65.45327692110924
35,gradients/conv2d_10/bias.gradient,0.01936185463423495,0.006458584180526868,0.009828423593689111,-0.18291034664174155,0.26150470897360295,0.09913840624949093,0.008241502943466017,0.2929473105734612,16.64203570108319
36,gradients/batch_normalization_3/gamma.gradient,0.029620652363286794,0.011853773529870212,0.013971444382003241,-0.14581992212136705,0.3614518207811574,0.11820086455691962,0.06910970035429927,3.1041849199325084,14.015653729783338
37,gradients/batch_normalization_3/beta.gradient,0.0033036719954210535,0.001570827434448783,0.00023404487654222472,-0.007514445115005167,0.03646052654549979,0.015298525306130436,0.026054887525374215,4.323601784174447,11.862273026438045
38,gradients/batch_normalization_7/gamma.gradient,0.010862357276161102,0.004812269948974229,0.0026816064322484653,-0.04052514402506499,0.1105446250593864,0.051784229570869686,0.0,3.729788312130088,11.023908251494202
39,gradients/batch_normalization_7/beta.gradient,0.0024498534047316715,0.0016434160724170574,8.443661192985743e-05,-0.008928968498282385,0.017670198800325557,0.009188939652095692,0.006844313037146299,3.056976340166405,7.968959651782014
40,gradients/batch_normalization_9/gamma.gradient,0.024320863511717354,0.013115519561412508,0.012014887621195406,-0.1041725787839884,0.24020855588054588,0.10961244282103878,0.0,2.8224407579496895,10.467748842533648
41,gradients/batch_normalization_9/beta.gradient,0.0025530164574901126,0.0021407442063794313,6.774421043351032e-05,-0.006836077321217869,0.01837984888748517,0.008230687117945275,0.0,2.7536542017267984,6.761651617239701
42,gradients/batch_normalization_10/gamma.gradient,0.022125016127720037,0.009518370996292328,0.012872451026138928,-0.15131386863554996,0.38440833058006724,0.11345682450227011,0.0,5.031269227396627,25.031246664194487
43,gradients/batch_normalization_10/beta.gradient,0.0031285814992557167,0.0020809911497963072,0.00012545692144492923,-0.006461090091168773,0.021964831930235785,0.011200755396174933,0.011856625880915584,3.3399326736532315,6.360513880284688
44,gradients/conv2d_11/kernel.gradient,0.013869356943310748,0.00420202482221468,0.00381674692668588,-0.44427649283463727,0.7360666753811528,0.061779826211198874,0.07942639563008014,3.711008073739651,50.60997305103901
45,gradients/conv2d_11/bias.gradient,0.011402258411541863,0.004738944245076349,0.003364571124199402,-0.09765078176846814,0.09798494887537008,0.058004923275524485,0.024576219142471392,1.232629574283446,14.446578923830504
46,gradients/batch_normalization_11/gamma.gradient,0.017795330532122865,0.0094758469924074,0.0060706807242003735,-0.05017391738212783,0.22558981336440448,0.07791457324660393,0.07338276902933605,4.199133400533018,13.474153852682496
47,gradients/batch_normalization_11/beta.gradient,0.002564125759009285,0.0017219192473025805,7.539619427873848e-05,-0.006272490690756901,0.015985622456885947,0.008683098195847977,0.0,2.867120433654415,6.653277451521757
48,gradients/dense/kernel.gradient,0.006846783309951108,5.830702493785347e-05,0.0009747269039273931,-0.19781570479258853,0.3229315645364433,0.03122061664873835,0.0,2.8496956233901285,21.718820524609754
49,gradients/dense/bias.gradient,0.0003925979865176175,8.632640873477473e-05,3.822638668901702e-06,-0.001067940573881182,0.0039660437670610066,0.0019551569422686936,0.05530946221454616,4.427734386825837,10.18577863794674
50,gradients/batch_normalization_12/gamma.gradient,0.034035423603028164,0.02278264359350235,0.01672806197093803,-0.18653175253822646,0.3034590029929601,0.1293370092855796,0.07493288631628968,2.3687083743765798,9.358842089309844
51,gradients/batch_normalization_12/beta.gradient,0.07262563364599364,0.05988827104957957,0.048802346309117076,-0.2456674499690461,0.2054140897667361,0.220912530901072,0.0,1.8753816621698784,5.342491863369451
52,gradients/dense_1/kernel.gradient,0.020347813808364663,0.0058219945578365994,0.0077895545643477575,-0.2802839276981311,0.32010972589633696,0.08825845321751209,0.04700639930141659,2.119765936170973,13.297780863204226
53,gradients/dense_1/bias.gradient,0.032768907453234776,0.008896542856140917,0.014188385295116884,-0.015190374586678256,0.22052030289897756,0.11911500868957267,0.020098930566653062,3.544571133846609,6.318227104286254
54,gradients/batch_normalization_13/gamma.gradient,0.2073393175462379,0.21043137980610155,0.16566134119803624,-0.03570088422452242,0.864665183241504,0.4070151608945744,0.0,2.661203428851454,5.562591685620143
