Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004211674714729092,0.003073918120748911,-0.20046804721654687,0.20046804721654687,-0.003513252234434621,0.9503887213263135,0.6605524563493945,-1.0879989532209033,0.06779018731578719
1,1,parameters/conv2d_4.weights,0.00456606560631546,0.0037556859196789267,-0.2170148073962362,0.2170148073962362,-0.0049555426253712976,1.045484271879567,0.5654351292460694,-1.2652790865219,0.024571046474598825
2,2,parameters/conv2d_8.weights,0.004171175465775365,0.002773944546098517,-0.2025753226115554,0.2025753226115554,-0.003946761320921351,0.9409661681409893,0.9437201581112543,-0.698680450260937,0.05222463174890393
3,3,parameters/conv2d_1.weights,0.04138090042822769,0.30981165545048117,-2.206857795043888,2.072093108400774,-0.029187614935787354,0.9680812914403131,0.8862796894478485,-0.3976974470031287,0.0
4,4,parameters/conv2d_2.weights,0.00346922457852035,0.0018876912293464138,-0.21850073658607175,0.21850073658607175,-0.006132839186167684,0.9719613593662303,0.956817469602737,-0.10934369010000627,0.07122615588785797
5,5,parameters/conv2d_5.weights,0.0037751977602961855,0.003099966256710019,-0.18526937885901695,0.18526937885901695,-0.012262941066550704,1.04569125920095,0.745597934801198,-0.591413309155164,0.02548870838811379
6,6,parameters/conv2d_6.weights,0.003374549608128865,0.002053710676718172,-0.18308868098163636,0.18308868098163636,-0.0075279358919061665,0.9338230185552355,1.168971947147308,0.03664784612174656,0.0
7,7,parameters/conv2d_3.weights,0.003413594227084483,0.001726638535380241,-0.20878356149205368,0.20878356149205368,-0.005384277502869277,0.9421148159075913,1.0971168328542893,0.06113702793937413,0.0
8,8,parameters/conv2d_7.weights,0.0028270810375875363,0.0018982914613933537,-0.18529056455609239,0.18529056455609239,-0.0060042922838000464,1.044866456657272,1.4166986920552729,0.7020480466016702,0.0
9,9,parameters/conv2d_9.weights,0.05116624779728938,0.41949202063684193,-3.033968042685224,2.7546920859392263,-0.18202382879822568,1.0146637779812941,0.8338263474076932,-0.30956207541386815,0.07792759618092315
10,10,parameters/conv2d_10.weights,0.003203079990558699,0.001802950799631904,-0.2186939873132647,0.2186939873132647,-0.00834635565124868,0.9954464787613146,1.327729891386819,-0.03989114813502864,0.07981217873265688
11,11,parameters/conv2d_11.weights,0.04187138328629397,0.3885000562951605,-3.213205327174508,2.58707285173042,-0.10142666688744122,1.0246921432848357,1.5251610649080898,0.6902143169565288,0.0
12,12,parameters/dense.weights,0.002614631351731369,0.0011761684675898783,-0.1924182608246193,0.1924182608246193,-0.000717453059645126,0.9269133019633599,1.4860600846644743,0.5461370684153514,0.0
13,13,parameters/dense_1.weights,0.004664154401062155,0.0036723734816206314,-0.19808259257746658,0.19808259257746658,-0.0048122722413016395,1.0438670228954212,0.5765222147858127,-1.3245389046426,0.046097401889837464
14,14,parameters/dense_2.weights,0.022734730822341353,0.032082341315064225,-0.21562286949485734,0.21562286949485734,-0.10131700057919991,0.9244651768412322,1.1300787034277944,0.8393321323218514,0.0
