Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.599272000887364,0.6379551429235483,-2.650755312340381,2.650755312340381,-0.010653539739124647,0.9812458733913345,0.6677384936311355,-1.376216153146458,0.0
1,parameters/conv2d_4.weights,0.44514441785368314,0.5143384227047035,-2.332974498452542,2.332974498452542,-0.012607200027939235,1.0389192933144014,0.6797513087218063,-1.3226554893840692,0.040486651413333075
2,parameters/conv2d_8.weights,0.40650817794390115,0.39842680136247305,-2.4135653251025575,2.4135653251025575,-0.02343888581354833,1.0065182851203975,1.0211477122403256,-1.000385595248182,0.0
3,parameters/conv2d_1.weights,0.4588909388823836,0.3890991227236318,-2.712954591682851,2.712954591682851,-0.06919240890780719,1.0477023378046304,1.2249524019559916,-0.5729759857900643,0.012249167856652511
4,parameters/conv2d_2.weights,0.012046250263522388,0.00040646547240951066,-0.10698946445438715,0.13492182680635917,-0.002034619044331271,0.9924139510545531,1.5364501861632998,1.2859733428170097,0.0
5,parameters/conv2d_5.weights,0.32732900119792463,0.29625536468415253,-2.4163480845688565,2.4163480845688565,-0.07041221139426349,0.971416170668569,0.9769153631429393,-0.1580147742063512,0.018893512518062396
6,parameters/conv2d_6.weights,0.26567496581222655,0.2700349937985653,-2.3484662548403863,2.3484662548403863,-0.04461052616551469,1.0604343427770129,1.3303260723993753,0.20585273470922139,0.0
7,parameters/conv2d_3.weights,0.2906937815712606,0.17484567242763602,-2.707042114431846,2.707042114431846,-0.06405431091364228,0.9510554665725288,1.7700680108158497,2.1079344645220264,0.0
8,parameters/conv2d_7.weights,0.2830542672202004,0.15358244956167022,-2.6168223537791784,2.6168223537791784,-0.04706133052062541,0.9301191929435205,1.6246571607077753,1.5459193572770462,0.0
9,parameters/conv2d_9.weights,0.01676443120893661,0.0007263457160650021,-0.137461618054398,0.10016097268326231,-0.0036844387983410633,1.0697941642393936,1.1472119573350312,-0.23955844962109027,0.0
10,parameters/conv2d_10.weights,0.2523279635511424,0.20333543127544806,-2.2772172604094014,2.2772172604094014,-0.08221375010828284,0.9765621353743658,1.4427220823324625,1.3333238147817763,0.02767193012184164
11,parameters/conv2d_11.weights,0.26066837255753594,0.18682502410153215,-2.503056203001754,2.503056203001754,-0.08949278713094148,0.9398163224188673,1.9037854709900122,2.2386249111084195,0.0
12,parameters/dense.weights,0.3624339533481754,0.22946883992678238,-2.3822006742132227,2.3822006742132227,-0.0077809034042677135,0.9367463547804088,0.9090708583709751,-0.738456440745904,0.0
13,parameters/dense_1.weights,0.5502953855222674,0.5391531189996822,-2.2750475139465305,2.2750475139465305,-0.0011836783735177819,0.9431132012862661,0.0564978126403019,-1.9839400012672301,0.0
14,parameters/dense_2.weights,1.4071526269820591,2.344224100120217,-2.6259104263234483,2.6259104263234483,0.18593793155667715,1.0325570062394598,1.1893799690296882,0.5728969297139357,0.0
