Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004101101273262635,0.0039105423144124175,-0.19520495275028307,0.19520495275028307,-0.003421015198905123,1.071947759630165,0.8670399693272369,-0.9195438932508803,0.0261216382902546
1,1,parameters/conv2d_4.weights,0.004092486792922852,0.003895242317281744,-0.1945066737344715,0.1945066737344715,-0.004441568408050845,1.064731519042789,0.5172366184464688,-1.2410543339738112,0.0
2,2,parameters/conv2d_8.weights,0.0041829595382768025,0.003397239388175895,-0.20314762226862887,0.20314762226862887,-0.003957911396465574,1.0413295601592485,1.082062549559059,-0.46659210978942534,0.0
3,3,parameters/conv2d_1.weights,0.04563387139859173,0.2913038483682932,-2.433670214322248,2.2850549276633743,-0.0321874065723026,0.9387199811242929,1.0960487532049674,-0.686375653728712,0.0746804359900165
4,4,parameters/conv2d_2.weights,0.0031824157381265053,0.0017934390322964437,-0.20043677402986837,0.20043677402986837,-0.005625823149731988,0.9473857095380427,1.21360899717981,-0.128064204103083,0.0
5,5,parameters/conv2d_5.weights,0.0038431504615959876,0.0027348167663531924,-0.18860418555285727,0.18860418555285727,-0.012483671217462591,0.9821755335094386,0.7428775444213153,-0.8572227530257472,0.02051641539753637
6,6,parameters/conv2d_6.weights,0.0036660884383295277,0.0025408307126747274,-0.1989063355058991,0.1989063355058991,-0.008178299904474003,1.0386824884424672,1.218401774972155,-0.1048738127301205,0.06140109680351651
7,7,parameters/conv2d_3.weights,0.0032202557719937536,0.0020686999082316264,-0.1969585206283978,0.1969585206283978,-0.005079323889482834,1.031221280392307,1.2756922836846367,-0.05322314383479143,0.09620232106532643
8,8,parameters/conv2d_7.weights,0.0033088685407379006,0.0017352653889968449,-0.2168675435205792,0.2168675435205792,-0.00702753602854447,0.9989926487388948,1.269775416044306,0.7006196607843712,0.0
9,9,parameters/conv2d_9.weights,0.047705260259719814,0.4654066499982605,-2.8287443642415964,2.568359192875642,-0.16971137224469413,1.06875115489394,0.9976499253908742,-0.5077860399025259,0.05094652689995083
10,10,parameters/conv2d_10.weights,0.002643957887411324,0.0020267624880947375,-0.18051927969038395,0.18051927969038395,-0.00688943545596871,1.0554250694988603,1.0573102620624675,-0.01953731231994786,0.02794786917293708
11,11,parameters/conv2d_11.weights,0.04204843838200266,0.34679459040307925,-3.2267925156570234,2.598012409858618,-0.10185555427552632,0.9681307632712212,1.3495645212529472,0.46837149773639764,0.0
12,12,parameters/dense.weights,0.0025389891812872467,0.0011782622004460675,-0.18685153537698806,0.18685153537698806,-0.0006966968996658627,0.9277379482525399,1.4313668119576928,0.8998893397230846,0.01646328132446768
13,13,parameters/dense_1.weights,0.0048630188916062,0.003802510348351769,-0.20652819503213468,0.20652819503213468,-0.005017451998517174,1.06220161858844,0.6196935940298288,-1.087488337882077,0.0
14,14,parameters/dense_2.weights,0.022757292160700215,0.03947892910937673,-0.21583684785926366,0.21583684785926366,-0.1014175448587621,1.0255107352515604,1.140464308495765,0.8885738357300088,0.08728987456839608
