layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,3.795406041751986e-07,9.31670656736788e-15,9.514294151253193e-08,4.3648109054707363e-07,9.514294151253193e-08,0.0215747054436316,0.6517423246604378,0.1036963262161943,0.0
parameters/classifier.out_proj.bias,4.0682046530074695e-08,2.1530407868492686e-16,1.0282733498580245e-08,5.891834750463038e-08,5.891834750463038e-08,0.1263207488639633,0.8529625666504985,0.719164440454624,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,8.713104791123286e-05,5.287616971338701e-10,1.1438565220141949e-05,9.57252502616192e-05,9.57252502616192e-05,0.1329287167343141,-0.1681598652121614,-0.495152030256603,0.0478621679481696
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,4.253546312408445e-08,3.9518442570409113e-16,1.07252757387715e-08,1.0002190527316989e-07,1.07252757387715e-08,0.0650862504091517,1.740593490078702,2.9456517394683366,0.010129718387159
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,6.087025534340996e-09,4.3201275198874025e-18,1.0934303175151259e-09,9.178234872733243e-09,9.178234872733243e-09,0.1459210577090095,0.0735636361852185,-0.4588940663105605,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,4.107140292292118e-07,6.794194525983033e-14,1.0286257776872257e-07,9.012737647942668e-07,9.012737647942668e-07,0.0331097727574567,2.00033976396772,7.760413536719521,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.4254836637484191e-06,4.674391161850146e-13,9.119986567758688e-07,3.7893401728131994e-06,3.7893401728131994e-06,0.0410620944741441,2.7520185804031083,6.579753500961768,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,3.074576873243947e-07,1.3224033528898247e-14,1.108352655195308e-07,5.030579895165893e-07,5.030579895165893e-07,0.0167898157398932,0.4543340499349682,0.1880241801359837,0.0800098625826314
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.450815480656464e-08,1.9998912784428827e-16,9.646212532353478e-09,5.007557691928957e-08,9.646212532353478e-09,0.0626318826038111,5.257842539145305,33.51815882262071,0.0213346978387222
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,2.2053959506108953e-07,2.0530669511818968e-14,9.737880188952047e-08,6.224629458368186e-07,5.039235555840497e-07,0.0776615821359372,1.5332293921289182,2.640262424377939,0.0
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,1.2076043449733591e-08,9.25347311028801e-19,9.93512540726844e-09,1.2076043449733591e-08,1.2076043449733591e-08,0.0653844353091479,0.6268742710991577,0.1290398872174237,0.0529545461560224
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,3.301993960475939e-07,1.2876689700477263e-14,8.205295655609309e-08,5.02453229938761e-07,8.205295655609309e-08,0.0176880868190101,0.5763355226363902,0.0933963493021349,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,4.2129364945604795e-08,2.345274410174654e-16,1.0557097352449171e-08,7.000361203424741e-08,7.000361203424741e-08,0.1177487887390503,0.812286557726761,0.8030878661983685,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,7.758976987986893e-05,4.635176206988219e-10,1.0837035857160702e-05,0.0001110213553404,0.0001110213553404,0.1134609744411562,-0.2012733093550895,-0.6445533893127502,0.0445874997921777
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,5.3133063201552436e-08,4.17236132366972e-16,1.1004896413001368e-08,8.026755159321038e-08,1.1004896413001368e-08,0.0832344101881943,1.6961553564776557,3.1899810808931632,0.0082770465230072
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,4.457070008186566e-09,5.001472741498827e-18,1.2061671478485583e-09,8.206470038812777e-09,8.206470038812777e-09,0.1525399209840911,0.0880188704081792,-0.4017397124667851,0.0
