layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.2605166126018504,4.230772984673817e-06,0.23194871178002482,0.30272671322435374,0.0068949389242192,0.0,0.7640405716758044,-413.03967617025785,0.26042714656286675,0.002056884290540793
fc1.bias,0.4041797298542702,0.37296851719337387,7.459417561006433e-06,0.33235149703261324,0.41852351231358337,0.0989518972456589,0.0,0.07651922659155724,-463.42109667549573,0.37351030486183195,0.002731193431634949
convs_code_file.2.bias,0.5012725556718685,0.3234443626388637,2.9909634644676646e-05,0.2882060906962808,0.3595539376570351,0.0198565520812984,0.05169484305277308,0.5067490359645723,-458.7697201442571,0.3235960284475196,0.005468970163081554
convs_code_file.1.bias,0.7504679668033454,0.43246040169997274,2.9037925674671745e-05,0.38645713489399497,0.5142122458766525,0.0980229671362744,0.0,-16.344976646412558,-70.66936846434648,0.4332070223630155,0.005388684967102015
convs_code_file.0.bias,0.214765230563731,0.33072814474094353,4.804212646134711e-05,0.2881208010040293,0.38955889241001673,0.1067139804466189,0.0,1.1479319926559575,-459.8876294585223,0.32995119199512085,0.006931242778993268
convs_code_line.2.bias,0.037765972353141,0.016475224091302632,7.549088575881961e-05,0.01312825038586178,0.019287795211075598,0.0153167726992365,0.04874988671277165,0.0004755155746947459,-464.07315702064653,0.016244298220180944,0.00868854911701714
convs_code_line.1.bias,0.0163964374986086,0.36105594902241966,1.4954561173632805e-05,0.3075826947473913,0.4198251429199939,0.0105102822234692,0.0,0.17823165336125457,-464.61230034149764,0.36201675610289424,0.003867112769707194
convs_code_line.0.bias,0.0390049240477585,0.28182423717776134,3.2700657402892854e-05,0.23783991043557973,0.3212454308444379,0.0076420205794523,0.0,0.11750459690045734,-464.4038367659433,0.2817753769016347,0.005718448863362528
convs_msg.2.bias,0.0464563829802717,0.2824784278253762,6.353076855292236e-05,0.22796371707614133,0.33572494431173644,0.0131193286777906,0.0,0.5375800101901307,-463.1687686352782,0.2829606405149648,0.007970619082161835
convs_msg.1.bias,0.7319309612606568,0.366458396148621,8.251916404869492e-05,0.30831078808503976,0.4159587128242631,0.1715182425610702,0.0,-1.0802669243352085,-451.8257067177417,0.36651999393677803,0.009084005947196112
convs_msg.0.bias,0.0203104796291033,0.15259279483395147,7.8008384149203e-05,0.13706100574479008,0.1813148671869951,0.007351787661552,0.08991307325620033,2.6889900347095086,1836.663785044881,0.15280835893757413,0.008832235512553013
