layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.2585515990895085,3.595197444764717e-06,0.2301991790025715,0.3004433191786088,0.0068949389242192,0.07230415686158327,0.854301273737693,-412.89883253568627,0.2584628078711197,0.0018961005893054427
fc1.bias,0.4041797298542702,0.38296560514372735,7.115760331300984e-06,0.3412598820385896,0.4297416612162706,0.0989518972456589,0.0,0.3127498300282362,-463.262310057591,0.38352191494668825,0.002667538253015402
convs_code_file.2.bias,0.5012725556718685,0.3329224640385008,3.2319035248698525e-05,0.29665158199909974,0.3700901815165615,0.0198565520812984,0.0,0.5520595756494983,-458.5992747900083,0.3330785742094005,0.00568498331120665
convs_code_file.1.bias,0.7504679668033454,0.47346685353423745,2.7537282658606293e-05,0.42310149776685946,0.5629705127844257,0.0980229671362744,0.0,-16.505295301840754,-70.4411789671385,0.4742842697293964,0.005247597798860523
convs_code_file.0.bias,0.214765230563731,0.2945534378652731,4.550394947488361e-05,0.2566064418941685,0.3469493384067387,0.1067139804466189,0.04942109190420934,1.1387729534947848,-459.87334223212963,0.29386146741770147,0.006745661529819212
convs_code_line.2.bias,0.037765972353141,0.019180571547295862,8.213403087534759e-05,0.015284001262827555,0.02245498658988956,0.0153167726992365,0.042053166158904046,0.2611704366805231,-464.5376382140742,0.018911726026978513,0.009062782733539807
convs_code_line.1.bias,0.0163964374986086,0.3188314388232494,1.571895905824694e-05,0.2716117360452455,0.37072773550407934,0.0105102822234692,0.0,0.24514908597970028,-464.6180854172447,0.3196798821316305,0.003964714246732867
convs_code_line.0.bias,0.0390049240477585,0.2548597419917993,3.121148698570442e-05,0.21508376573988883,0.290509178489913,0.0076420205794523,0.0,-6.535462333903674e-05,-464.23245648800935,0.254815556589252,0.00558672417304665
convs_msg.2.bias,0.0464563829802717,0.28123049627052704,7.889793775572152e-05,0.2269566202932469,0.3342417806061682,0.0131193286777906,0.04053974470686934,0.6444359473180017,-463.2138813973295,0.28171057864370136,0.008882451111924091
convs_msg.1.bias,0.7319309612606568,0.3351248953850637,8.771942987977684e-05,0.2819491153401815,0.3803927583179253,0.1715182425610702,0.04691328428373745,-1.1704065789697093,-451.483190511941,0.33518122634249026,0.009365865143155554
convs_msg.0.bias,0.0203104796291033,0.15339481704587024,6.152535917573766e-05,0.13778139343488296,0.1822678515726164,0.007351787661552,0.0,2.481378597695556,1836.8971877960798,0.1536115141466268,0.007843810246030774
