layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.2629608002032029,3.696705572219444e-06,0.23412487306133573,0.3055669193504482,0.0068949389242192,0.0,0.7672876105437397,-412.87135917451286,0.2628704947867183,0.0019226818697379885
fc1.bias,0.4041797298542702,0.39902013816829535,6.8755299067869405e-06,0.355566044191435,0.44775712161104947,0.0989518972456589,0.0,0.38107637727786325,-463.2722906572162,0.39959976937136,0.002622123167737633
convs_code_file.2.bias,0.5012725556718685,0.2929294364608516,2.53262330997777e-05,0.26101567219617566,0.32563230187676234,0.0198565520812984,0.0,0.7247222774925539,-458.530791722239,0.29306679356145926,0.005032517570737075
convs_code_file.1.bias,0.7504679668033454,0.44869764234639825,3.212087601158673e-05,0.40096712811912105,0.5335189568421357,0.0980229671362744,0.00031600226707391156,-16.4698189912601,-70.91955836608136,0.44947229577112224,0.00566752821003885
convs_code_file.0.bias,0.214765230563731,0.34715402270579043,5.2285188045739135e-05,0.30243055114680345,0.4089066465355691,0.1067139804466189,0.0,1.167769940745056,-459.85788280763626,0.346338481980111,0.0072308497457586746
convs_code_line.2.bias,0.037765972353141,0.016838523485418436,8.922297375760155e-05,0.013417744803937828,0.01971311533268248,0.0153167726992365,0.0,0.30935401986722566,-464.02923235719055,0.01660250540865516,0.009445791325114122
convs_code_line.1.bias,0.0163964374986086,0.3498003989894675,1.7442141594544148e-05,0.29799411874033993,0.4067375233584786,0.0105102822234692,0.09133161376927222,0.14382246531517623,-464.5743625023874,0.35073125389162846,0.004176379005136356
convs_code_line.0.bias,0.0390049240477585,0.27364975341037234,3.464173420985089e-05,0.2309412188731979,0.31192751132806434,0.0076420205794523,0.0,0.1660824942220953,-464.2298256313401,0.2736023103563344,0.005885722913105083
convs_msg.2.bias,0.0464563829802717,0.2708194214208187,6.088792878413034e-05,0.2185547492556305,0.3218682427362096,0.0131193286777906,0.01916694769330292,0.41765758289533983,-463.3049098341773,0.27128173127789884,0.007803071753106614
convs_msg.1.bias,0.7319309612606568,0.3545937839564325,8.534125864864675e-05,0.2983287874712143,0.4024914574209505,0.1715182425610702,0.07010675895275598,-1.0523575734416901,-451.7265153199079,0.3546533874285196,0.009238033267348964
convs_msg.0.bias,0.0203104796291033,0.13812473379661452,6.258239193906998e-05,0.12406558876515955,0.16412352752844386,0.007351787661552,0.0,2.4015853611823235,1836.8789550021352,0.13831985922479342,0.00791090335796549
