Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/fc2.bias,3.654161636679514e-05,5.516526009081212e-06,2.143208293785489e-10,3.643242151703432e-06,5.129477841886314e-05,1.4639700453853179e-05,0.02676500954455037,,
1,gradients/fc2.weight,1.4045498133278217e-08,3.072356924806039e-08,5.851169934336546e-16,9.325090212089448e-09,8.661005409113216e-08,2.418919166556945e-08,0.0,0.11328652366231479,1.0949481882306893
2,gradients/fc1.bias,1.984815206016994e-05,2.4723236319217386e-05,1.1937221224434743e-10,2.1852579726053356e-06,3.863945029663115e-05,1.0925759115244466e-05,0.0,0.41232905932975594,3.3354177546642085
3,gradients/fc1.weight,0.20246346880905075,0.2504834784984035,0.005039962095889111,0.014101147886891874,0.27815446010489764,0.07099269043985584,0.009924047410011006,0.15542513577081285,5.918586182351054
4,gradients/convs_code_file.2.bias,1.7285373957002264e-05,1.8681191778241524e-05,2.0137243672564586e-10,4.643977878052858e-06,5.677978775781074e-05,1.4190575630524854e-05,0.005962901537760846,0.4579222019367059,2.2780917719868032
5,gradients/convs_code_file.2.weight,0.0006221852609239932,0.002894379663156743,9.028728558859388e-07,0.00026912979921787895,0.0032171022204082714,0.0009501962196756256,0.07183386610425664,-0.3504101266326696,7.56749977356597
6,gradients/convs_code_file.1.bias,0.09435139452859381,0.0982459572826197,0.00063382102921336,0.05229222176716719,0.1305991673854828,0.02517580245420979,0.0,-0.5847100619252042,1.897350266401622
7,gradients/convs_code_file.1.weight,2.772336440773635e-05,2.4863719286091615e-05,1.0464189973290032e-10,3.1409818215675134e-06,4.1199081239212145e-05,1.022946233840764e-05,0.008520429080345138,-1.6820807987723705,13.07822706450343
8,gradients/convs_code_file.0.bias,0.0004903770102538364,0.0005873382405099746,8.324754383322674e-08,0.00033117577725388854,0.0013726655687663263,0.0002885265045592426,0.0,-0.5383501981817556,1.8175788833512518
9,gradients/convs_code_file.0.weight,9.305931723797409e-06,5.0296169112564265e-05,7.251015870028186e-10,1.9033528942014728e-06,9.416601330661356e-05,2.692771039288002e-05,0.015645158641641267,0.054369827496053985,8.430480829090303
10,gradients/convs_code_line.2.bias,8.792140594075227e-05,8.323619931374699e-05,7.643974001192156e-10,4.199404869656619e-06,0.00010093113424117322,2.7647737703458045e-05,0.0,0.32611458538108373,-0.4253782704916761
11,gradients/convs_code_line.2.weight,0.003468621053623225,0.0021326619121854887,1.8073416659702164e-06,0.0008500914711890936,0.005431042228007565,0.0013443740796259252,0.01178018711776836,0.04545682188298427,3.1828162061315477
12,gradients/convs_code_line.1.bias,0.0017234042780551904,0.001081229177705972,1.8730943217271079e-06,0.0005031648316454765,0.005536953839424433,0.0013686103615444842,0.08210914823425969,-0.15050500500375705,-0.17913177633700017
13,gradients/convs_code_line.1.weight,0.002469933974800255,0.00043474179966174344,1.631524937407972e-06,0.0002153608960536077,0.004448589985758158,0.0012773116054463588,0.0,-0.0004518129664975029,3.801148645154974
14,gradients/convs_code_line.0.bias,3.6194255292265514e-08,1.8788271954833414e-08,7.080335173305793e-17,1.0805560770878336e-08,4.215448732528431e-08,8.41447275431194e-09,0.0,0.3352933316551201,0.764120240953845
15,gradients/convs_code_line.0.weight,0.0018386267135705311,0.004047870202389805,1.4556249682418212e-06,0.0005112857889291435,0.004315991037114154,0.0012064928380399144,0.09302570186723264,0.2669885619601369,7.240809184816926
16,gradients/embed_code.weight,2.487599153663645e-05,1.4129703596827832e-05,5.564101226135062e-10,7.901640381481708e-06,0.00010156198346500573,2.3588347178501214e-05,0.0790770820402684,74.88627442038418,51176.70901808772
17,gradients/convs_msg.2.bias,0.19355204654249467,0.16169155231739105,0.05459062125986686,0.02437340350284421,0.863439473515527,0.2336463593978448,0.003164254930855348,-0.00029416876346370635,-0.7438709859888063
18,gradients/convs_msg.2.weight,0.0036184042697239745,0.001941323503584438,1.0845198352500452e-06,0.0005836035151342221,0.004043246565259057,0.0010414028208382622,0.0,0.21864424666874877,2.3392958852251793
19,gradients/convs_msg.1.bias,0.002903394612885837,0.0021374602574869995,6.853588885948712e-07,0.0005651118321876827,0.0036927916643306686,0.0008278640520005249,0.0,0.043219337168871025,0.32747301848388594
20,gradients/convs_msg.1.weight,0.006141539723940912,0.0016473533392470556,5.5229040529926235e-06,0.0006118315405824555,0.009470164771743797,0.002350085967149333,0.05208389743546615,-0.03274835066038698,2.992595851944145
21,gradients/convs_msg.0.bias,0.005430216922517845,0.004705652167393972,5.015686830780352e-06,0.00024289175109105723,0.00860856355626361,0.0022395729125840327,0.0,1.2264027213085342,1.0142896104933286
22,gradients/convs_msg.0.weight,1.9908477834654243e-05,3.7702537782829695e-06,5.3202994655648897e-11,3.00850914316368e-06,2.5725160681338506e-05,7.294038295460814e-06,0.07775248983035665,0.13705853378627542,6.3998489651033985
23,gradients/embed_msg.weight,0.12559355632656413,0.6946189183728375,0.04674153546544131,0.04003972969606764,0.813360559551027,0.21619790809682057,0.09665705136260008,-5.372720788774651,2004.7126995834299
