layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.24602163356968107,3.926764530100371e-06,0.2190432326237744,0.2858831909750806,0.0068949389242192,0.0,0.9216263825072288,-412.8860926082875,0.24593714536434189,0.001981606552800045
fc1.bias,0.4041797298542702,0.4280414928485501,6.7672709678972525e-06,0.3814269150941023,0.480323192828747,0.0989518972456589,0.05905965950678154,0.3531105497003607,-463.4964994890383,0.4286632815296937,0.002601397887270757
convs_code_file.2.bias,0.5012725556718685,0.3339572539779967,3.1120645268601e-05,0.29757363474635057,0.3712404961931201,0.0198565520812984,0.0,0.8304717668847107,-458.61806015578304,0.33411384937068755,0.005578588107093104
convs_code_file.1.bias,0.7504679668033454,0.47632165100125406,2.8837483455938496e-05,0.42565261422854944,0.566364978060939,0.0980229671362744,0.08779189762460249,-16.59333321952471,-70.63922900517117,0.4771439958575559,0.005370054325231542
convs_code_file.0.bias,0.214765230563731,0.29243889218018143,4.9570057497665715e-05,0.2547643108078485,0.3444586520586509,0.1067139804466189,0.0,1.061174640220459,-459.49600143209113,0.29175188926289813,0.007040600648926546
convs_code_line.2.bias,0.037765972353141,0.017712984311577074,9.854870456046129e-05,0.014114557218434734,0.02073685991069764,0.0153167726992365,0.0,0.2661334237827414,-464.3562739075425,0.017464709307264684,0.009927170017707005
convs_code_line.1.bias,0.0163964374986086,0.3257894621940621,1.542030615184026e-05,0.277539259423006,0.3788183185951523,0.0105102822234692,0.0,0.08722392449944186,-464.88921800647597,0.3266564215195283,0.003926869765072416
convs_code_line.0.bias,0.0390049240477585,0.25808960289644806,3.449004666226368e-05,0.21780954204633374,0.2941908279756776,0.0076420205794523,0.0,0.06877954556685628,-464.7413169949451,0.25804485752823836,0.005872822716740476
convs_msg.2.bias,0.0464563829802717,0.24504156729910215,6.454372065169236e-05,0.1977516901014435,0.29123132399479235,0.0131193286777906,0.0,0.4438387405009528,-463.0784434938727,0.2454598723503514,0.008033910669885019
convs_msg.1.bias,0.7319309612606568,0.35115204954183443,9.265656518486807e-05,0.29543316859361113,0.39858482181913285,0.1715182425610702,0.0,-1.1031447391595786,-451.7068595292497,0.35121107449469646,0.00962582802593457
convs_msg.0.bias,0.0203104796291033,0.1425538996410845,6.461340161038396e-05,0.128043928148183,0.16938638163445283,0.007351787661552,0.04603442064163113,2.4387822872309464,1837.0920880923634,0.14275528204336296,0.008038246177518056
