layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.27706479000180506,4.013084530838649e-06,0.24668223833670916,0.3219561024909722,0.0068949389242192,0.06921068692037846,0.8783738489486175,-413.01547752338837,0.27696964102433397,0.002003268461998628
fc1.bias,0.4041797298542702,0.43624998609366517,7.59928791692569e-06,0.38874148694838473,0.48953428509358476,0.0989518972456589,0.08565340469590588,0.3287788244751764,-463.7150258875763,0.4368836987314212,0.002756680597552994
convs_code_file.2.bias,0.5012725556718685,0.30518488794784376,3.191481542856665e-05,0.27193592980699577,0.33925596130295177,0.0198565520812984,0.04239690870789477,0.5787772706141637,-458.9041091613672,0.3053279917337392,0.005649319908499275
convs_code_file.1.bias,0.7504679668033454,0.4270414880152108,3.411721150851386e-05,0.3816146618060108,0.5077689466402375,0.0980229671362744,0.04256099299148097,-16.57661125315459,-70.572695018067,0.42777875320220915,0.005840994051401976
convs_code_file.0.bias,0.214765230563731,0.33119783264564817,4.8622229962452824e-05,0.28852997953170323,0.3901121295712461,0.1067139804466189,0.0,1.2200329500558522,-459.8730916833249,0.33041977650021154,0.006972964216346734
convs_code_line.2.bias,0.037765972353141,0.016642851132227753,9.402972160995609e-05,0.013261823668538272,0.0194840387352477,0.0153167726992365,0.069999553317728,0.3168107041651227,-464.0189698020568,0.01640957570760472,0.009696892368689864
convs_code_line.1.bias,0.0163964374986086,0.3288678371614987,1.4723746273355091e-05,0.28016171965525183,0.3823977616542256,0.0105102822234692,0.0,0.23471566124661236,-464.57052598788516,0.3297429883599228,0.0038371534075867676
convs_code_line.0.bias,0.0390049240477585,0.2847084932231889,3.8963370850776425e-05,0.2402740204553119,0.3245331327300448,0.0076420205794523,0.0,-0.06753715416599819,-464.55108641747677,0.2846591328994148,0.006242064630454864
convs_msg.2.bias,0.0464563829802717,0.2697518657481627,7.405424964272394e-05,0.2176932181249247,0.3205994553406153,0.0131193286777906,0.045236421889646876,0.6576990755007693,-463.47049212132276,0.27021235320451586,0.008605477885784377
convs_msg.1.bias,0.7319309612606568,0.36858453946922043,9.336844300206136e-05,0.3100995666466582,0.4183720504587971,0.1715182425610702,0.0,-0.9127463821759265,-451.741191543812,0.3686464946396266,0.009662734757927524
convs_msg.0.bias,0.0203104796291033,0.13520705116429207,7.893042414952139e-05,0.12144488497331024,0.1606566584698555,0.007351787661552,0.0,2.541788471628412,1836.7625667500558,0.13539805485368261,0.00888427960779719
