layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.231340197675959e-07,1.0734056160275103e-14,1.0115016282646318e-07,4.6691008278411716e-07,-3.1558510518864194e-05,0.0200467691820429,0.6833972926189023,-0.267690146191242,0.05983182420183147,4.6466007000046017e-07,1.0360529021374876e-07
fc1.bias,3.601385066530827e-08,1.9266141280391853e-16,9.202261091548086e-09,5.539190118147166e-08,0.7224649448495858,0.1133428719451089,0.9588645308172834,0.9578073474592046,0.01415212171337692,2.5242862535861576e-08,1.3880252620320658e-08
convs_code_file.2.bias,8.250719163925243e-05,4.960571854396131e-10,1.026749313489912e-05,8.958464860029407e-05,0.8051789876384037,0.1374376907114736,-0.01043624273086284,-0.8401626804094933,0.0,3.3445411950268076e-05,2.2272341265336553e-05
convs_code_file.1.bias,5.5619685027847975e-08,5.416601166128759e-16,1.0450237835722857e-08,8.943544041460562e-08,-0.0001044009550747,0.0706972257171937,1.5747770374995351,3.730418806264649,0.023162737511230016,4.0767361300604915e-08,2.3273592688127806e-08
convs_code_file.0.bias,5.260958917873958e-09,3.84521193042322e-18,1.0528306037280664e-09,8.633883412735581e-09,0.563354952842928,0.1337718840011416,0.10038110623470779,-0.3146541275158037,0.0786130072836092,2.5996355247691105e-09,1.9609211943429087e-09
convs_code_line.2.bias,4.582906825402645e-07,6.23803223616137e-14,9.720444746231256e-08,9.51748473387269e-07,1.953889443484899e-05,0.039087298509953,2.5423098519459555,9.12893460693499,0.047723452605917684,1.9182006903618222e-07,2.4976053003149586e-07
convs_code_line.1.bias,1.1850919464348058e-06,4.814096664152803e-13,9.099759342790413e-07,3.278827968779343e-06,6.742295416513179e-06,0.0432375307227778,2.0836711841658784,5.843940472796921,0.0293518636721696,3.042139813587139e-06,6.938369162960993e-07
convs_code_line.0.bias,2.509119178741867e-07,9.205272076165407e-15,9.323574944423858e-08,4.248044220868235e-07,0.0005278906998377,0.0197473282303864,0.4887909254729961,-0.010908182537953406,0.026987266767548347,1.0631929438797049e-07,9.594410912695686e-08
convs_msg.2.bias,2.204023234915432e-08,1.73567709077159e-16,1.0123551103246662e-08,5.938764904110801e-08,-0.0006588076272084,0.0546666985913124,4.908413281035066,29.969748901708414,0.0,1.4879234697334416e-08,1.3174509823031712e-08
convs_msg.1.bias,2.1634996448534978e-07,1.5428747949715584e-14,1.0920597662117344e-07,6.130706435014021e-07,6.062533815187235e-07,0.0751172360038982,1.2455644726251112,2.1867381088559767,0.010277397230784847,2.630412390299492e-07,1.242125112447035e-07
convs_msg.0.bias,1.2068462248421915e-08,9.964695021251043e-19,1.0407471016527406e-08,1.4006761034394695e-08,0.3357254763638286,0.0639204642931742,0.6232637175744236,-0.060133751629774926,0.0,1.3653173953312556e-08,9.982331902542134e-10
