layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.257641512673524e-09,1.2678323345165141e-18,9.167987402556867e-10,4.1529896603034734e-09,4.1529896603034734e-09,0.023212608181725,-2.022602633273393,2.829305543883609,0.0237580131144377
parameters/classifier.out_proj.bias,9.821575005878045e-08,1.2217092227119349e-17,9.821575005878045e-08,9.821575005878045e-08,9.821575005878045e-08,0.0222687164965531,-1.7583068396595232,2.6730896763431256,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,4.426834422630271e-07,1.2801763897059864e-14,8.859005827995082e-08,6.400816570966743e-07,8.859005827995082e-08,0.1079961155512113,1.5899254427435483,3.2097115315749667,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.43236962089114e-08,3.640816828493268e-16,1.237799363659922e-08,7.605659592952537e-08,7.605659592952537e-08,0.0763124888200765,2.7654567219723862,10.597478627923987,0.0235252171025471
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,4.183396421984365e-06,5.979760229396858e-12,9.581256777313588e-07,1.0772740751453869e-05,9.581256777313588e-07,0.0240725722818106,3.386171178628221,24.00470896840159,0.087017649901585
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,1.1753597265873596e-08,1.2700228084080958e-18,8.325327150878829e-09,1.3535959085052e-08,1.3535959085052e-08,0.0574533499929262,0.370518174200142,-0.0234753665748445,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,3.6452696475606144e-06,2.8877458212650316e-12,1.0214451119375722e-06,7.82036692026806e-06,7.82036692026806e-06,0.1080940238950576,0.9080354266836445,2.35737234456989,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.3873696124000398e-07,9.056570193624684e-17,7.9991746311872e-08,1.5509998204761566e-07,1.5509998204761566e-07,0.1024712007060072,1.3907536917308858,2.3727678468587508,0.0
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.7310071207681063e-09,3.1738157309671202e-18,1.0592472823801635e-09,8.435632240161447e-09,8.435632240161447e-09,0.0388382746092603,1.439900372701814,3.715030417113213,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,1.8225494510774362e-07,2.078525803186276e-15,1.0043785381917146e-07,2.2598440831601155e-07,2.2598440831601155e-07,0.03959229233189,3.3840331399329133,10.835398796560384,0.0
