layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.582919948615815e-09,1.6129918275541014e-18,1.0894432168417378e-09,5.056442922061394e-09,5.056442922061394e-09,0.0211998639098159,-2.142452538269742,2.429377328923519,0.0
parameters/classifier.out_proj.bias,1.2671356741578658e-07,1.0021438435142012e-17,9.148617573338029e-08,1.3183649793167604e-07,9.148617573338029e-08,0.0206918200447685,-1.4135100076532556,1.955040353326521,0.0665660432789456
parameters/encoder.roberta.embeddings.LayerNorm.bias,5.11493721957071e-07,1.7642012859490738e-14,9.753916566260113e-08,5.910801483129596e-07,9.753916566260113e-08,0.1528533988819812,1.6778242773948024,3.679951696425801,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.2418789189473934e-08,3.5803061069831344e-16,1.0801384274163988e-08,7.432216162948058e-08,7.432216162948058e-08,0.0821574478951307,3.8661066896002887,10.069448668137476,0.0766255929238371
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,3.694416252399904e-06,6.193121403571999e-12,1.1306065020071925e-06,8.668055048570963e-06,1.1306065020071925e-06,0.0208970953708481,4.691998544000331,19.727825212875768,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,9.139298374078369e-09,1.0199341097014461e-18,8.757459640987346e-09,1.1740621382588842e-08,1.1740621382588842e-08,0.0646028111748582,0.5684572764528978,-0.4684687635331679,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,3.9728457841927e-06,2.2586571853360272e-12,1.0771765953187096e-06,6.180923506195839e-06,6.180923506195839e-06,0.0865240086446891,0.9895985909726592,1.6421661380987918,0.0673063688315527
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.1401928265577485e-07,1.0539320788743088e-16,8.587578759765709e-08,1.530633673021082e-07,1.530633673021082e-07,0.1090569336751917,1.1318193548016833,2.2913107411265106,0.0801183433732172
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.7518971086321974e-09,4.4833810736787815e-18,1.0127328926161503e-09,8.570117915520884e-09,8.570117915520884e-09,0.0406097183639552,1.468458687809755,3.586044850733382,0.0285971710423735
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,1.767828623550281e-07,2.081996321397799e-15,1.006744923965809e-07,2.3750896724313546e-07,2.3750896724313546e-07,0.0453844139681774,3.7358961911810993,11.98246552602221,0.0
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,6.729676910329872e-09,5.327441123991371e-18,1.001875919366323e-09,6.91606046303392e-09,6.91606046303392e-09,0.0786352349382532,1.165102861066619,2.179141337549518,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,3.8253368213106194e-08,3.3551865605462407e-16,8.447068378506612e-09,7.65401787430381e-08,8.447068378506612e-09,0.0553344545326659,3.0488290701544845,11.133577707382718,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,3.141749657531964e-05,5.952791848216255e-11,1.2829478042017076e-05,4.604454133989416e-05,1.2829478042017076e-05,0.0606261317890305,4.652972465800291,21.371027647487345,0.0480884311427601
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,1.719282927994973e-06,1.4616530820645677e-13,8.286909350685679e-07,1.999025596282134e-06,1.999025596282134e-06,0.1297163845103448,0.657901134756318,-0.1410279695370487,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,1.8500765799529604e-07,2.5841018431931303e-14,7.720619069116353e-08,5.682277980089932e-07,5.682277980089932e-07,0.0710016867160263,1.4735021172444198,2.1341666410799864,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,2.5339310544312658e-06,5.666812355424931e-13,8.464570683105507e-07,3.3188135243390684e-06,8.464570683105507e-07,0.0625636683754059,2.146718864080884,4.802401300997429,0.0
parameters/encoder.roberta.encoder.layer.1.intermediate.dense.bias,3.5223369424920926e-08,1.6000185419909994e-16,9.770388742560468e-09,6.129186883613059e-08,6.129186883613059e-08,0.0390138239038209,1.3695238375433887,3.139323783077012,0.0
parameters/encoder.roberta.encoder.layer.1.output.dense.bias,1.0603697753315911e-08,8.311931744214922e-16,7.387354630438218e-09,8.205621916332116e-08,7.387354630438218e-09,0.0353565700120102,2.9916365097742723,13.823272545398774,0.0835290224188233
parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.bias,2.191895261449154e-06,4.144640107584978e-13,9.807863038168328e-07,3.312612393267219e-06,3.312612393267219e-06,0.1470433051919263,0.4155036674046232,-0.1691762096337844,0.0288816198731012
parameters/encoder.roberta.encoder.layer.2.attention.self.query.bias,2.4976037340438593e-07,7.513675579520026e-15,7.885184333025298e-08,3.393003432735758e-07,7.885184333025298e-08,0.0727287241191175,2.9347326039234964,6.9432904482431566,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.key.bias,1.879197338115248e-06,2.118535028695327e-12,9.835259947553836e-07,5.195542382811979e-06,5.195542382811979e-06,0.0600868568781186,4.0271674608212615,25.771667928376782,0.0
parameters/encoder.roberta.encoder.layer.2.attention.self.value.bias,5.392728070944242e-09,5.678210910769209e-18,8.947026184638182e-10,6.111219412805964e-09,6.111219412805964e-09,0.1203624111351097,0.2507252945130516,-0.2053987026568406,0.0491947009907316
parameters/encoder.roberta.encoder.layer.2.attention.output.dense.bias,1.1434742370433754e-08,4.134711758571754e-16,1.0302193750308088e-08,7.11420724293732e-08,1.0302193750308088e-08,0.0681439815819032,1.496728896496123,1.6408916997388694,0.0
parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.bias,2.910812067002446e-06,5.879719604917761e-12,1.0362625117298934e-06,7.348749958185657e-06,7.348749958185657e-06,0.0645744474011229,2.116246593438241,4.87919173808031,0.1007396302593497
parameters/encoder.roberta.encoder.layer.2.intermediate.dense.bias,4.1065045569855995e-06,8.966231596715957e-13,1.1081932572810754e-06,4.951342089679504e-06,1.1081932572810754e-06,0.0389186496555544,1.9779165411606177,6.912472725738706,0.0235823851911213
parameters/encoder.roberta.encoder.layer.2.output.dense.bias,5.410937630157875e-07,3.0430322285124675e-14,8.31346967391483e-08,7.110060109247561e-07,7.110060109247561e-07,0.0396566699689021,2.97090777882633,11.075366822311782,0.087520806391555
parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.bias,1.7242548958387683e-09,1.3692322960090262e-18,1.1792030808978259e-09,7.078383819372062e-09,7.078383819372062e-09,0.1312158373161702,0.0861956302462472,-0.6688807112164942,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.query.bias,2.9039851292079216e-07,3.4377278444682065e-14,1.363095746898943e-07,9.534463796560918e-07,1.363095746898943e-07,0.0556827707652997,2.193729760074536,5.597991072589928,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.key.bias,2.933564354632882e-09,7.398726517403135e-19,1.2901096505296052e-09,5.473255903761294e-09,1.2901096505296052e-09,0.0567294115274372,3.136945051726761,13.348041218580663,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.value.bias,1.532411641671249e-07,6.3382448409730624e-15,1.0439610096602985e-07,4.190678045858919e-07,4.190678045858919e-07,0.1623154420498188,-0.0552152347998092,0.1047429713983694,0.0457119005923687
parameters/encoder.roberta.encoder.layer.3.attention.output.dense.bias,4.789520490970404e-06,5.609142277010176e-12,1.122879697869187e-06,8.269791922558418e-06,8.269791922558418e-06,0.0862219783508866,1.6459994658203558,3.030102877842775,0.0
parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.bias,6.32905726803154e-08,3.398106968855806e-16,9.576221055017508e-09,7.780168844983976e-08,9.576221055017508e-09,0.0663705181554232,1.173555971711105,3.112020574631402,0.0383671628753318
parameters/encoder.roberta.encoder.layer.3.intermediate.dense.bias,1.2867650758410986e-07,4.978424504731858e-17,1.2867650758410986e-07,1.496799601058758e-07,1.496799601058758e-07,0.055901509028645,1.7255539195851417,5.210246964604294,0.0
parameters/encoder.roberta.encoder.layer.3.output.dense.bias,2.2729351835826633e-08,5.859141530742687e-17,9.455993696335292e-09,2.6689491012608227e-08,9.455993696335292e-09,0.0456160833077288,2.5295898052367254,7.596460307471728,0.0320929803567201
parameters/encoder.roberta.encoder.layer.3.output.LayerNorm.bias,1.605218855744637e-06,1.415688371327816e-12,9.282275069636492e-07,6.497268153573976e-06,6.497268153573976e-06,0.1868494378966189,0.364437591810904,-0.7243013601090115,0.0005971757594082
parameters/encoder.roberta.encoder.layer.4.attention.self.query.bias,4.971548039586118e-07,4.475224157146662e-14,1.07657430301641e-07,8.486148680010454e-07,1.07657430301641e-07,0.0587361304366626,2.0892326044004648,6.676623460139839,0.0
parameters/encoder.roberta.encoder.layer.4.attention.self.key.bias,1.306390791397913e-07,3.290522789889736e-16,1.306390791397913e-07,1.9213551270025002e-07,1.306390791397913e-07,0.0576368423418802,4.245497099213463,22.61668660488839,0.0
