layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,4.012284599019289e-07,1.1508026080369564e-14,9.835331896015333e-08,4.0894337198091546e-07,9.835331896015333e-08,0.0219436666922557,0.8507487101722501,0.0121825901856935,0.0
parameters/classifier.out_proj.bias,3.786369877675765e-08,1.9065383739686948e-16,9.452653995986868e-09,5.3183871577464795e-08,5.3183871577464795e-08,0.1324618397476605,0.9334311561557,0.5644659777854412,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,8.261374542283571e-05,4.4209426434896817e-10,8.994252205018685e-06,8.372183686214926e-05,8.372183686214926e-05,0.1417072157350039,-0.1450493524562429,-0.9523034386833916,0.0456984991630357
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,5.7167079802501865e-08,3.689831441970819e-16,9.589920543472065e-09,6.661401673618538e-08,9.589920543472065e-09,0.0820785567798288,1.3902579760164735,4.0596952960836505,0.0076157205869741
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,6.550743801559626e-09,5.0136060175541876e-18,1.261937076391238e-09,1.0482951782979554e-08,1.0482951782979554e-08,0.1480091518566453,-0.0788330924456573,-0.3314392977853216,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,4.0535315823209177e-07,6.290582139236723e-14,1.1310093463233465e-07,1.0222158839093592e-06,1.0222158839093592e-06,0.0438724806874087,2.5197070600285816,10.366443288009023,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.6419320211455083e-06,5.530918980157798e-13,9.221510135956616e-07,3.1787653950859335e-06,3.1787653950859335e-06,0.0431325841236508,2.4145179167858357,5.469364626117466,0.0
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,2.9346025502189e-07,1.0116140890457007e-14,1.0996315458201769e-07,5.285429975373105e-07,5.285429975373105e-07,0.0195554610907686,0.3351667614281953,-0.0992699886339255,0.0733216845534791
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.5866280298902288e-08,2.0747621069803956e-16,8.949707158663773e-09,5.3360415558932795e-08,8.949707158663773e-09,0.0549995095892725,5.830267923810518,33.95075655623685,0.0244411925247441
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,1.515497536328539e-07,1.5017472247187665e-14,8.874675204355194e-08,5.196430973606328e-07,5.196430973606328e-07,0.0735207093588933,1.4335609741199566,2.4896866352087375,0.0
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,9.802165578560361e-09,1.188002196194451e-18,7.973493207555845e-09,1.3631297257750922e-08,1.3631297257750922e-08,0.070772714856914,0.4489385382537604,0.2771944690282652,0.0556177985209983
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,3.973388618985386e-07,1.1822368599505308e-14,9.126370391160884e-08,4.819625720053565e-07,9.126370391160884e-08,0.0229553846170598,0.8191175999234577,0.012902982513041,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,4.085701954614356e-08,1.9973390695816335e-16,8.408588090143905e-09,5.9644538521757e-08,5.9644538521757e-08,0.1237162044847672,0.8503309980701327,0.5811150761109812,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,7.542023459572252e-05,4.0025549006879634e-10,1.1576288280826942e-05,9.57638551980166e-05,9.57638551980166e-05,0.1369554069649304,-0.1209591647128845,-0.7479801950844126,0.0468633735183087
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,3.9574077199073815e-08,3.415046377900173e-16,1.0460264418479017e-08,8.576694602823386e-08,1.0460264418479017e-08,0.0793880925764848,1.5917021500352886,3.4372295853781667,0.0108222163103605
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,5.270384257328889e-09,5.2357619066103285e-18,9.568986853943382e-10,8.631365565943678e-09,8.631365565943678e-09,0.1134950933046284,-0.1059029678635982,-0.36742682416278,0.0
