layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.6850329255964425e-06,1.7427828299063768e-12,1.0578378953177614e-06,4.825360463599964e-06,1.5307184036290672e-06,1.251637180818382e-06,0.1629868514915119,-2.5492553417845456,0.0
parameters/classifier.out_proj.bias,1.0966556743100996e-07,2.0453688903635853e-14,9.21173950889229e-08,5.945790206119578e-07,5.007579552627556e-07,1.6170515821805732e-07,-0.0970251472775295,-0.69460332061691,0.0512147309703499
parameters/encoder.roberta.embeddings.LayerNorm.bias,1.920272236201789e-07,2.8742187362796035e-14,1.320881568036782e-07,9.269616002006026e-07,2.1543463886235229e-07,1.8590031223335634e-07,0.1115233846566694,0.5855495258205308,0.0390589981014808
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.7977106313736027e-07,2.4460222882901012e-14,9.442110591935036e-08,6.996574238394081e-07,2.598454266126248e-07,1.76121017820658e-07,-0.0101730130532362,11.30470064770972,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,2.836105850677258e-05,6.441078345210946e-10,1.14967502801435e-05,0.0001149081731132,7.185545341372839e-05,2.757021737957241e-05,-3.0010769478010015,7.899145641015766,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,2.994886054957301e-09,2.4132109288412712e-18,1.2806466131202894e-09,6.621448278596466e-09,1.8501169852968935e-09,1.6418180222221439e-09,0.3705493770092249,0.140294884764178,0.0697959505873737
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,1.3157694880866928e-06,9.829191492389645e-14,7.22560823383757e-07,2.014663882656872e-06,1.5882029385438377e-06,2.929632387153977e-07,0.8557418804993591,1.9982949885355643,0.0749640126617734
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,2.4403649464244843e-06,1.8318900553123198e-13,9.219063581211652e-07,2.902097775689908e-06,2.4326200814683416e-06,4.311339252093138e-07,2.124018521362995,116.85890018296637,0.0242619201970097
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,3.174207044635445e-07,8.461253797316591e-15,8.711698282667263e-08,3.61171246324031e-07,2.7702507129155906e-07,1.0169765188208993e-07,2.403537138842869,49.90623922335473,0.0
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,6.417319468152139e-06,6.002993882569835e-12,9.708806334419649e-07,7.305620574173848e-06,4.570022983510981e-06,2.8047797078921904e-06,0.6400523756131208,118.421256374167,0.0
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,2.585274537959645e-07,6.744759076437061e-14,9.941518642928429e-08,7.450652520284053e-07,1.6814161447167376e-07,2.404266385484026e-07,1.4334362902437163,14.352812511957222,0.059065766667436
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,2.4368759201510946e-07,1.2597581402126808e-14,1.119409135246313e-07,5.547924887059206e-07,2.968480416336297e-07,1.1735858359469745e-07,-0.0332470725494933,-0.105365451722043,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,9.608307201624849e-07,6.670131317691851e-14,9.608307201624849e-07,1.5606330584931364e-06,1.107517489694256e-06,2.681171280050859e-07,0.0922196007127171,0.6411567626707158,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,1.4553669208352555e-06,7.722318311294105e-14,8.45704710067097e-07,1.5272442396541024e-06,9.85130785546738e-07,2.702727283020908e-07,0.0369346976641535,7.115945054714788,0.0676799419403704
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,1.114893356186432e-09,3.644352573785097e-20,9.18651354344963e-10,1.6781223300124487e-09,1.253365758185862e-09,2.188215607005168e-10,-0.4760470211202208,0.3314640216487498,0.0659305270017564
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,4.1668725922832535e-05,9.19490997039274e-11,1.0692418294751916e-05,4.7013045286139685e-05,3.7082597909522066e-05,7.424492635767883e-06,0.214030281186944,10.490706154005917,0.0
parameters/encoder.roberta.encoder.layer.1.intermediate.dense.bias,3.836085685493798e-07,3.7744074161687074e-14,7.785511053120457e-08,6.269171822126054e-07,3.776529596220984e-07,2.358000904630711e-07,1.9534271137099168,16.922203256729752,0.0
parameters/encoder.roberta.encoder.layer.1.output.dense.bias,1.205777047643129e-07,1.7604242380951914e-14,9.967918751604375e-08,4.0867751599052913e-07,1.3556459995419658e-07,1.3897888686952885e-07,-0.0910287859247459,40.86709661415433,0.0463323328712034
parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.bias,4.572847876306685e-06,7.375741825778322e-12,9.980103688994672e-07,1.2025676786795312e-05,4.2038071123751465e-06,2.9471725663610848e-06,-0.1311717994241638,0.0078127308866348,0.0834838764401774
parameters/encoder.roberta.encoder.layer.2.attention.self.query.bias,8.308699182145283e-05,7.333598595538728e-10,9.845589411274934e-06,0.0001093758770356,1.2581655122735937e-05,2.6742151734575844e-05,-0.0780049340605362,8.499588919465845,0.0566450221533731
parameters/encoder.roberta.encoder.layer.2.attention.self.key.bias,6.485584452572419e-09,6.373549710021802e-18,8.396042945279101e-10,1.0745383063052017e-08,5.740678411309508e-09,2.696729240130791e-09,-1.416877404159402,21.740119425387213,0.0419644463385689
parameters/encoder.roberta.encoder.layer.2.attention.self.value.bias,3.757650568755277e-07,5.6464206801088546e-14,1.3446133064885597e-07,1.0653790245640322e-06,1.3446133064885597e-07,1.876483079124884e-07,-0.1094068536255576,0.3597241355502834,0.0042457142270428
parameters/encoder.roberta.encoder.layer.2.attention.output.dense.bias,2.1671982452109985e-07,3.8276138149570804e-15,7.780519079312769e-08,2.793342115648723e-07,1.4458769312356866e-07,8.014509447771875e-08,-0.0256997680152357,1.0456777481532284,0.0
parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.bias,4.695999027694098e-09,6.543508204615355e-18,7.624897967302338e-10,7.350905902310432e-09,7.200223349525247e-09,2.678978042527731e-09,-0.7719209330215685,88.15420937679433,0.0518104765322551
parameters/encoder.roberta.encoder.layer.2.intermediate.dense.bias,7.801884479339695e-07,5.914970582001695e-14,1.0401973330289625e-07,7.801884479339695e-07,7.801884479339695e-07,2.409599372580222e-07,0.4227103232197729,23.443962381298675,0.0773579546566977
parameters/encoder.roberta.encoder.layer.2.output.dense.bias,1.1843495375550737e-07,5.1601832569825465e-14,1.1843495375550737e-07,1.002667655439418e-06,1.5797483939966867e-07,2.465567119039418e-07,-0.4286600827605405,64.93790433630457,0.0
parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.bias,5.7700255680817975e-05,2.4405383586901044e-10,1.114362794693618e-05,5.7700255680817975e-05,3.007813521605301e-05,1.6411121504636816e-05,-0.0127143970469171,3.640194968978172,0.0793615383376378
parameters/encoder.roberta.encoder.layer.3.attention.self.query.bias,2.598566095149937e-07,5.5356554897939e-15,1.0134161037105089e-07,3.4071034034272345e-07,1.203114419710002e-07,8.376253017705463e-08,-0.0901255372527009,0.493770834819085,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.key.bias,6.484070101033231e-05,3.317318867004979e-10,1.0668267683212542e-05,6.484070101033231e-05,6.484070101033231e-05,1.8497726309436364e-05,0.0797350447332606,0.4856895513865513,0.0
parameters/encoder.roberta.encoder.layer.3.attention.self.value.bias,4.548176917491175e-08,2.612395091351748e-16,8.953816601194619e-09,7.573429804457559e-08,2.061953471920546e-08,1.316416324907502e-08,-0.3316830686994912,9.138639846592618,0.0973429815956102
parameters/encoder.roberta.encoder.layer.3.attention.output.dense.bias,3.4322744956864547e-08,1.8196786023174144e-16,8.580752837694346e-09,6.522080921665305e-08,4.344842229612221e-08,1.0546545677757994e-08,0.1480013452294587,0.6444319823001223,0.0080181147374189
parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.bias,1.0390466796342353e-07,1.3037940545794012e-14,8.03053251170616e-08,4.993351431721688e-07,1.2468329586070172e-07,1.2318265099352708e-07,1.3922162698747385,196.3445637351551,0.0
parameters/encoder.roberta.encoder.layer.3.intermediate.dense.bias,1.2149439688630436e-06,1.2051442854337693e-13,8.717314168425106e-07,2.078522698048777e-06,9.72827101134495e-07,3.534114949752561e-07,1.938487157735171,35.665891113560726,0.0795380909110509
parameters/encoder.roberta.encoder.layer.3.output.dense.bias,2.9726788774388765e-07,8.810811595768867e-15,1.0861457890270481e-07,3.9991534151937147e-07,2.477128642286274e-07,9.994326566449437e-08,1.0553603996651206,142.4620591997684,0.0
parameters/encoder.roberta.encoder.layer.3.output.LayerNorm.bias,1.3323285980820774e-06,1.3531117277692136e-13,8.124136898235809e-07,2.5688280764445094e-06,1.801306243912188e-06,4.2384683800522587e-07,0.9707495529708576,2.9502676069071163,0.0868922170245908
parameters/encoder.roberta.encoder.layer.4.attention.self.query.bias,2.0303887511547105e-05,8.294029691486855e-11,1.118353218896753e-05,3.3414439301292096e-05,3.3414439301292096e-05,8.585697857620197e-06,2.0572339537019486,145.7829623268689,0.0324216060554541
parameters/encoder.roberta.encoder.layer.4.attention.self.key.bias,1.1189022520552817e-08,1.1889730990146173e-17,8.710874476028214e-09,2.3164027700760793e-08,1.9680255502027458e-08,4.197447679940511e-09,-0.6185295477649061,9.0552283340147,0.0910569466633545
