layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
parameters/classifier.dense.bias,2.368977618862622e-09,1.2589362700062553e-18,1.1865060104514598e-09,5.560720464441083e-09,5.560720464441083e-09,0.0190869130882243,-2.102060843951875,1.9835203365329177,0.0581381607324168
parameters/classifier.out_proj.bias,9.982181277626297e-08,1.049708133114875e-17,9.982181277626297e-08,9.982181277626297e-08,9.982181277626297e-08,0.018957685864951,-1.5246182738792178,2.2433922278063054,0.0
parameters/encoder.roberta.embeddings.LayerNorm.bias,5.21149459274187e-07,2.029982307411385e-14,7.802917563203592e-08,5.898768958782655e-07,7.802917563203592e-08,0.1231649951446241,1.876944529343211,4.142181623569174,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.query.bias,3.708220607159309e-08,4.425121643954964e-16,8.840231072449477e-09,8.810562312313588e-08,8.810562312313588e-08,0.0810688216748544,2.3842713151842108,10.941440715810218,0.0
parameters/encoder.roberta.encoder.layer.0.attention.self.key.bias,3.487131403620118e-06,5.654647187753547e-12,1.1656013343018951e-06,8.644476758097797e-06,1.1656013343018951e-06,0.0216190423436685,4.284619914060141,19.633685009505975,0.0858134977661285
parameters/encoder.roberta.encoder.layer.0.attention.self.value.bias,1.1361049105481636e-08,6.655352435851221e-19,9.641984288797168e-09,1.1670134756029283e-08,1.1670134756029283e-08,0.059913355828381,0.6991872832496636,0.1434469665690857,0.0018214365537091
parameters/encoder.roberta.encoder.layer.0.attention.output.dense.bias,3.2871761011032805e-06,1.9302853775740685e-12,1.0047173726563171e-06,6.29618732446342e-06,6.29618732446342e-06,0.1026374995336842,1.119519118734391,1.8127308735895191,0.0735971580311057
parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.bias,1.553247484841147e-07,1.0115139768645585e-16,9.050342303340673e-08,1.671865254836034e-07,1.671865254836034e-07,0.1074088199417733,0.9758407874591388,1.998114361613468,0.0
parameters/encoder.roberta.encoder.layer.0.intermediate.dense.bias,2.632948398480545e-09,3.1749283191976133e-18,1.0892500564958534e-09,8.331003864617475e-09,8.331003864617475e-09,0.0367963366331472,1.70666545327998,3.8441647141493673,0.0387047847934222
parameters/encoder.roberta.encoder.layer.0.output.dense.bias,2.229826387892482e-07,2.0098911667617017e-15,1.1456506909754993e-07,2.229826387892482e-07,2.229826387892482e-07,0.0391254171201611,3.694111527615387,11.305465145724456,0.0258251745371299
parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.bias,7.069003658508696e-09,6.332410644595508e-18,8.849023847447371e-10,9.533620019441367e-09,9.533620019441367e-09,0.1131675634870577,1.3759574227625155,2.9913466330501075,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.query.bias,4.6347681658159833e-08,3.007165263860709e-16,9.030292405455591e-09,5.7238594228920855e-08,9.030292405455591e-09,0.0488894401436733,3.140110856214066,7.178669080049422,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.key.bias,2.8721392774782755e-05,6.658142935371256e-11,1.2246187246049936e-05,3.311301369484119e-05,1.2246187246049936e-05,0.059806871971538,4.79238273334756,23.46912417113434,0.0
parameters/encoder.roberta.encoder.layer.1.attention.self.value.bias,1.8427791914043496e-06,1.1130909338846913e-13,1.0950366135737986e-06,1.8427791914043496e-06,1.8427791914043496e-06,0.0988804376732458,0.5341759085417132,-0.0964766550663783,0.0
parameters/encoder.roberta.encoder.layer.1.attention.output.dense.bias,1.9577501135210718e-07,2.5737637033314324e-14,9.955014754391808e-08,6.181143692679323e-07,6.181143692679323e-07,0.0789855793812216,1.5562495077423788,2.8502299394937785,0.0932660384781508
parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.bias,3.443484450684552e-06,6.923949431715697e-13,9.449125903218922e-07,3.925378328877139e-06,9.449125903218922e-07,0.0864979772531071,2.2396315275866754,3.650768393503097,0.0702040987889552
parameters/encoder.roberta.encoder.layer.1.intermediate.dense.bias,3.5705211309856834e-08,1.516340099051822e-16,1.0291331682332751e-08,4.602397982031472e-08,4.602397982031472e-08,0.0435669150048775,1.4894575026631307,2.906482976910183,0.0299398337030419
