layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.03426987271918646,0.23854644745402245,4.078371610207905e-06,0.21238776534847703,0.2771968407998151,0.00690069110245701,0.053463436436195465,0.782280601242196,-413.30102693442376,0.2635324332706937,0.0020178144771016
fc1.bias,0.4268483445946534,0.39520765974508054,7.011306762740485e-06,0.35216875232107847,0.4434789807311952,0.09717407614756596,0.012759565016021998,0.03949963321745756,-463.5157104178099,0.3747629900756924,0.0026963309054608
convs_code_file.2.bias,0.45237393053085045,0.3016601011219033,3.173585563695121e-05,0.2687951577021615,0.33533766459087216,0.02056895875689774,0.0,0.3543774842373702,-458.9053693491011,0.3344243006046813,0.00543834353149
convs_code_file.1.bias,0.8187866499341013,0.44230155831579987,3.4206045488950806e-05,0.39525143183967043,0.5259137640400638,0.10341585731999847,0.039976801096051964,-16.66212059828047,-70.49379785981628,0.4060962849604887,0.0055436032695517
convs_code_file.0.bias,0.23274604885072844,0.3101967163443306,5.260172836808788e-05,0.27023441398358816,0.36537528229710964,0.1089026727857491,0.04874633693217289,1.0429245031916654,-459.5357166768778,0.285560016722904,0.0071069422732916
convs_code_line.2.bias,0.03618811193763637,0.01680582071307785,8.165671657932098e-05,0.013391685663180825,0.019674829700132377,0.01488000407174216,0.025063187457411495,0.31605562904250517,-464.62628710826766,0.0172927512911344,0.0093016538537308
convs_code_line.1.bias,0.016003948474561328,0.361301430054076,1.935028563380036e-05,0.3077918194479554,0.42011058097877213,0.010864010636596776,0.0,0.5223870693962612,-464.4275058022458,0.3711472109337443,0.0042556694316909
convs_code_line.0.bias,0.0352125862377914,0.24874046198367006,4.124671870268228e-05,0.20991952215445975,0.28353394185890135,0.008115991398873264,0.0,-0.08984280103040272,-464.35373542790296,0.2754816330204452,0.006047297398708
convs_msg.2.bias,0.04437434502636129,0.2589596879521539,8.432219368194751e-05,0.20898379211790358,0.3077729775190693,0.013732969882340268,0.0,0.5411144089380338,-462.8835982438186,0.2715728456244656,0.0087723932719984
convs_msg.1.bias,0.7378203768871152,0.3691366937473548,8.918267760794298e-05,0.31056410811282537,0.4189987884056609,0.17797875527361837,0.01651665144228073,-0.9059291528384353,-451.6489475740961,0.3662517306313499,0.0091008594357047
convs_msg.0.bias,0.021340911545527436,0.15009461661679407,7.312087593984087e-05,0.13481710674978242,0.17834646456912417,0.007812020317447875,0.0120953857854148,2.622857770476962,1837.0638329715957,0.1430491935189505,0.0080473016974589
