Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,0,gradients/conv2d/kernel.gradient,0.005232183119372092,0.11700744579642715,0.06416716520775441,-1.317051892159434,1.6994651103637788,0.2533123866054608,0.0,0.2552770556296121,4.086087613569263
1,1,gradients/conv2d/bias.gradient,-0.032968599460987284,0.04239355567019513,0.02788960821974625,-0.6943384731614255,0.3616444422495233,0.16700182100727623,0.0446657909220241,-0.8716958482674666,5.857369427295269
2,2,gradients/conv2d_4/kernel.gradient,0.0046886329741562885,0.07019190202999488,0.060438001273183474,-4.573195893905085,2.168132265184194,0.24584141488606742,0.0,-0.27653136485543767,23.2555218862146
3,3,gradients/conv2d_4/bias.gradient,0.017849028291381134,0.041589903321638505,0.00765300348303132,-0.18185298542479097,0.33568813553010574,0.08748144650742522,0.0,1.1457997602929568,2.7760450321228562
4,4,gradients/batch_normalization/gamma.gradient,-0.02546484550654118,0.055827161317526894,0.018252466378889207,-0.48218155441317134,0.33285479455919975,0.1351016890304831,0.0,-0.29099896597126196,2.798408959093095
5,5,gradients/batch_normalization/beta.gradient,0.06340742653841834,0.06860174231815072,0.005782510136462331,-0.08896577720194686,0.2535278958760995,0.07604281778355147,0.0,0.25527309160447376,0.20597582264836664
6,6,gradients/batch_normalization_4/gamma.gradient,0.02499587164860932,0.06582197811362224,0.03166409429854574,-0.3271539514015214,1.0157865100070056,0.1779440763232813,0.01778364371684361,2.4920821106723907,10.337285393741777
7,7,gradients/batch_normalization_4/beta.gradient,-0.05763272605778033,0.08255655227702405,0.006790888967639591,-0.21209195261352434,0.14455832127177454,0.08240685024705013,0.10079966910149726,0.4777162819898849,0.4606677015673041
8,8,gradients/conv2d_8/kernel.gradient,0.006235977220850002,0.11115348583311335,0.11731999375394195,-3.1375126463059346,4.205099007771793,0.34252006328672485,0.05722416142811585,0.2881942021459135,12.089837667086202
9,9,gradients/conv2d_8/bias.gradient,-0.0027880591786739644,0.04228993220049563,0.013294783417947709,-0.3997039748656392,0.5394980500700867,0.1153030069770419,0.006342769701303303,1.095418734470011,5.185325420290603
