Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.008925811532891433,8.116216117293193e-05,0.007525981937970441,0.009936803280009563,0.008561810743446922,1.0269026049316587,-1.5748156684366625,0.5911969594408746,0.0
1,parameters/classifier.out_proj.weight,0.03153992711448461,2.8645707151877083e-06,0.027219042047341508,0.035213753768309534,0.030755845647555614,0.9331680421463313,-1.1461663043355064,1.3917508528373994,0.08445431206227043
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.017265985009918636,1.0192324818451614e-05,0.014694932235367292,0.019655534460247915,0.016957147353329313,0.9644444895167826,2.0361274617706036,3.9970557583795596,0.04325697021158779
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.028535840293143645,6.0942386093028513e-05,0.025816946808993747,0.03409636585447769,0.028775942132898042,1.0145418708458096,3.2868874371121333,10.251247809290014,0.027568816743069616
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.01117538702819725,3.8015698060988306e-06,0.00937304287229937,0.013651570416661067,0.011657384851104183,1.0505816163189754,4.446363628153176,20.239983418900298,0.018338800131894754
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.020802179153155163,3.760177540165084e-05,0.01902170667340478,0.024537649186209883,0.02138288238983338,1.0445312377259857,1.027563476805063,-0.2799882606385697,0.0
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.03353292479312878,6.341188668083316e-06,0.029464291119985,0.03951612554399538,0.034243214643381197,0.9550584476237384,1.3144601505091524,1.6171852072026125,0.0
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.044455389136774257,3.808370183108015e-05,0.03849155929505361,0.052594484601997,0.044269708326870445,0.9952055310324426,1.721503859694922,2.4331102499413753,0.0523301901461587
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.01471619681254119,2.255196985484198e-05,0.013146533703650083,0.017440194216794946,0.015546005983984784,1.0313365759700568,1.8222115913254477,3.097063397850931,0.014936914533605843
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.04456588197414683,8.402754752566096e-05,0.03648704355030893,0.051016159403738534,0.04492323126000135,0.9461090100543801,3.801457501839556,12.668083603196767,0.0
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,0.012167926025586775,1.4109166756592833e-05,0.009528131795967348,0.013520217084500505,0.011909390073381394,1.0468011132609134,2.009812649686178,3.0042786581890324,0.02946582668042476
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,0.008795299479200554,9.914516084571325e-06,0.0074013685583566285,0.010199382747391692,0.008723060548461593,0.9314379404078363,2.868887413380334,9.000165741504738,0.014777500446340259
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,0.00957725234900646,2.0561369724481508e-05,0.00832371652931534,0.011705697123247448,0.010127698406887483,0.9732277028795445,4.897823496720936,23.298124851076928,0.0
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,0.00247921621503475,4.8261420251908784e-05,0.0024101736068103305,0.0034182790720779844,0.0029225291958380716,0.9615217187135452,0.9135270642087878,-0.17799410845732874,0.06266849545036013
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,0.011405492020583493,2.4822727218001828e-05,0.008676362174675475,0.01257000140731914,0.01049545422782215,1.0717100362440226,1.6822873693893892,2.1539263107028637,0.0
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,0.0014855011001257048,3.411019013862695e-05,0.0015786343597970847,0.002135604892174067,0.0018283184188073124,0.9550700521034211,2.224607136949042,4.626823255693634,0.010406199791660025
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,0.02194841825539362,1.7920830315922197e-05,0.01877091974316015,0.02420634815334376,0.021845202206421565,1.0017672581133694,2.14454629968838,2.7234156277864217,0.02976469840763284
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,0.013364515451146518,2.1323740360296272e-05,0.010780345866272365,0.015251577446422894,0.012727229329301594,0.9731051808543297,3.563342676806533,11.785493109235677,0.02204569452074768
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,0.04118106247336421,4.801258401006607e-05,0.03308196099136252,0.046709235224922305,0.040587789741107605,0.9883660889854551,0.8463878876515729,-0.49000126640650943,0.0
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,0.04605309837517796,5.523364097518111e-05,0.03816630140273206,0.054374471532056275,0.04642966207667967,0.9546107612744102,3.065044589009208,7.846759466555427,0.0
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,0.016914320929072323,3.2616642416168195e-05,0.01585690389633989,0.020214723326970132,0.01773599086679974,1.0294987508933566,4.732532985965525,23.701504826954146,0.04910544007057069
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,0.04014716979102539,2.9567996841096067e-05,0.0347776683434559,0.044626872414227386,0.03981317447527409,0.9908420520377957,0.4766138280144047,-0.6228562552476723,0.0
22,parameters/encoder.roberta.encoder.layer.2.attention.self.query.weight,0.03280788836570402,3.5964732915609947e-05,0.02724547764722987,0.03993415286994117,0.033327985157354904,1.0633712450137693,2.0729902201171946,1.9153791275693486,0.048866726827012964
23,parameters/encoder.roberta.encoder.layer.2.attention.self.key.weight,0.01357636893783033,7.833454504111512e-05,0.011310973554363482,0.014582201508346491,0.012616223637924475,1.0351654238572563,2.3108012063792556,3.616677936656983,0.0
24,parameters/encoder.roberta.encoder.layer.2.attention.self.value.weight,0.008787674983436687,6.673271051980117e-05,0.008021582100020486,0.010922420298187237,0.009219830099844997,0.9614484241999693,2.9618950490863907,5.8649926279257985,0.013871159795454403
25,parameters/encoder.roberta.encoder.layer.2.attention.output.dense.weight,0.01794607622858493,6.731808613641606e-05,0.015297368350140315,0.02062877426433699,0.017283348790680265,1.0590562494979778,3.5960796994423196,10.601507599856202,0.048935083162543414
26,parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.weight,0.03544445944856576,0.00010411042841451725,0.02953262658917513,0.042117963787532284,0.03527428231058586,1.0189539064579607,0.33970140903729595,-1.6566260581525105,0.0
27,parameters/encoder.roberta.encoder.layer.2.intermediate.dense.weight,0.01531501374034685,9.251515485848945e-05,0.013362134497536787,0.01802761563579045,0.015746809701171628,0.9713526100354782,2.368210647356245,5.030761462158309,0.0
28,parameters/encoder.roberta.encoder.layer.2.output.dense.weight,0.008118527400074576,1.7890129010415706e-05,0.0077443802957063695,0.010192387286849834,0.009117585591944368,1.0310509839773376,3.904976261179199,15.219178104123289,0.0022960914004941163
29,parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.weight,0.038987444527787775,3.947778970779637e-05,0.03201085244753613,0.04447326054142429,0.0385298726736916,1.0526361616977993,0.19559935705927534,-0.8891365707264138,0.0
30,parameters/encoder.roberta.encoder.layer.3.attention.self.query.weight,0.03549890588033302,2.9947476308389644e-05,0.030979039560900926,0.04320141738308955,0.03606461623308195,1.0526293228130945,1.9372947944247423,2.331129487075939,0.09135536831028579
31,parameters/encoder.roberta.encoder.layer.3.attention.self.key.weight,0.04146299296018461,4.435123306612787e-05,0.034722486802731045,0.04842432945682717,0.04158342605589672,0.993967106054649,2.431733844827323,3.4402241578333954,0.08013968254661415
32,parameters/encoder.roberta.encoder.layer.3.attention.self.value.weight,0.03939299034009858,5.033610686146405e-05,0.03390429503350083,0.046162103503546735,0.039891191455583244,0.944662020644653,2.7068728864619147,4.586664308158157,0.10286985780037784
33,parameters/encoder.roberta.encoder.layer.3.attention.output.dense.weight,0.003617582287139904,8.915201620232102e-05,0.002107808342463173,0.002807002023269917,0.002488573967611515,1.0692774294504293,3.16930250059069,8.28892692056965,0.0
34,parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.weight,0.03483581238981983,4.267019375321159e-05,0.028334096289673392,0.03929263787905936,0.03401145785606881,1.0530867658105632,0.8489073539376966,-0.781985863512595,0.0
35,parameters/encoder.roberta.encoder.layer.3.intermediate.dense.weight,0.056744927105103815,1.0037102886672888e-05,0.04796164591060302,0.06462245264265105,0.05774547975832517,0.990986727743374,2.856513421264172,6.145946627912767,0.0
36,parameters/encoder.roberta.encoder.layer.3.output.dense.weight,0.021415126603398425,8.503483821080282e-05,0.01816799291035919,0.025633530573492633,0.021642240196904004,1.035537016180553,4.673065856083109,19.78175393739973,0.05722872313963094
37,parameters/encoder.roberta.encoder.layer.3.output.LayerNorm.weight,0.002641593621044229,1.0625896302710522e-05,0.002744337818174952,0.0035949080838902437,0.0031649087722400967,1.0150402022211975,0.3219485221727543,-0.8886867479264008,0.012922922364589988
38,parameters/encoder.roberta.encoder.layer.4.attention.self.query.weight,0.015437647083887512,6.081371731821084e-05,0.013996706271199264,0.017615757084660733,0.01581786482667418,0.9900773342764654,1.8084847873449896,1.7691013673931875,0.0
39,parameters/encoder.roberta.encoder.layer.4.attention.self.key.weight,0.028315963235275764,4.1401782851744746e-05,0.024197701918339365,0.03234933842057291,0.02873911130337001,1.0200377695481784,2.324993975021001,3.73690814515306,0.0
