Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/conv2d/kernel.gradient,0.5706071999922879,0.3196564055010613,5.170617030998359,-4.302110160916634,7.129306121040239,2.2738990810936084,0.0,2.4638492212196974,10.552836671143762
1,gradients/conv2d/bias.gradient,0.4304286259672075,0.16451391813865063,4.657092698867303,-0.7434712222630669,5.174265085552937,2.1580298188086524,0.09632734247051335,4.562248082011842,11.926051467557038
2,gradients/conv2d_4/kernel.gradient,0.08053643155856326,0.04240809681858324,0.07010335785424725,-1.0974976864794952,1.4826987454555887,0.26477038704176736,0.0,1.7205546322018208,20.143870575680715
3,gradients/conv2d_4/bias.gradient,0.020495713679028936,0.013701998017392391,0.005400435902617494,-0.057884311123029976,0.143494232575992,0.07348765816528383,0.06224377150677658,3.1387663996346173,8.03176028621524
4,gradients/batch_normalization/gamma.gradient,0.2355137544846578,0.16616417789812016,0.42829780424323327,-0.4166905996614982,1.3541725413439503,0.6544446533078508,0.035621403194211254,2.415431783393738,6.483039873373051
5,gradients/batch_normalization/beta.gradient,0.42085440431208493,0.3369370051874514,1.2802695014481849,-1.0427838226204262,0.5148252122188737,1.1314899475683315,0.07340915178449936,2.117647752933477,4.781087944923616
6,gradients/batch_normalization_4/gamma.gradient,0.03818441361048984,0.029133546601988834,0.013494019714810698,-0.12099191335538889,0.18344008888831467,0.11616376248559948,0.0,2.616728327946923,6.4957678109751145
7,gradients/batch_normalization_4/beta.gradient,0.01637631228883292,0.014130874391980387,0.0026116207020407704,-0.04362953716942209,0.05218799268546598,0.051104018452963675,0.06812851122277906,2.312915433851263,4.929895916399923
8,gradients/conv2d_8/kernel.gradient,0.16194529529904267,0.07974873651231242,0.26723818247565073,-1.5295516749052394,3.0495849967717463,0.5169508511218941,0.0,2.6027981446904778,13.681672712491446
9,gradients/conv2d_8/bias.gradient,0.059717515439030866,0.04413213283636109,0.04794150100161795,-0.2929793002173784,0.2948399383926976,0.218955477213104,0.06534561729094611,1.848527248450648,8.794706743780607
10,gradients/batch_normalization_8/gamma.gradient,0.13760981861298632,0.09226106169003177,0.21069759745378325,-0.4087594710572468,0.8815041854795898,0.4590180796589424,0.0,3.752479584344165,8.46450832160735
11,gradients/batch_normalization_8/beta.gradient,0.08116832703288963,0.07527916646931637,0.04430042078521172,-0.1998186276336908,0.2971359196099866,0.21047665140155528,0.0,2.166033215307007,5.996958358932303
12,gradients/conv2d_1/kernel.gradient,0.04099096581509585,0.021922234968529297,0.03310518011373066,-0.6598683430667839,2.329293979349342,0.18194828966970478,0.04436997358908149,5.857494757216936,67.14686431449282
