Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.008635143738476242,9.7883645412351e-05,0.007280899396998281,0.009613212681855481,0.008282996583431568,1.0421797827910813,-1.4581464327290639,0.3732833238015768,0.0
1,parameters/classifier.out_proj.weight,0.030311849550269034,3.295287408511299e-06,0.026159207801801178,0.03384262755112784,0.029558298047932485,1.0408753135067255,-1.1093946031867292,1.1535166056011354,0.08046591781280689
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.01993498579128729,1.2481606416599171e-05,0.01696649598315365,0.022693915230443316,0.019578407565811702,1.028155670664091,1.8324708774584633,3.096654713860876,0.0
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.02572810032031937,6.0292616636625386e-05,0.023276728165097526,0.03074150654933009,0.025944577710045196,1.058310669828805,3.378256612777396,10.725350928626472,0.0
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.009796971270693164,3.866309571664743e-06,0.00821693526203588,0.011967732556771117,0.010219517605029612,0.9814686463330196,4.635625835392966,19.95667357603569,0.0
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.024094615261984087,3.8632071785832025e-05,0.022032340965224585,0.02842131164347687,0.02476722849957494,0.9756727044036149,1.0392894357851055,-0.2971543524271964,0.0
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.03507298520532904,8.785996422885466e-06,0.030817492148746215,0.041330975306409015,0.03581589640568166,0.9948970336706687,1.5796035897905087,1.5775460271033543,0.0
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.04843802675231045,4.5219762225163116e-05,0.041939913586981514,0.05730628168246347,0.048235711302774216,0.9887760848432531,1.975484542630931,2.572706824587375,0.0
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.01533838691170139,2.4142903875553655e-05,0.013702359588073965,0.018177552945231688,0.016203279811450696,1.004003932971414,2.0871843340954768,2.925994925806118,0.07062628756870336
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.038291026650627336,8.129547534328051e-05,0.03134968489567807,0.043833108037095024,0.03859806132428597,1.0437511500071992,3.395764606650609,12.337698840250106,0.019038853461676962
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,0.015229859054092161,1.3064836549543239e-05,0.011925787845541934,0.016922440204245232,0.014906265197240634,0.976676227206761,2.06194674930178,3.201969576222626,0.0
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,0.008183024539155821,1.2664311596242404e-05,0.006886130560942907,0.00948936412040566,0.00811581444081661,1.0658856415218443,3.0390790643816703,9.032753085463025,0.0
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,0.011442489791764387,2.1331872506825967e-05,0.009944819030075117,0.013985464197582663,0.012100139101680962,0.9831301435311062,4.708913545408096,23.775677357648565,0.0
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,0.002636929148237183,5.7743784670354516e-05,0.002563494461503105,0.0036357295774806964,0.003108443054036495,1.0277813992534128,0.7768387416149143,-0.5730715003676358,0.0
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,0.011851883386308722,2.3613522826558098e-05,0.009015940086236865,0.013061969670087211,0.010906228277570176,0.9769884759674619,1.8440315447506619,2.227922977362371,0.07727235781441624
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,0.0012095977066751925,3.417137054708512e-05,0.0012854332461467936,0.0017389571638280268,0.0014887432707213918,0.9850326500325408,2.520528993587603,4.5435048792184,0.0
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,0.02293145886556014,1.5938741105073955e-05,0.019611644399624612,0.02529051845580821,0.022823619906336474,0.9284216199851975,1.967128887931809,3.1394636717462268,0.0
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,0.01244000107819408,2.046118466836258e-05,0.010034596068219485,0.014196522168814172,0.011846800369058883,1.0601161582272718,3.727695772576496,11.725569832681105,0.020060826202608985
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,0.036754753781758256,6.167514514276633e-05,0.029526176786762344,0.04168873596053184,0.036225248424444315,1.0258459155361443,1.0591888929347593,-0.8163880277229036,0.04712834219294575
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,0.04787716508751514,8.24506612090485e-05,0.03967798861549231,0.05652813039588654,0.048268643688061975,1.0656270718630945,3.2538803259318803,8.195486815690447,0.04256079356660979
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,0.014408553336492049,3.6630240055728415e-05,0.013507787069910569,0.017220018495596404,0.015108497198996682,1.0594716839112477,4.83537587261282,23.030553963200084,0.0
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,0.04079609465678763,3.3078849576224046e-05,0.035339802458482554,0.045348205632522204,0.0404567007571121,0.9773374902137146,0.38775475512208485,-0.46546163695772635,0.0031665049895909414
22,parameters/encoder.roberta.encoder.layer.2.attention.self.query.weight,0.03513710130675491,3.541729508203989e-05,0.029179784372906907,0.042769298631769814,0.03569412263814494,1.0522288756209315,2.015302592234102,2.377119327663014,0.0
23,parameters/encoder.roberta.encoder.layer.2.attention.self.key.weight,0.01608171673126002,8.666463349362466e-05,0.01339827117906213,0.017273163026818698,0.014944388716336085,1.0038686181337215,2.3050544200133993,3.5258900122219683,0.08534920705863462
24,parameters/encoder.roberta.encoder.layer.2.attention.self.value.weight,0.008729707213411689,9.619906002503714e-05,0.00796866785054189,0.010850370711788635,0.009159011624889449,1.065901930939861,2.4174848247392107,5.722317675082143,0.0
25,parameters/encoder.roberta.encoder.layer.2.attention.output.dense.weight,0.02301406847944733,5.690613158310442e-05,0.019617362496471433,0.0264543634786481,0.022164186062540402,1.0002340977492443,3.0949658367583317,11.212094847698156,0.07812072946721822
26,parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.weight,0.03476983014027892,9.14717478817813e-05,0.028970519682828825,0.04131631486359639,0.03460289205536021,0.9717671055956005,0.5347640314722055,-1.4953451277083152,0.0
27,parameters/encoder.roberta.encoder.layer.2.intermediate.dense.weight,0.014047680677079354,0.00010184262324713395,0.012256404190554345,0.016535811989090154,0.01444374508016517,1.0019442638082783,2.2957847774487252,5.487893487684703,0.0
28,parameters/encoder.roberta.encoder.layer.2.output.dense.weight,0.008299201428341752,1.3849876615950383e-05,0.00791672785524611,0.010419214096445513,0.009320493192767728,0.9321161117324822,4.1717694532703185,15.19104961379252,0.026317457579423498
29,parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.weight,0.037351096689967174,3.804285949213157e-05,0.030667320194428648,0.04260666670309443,0.03691272965227188,1.0689341620138906,0.2710383941684129,-0.8790944006182461,0.07231985935271878
30,parameters/encoder.roberta.encoder.layer.3.attention.self.query.weight,0.02721229820585201,2.8490497668046242e-05,0.023747516768655285,0.033116791168355954,0.027645953228038794,1.0598328664584689,2.029959792141186,1.9153672458953659,0.00938416543180138
