layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
fc2.bias,0.6156104459199748,0.0029965167422988694,0.5950769246582878,0.6440874210840756,0.614788901601126,0.9821911024141289,2.6619632109796107,6.250668001618576,0.0
fc1.bias,0.1014653459388667,0.005089578820518763,-0.5414861665835584,0.2985535985033574,-0.10603153242391515,0.9886689352671953,1.2095111486085106,0.09723625672422487,0.0
convs_code_file.2.bias,0.4850097530042582,0.0017875882434509958,0.47512201382345237,0.4982542034574983,0.48503144209340426,0.9540025479302631,1.054531585505987,-0.22234773833736698,0.0
convs_code_file.1.bias,0.5608395434252597,0.0025153275711549796,0.5374026145006774,0.5731130258283154,0.5600626926596226,0.9264540689220006,2.6598058428842783,5.139563937175144,0.006831836309002974
convs_code_file.0.bias,0.525263045589966,0.003289764939502828,0.5023115638056411,0.550766138094564,0.5260639501178617,1.0259354527036746,7.473314046452252,52.07331327567125,0.041513338275095346
convs_code_line.2.bias,0.4368938773555896,0.0020874146345182974,0.42513936847538497,0.45382841155064074,0.4360048698588728,0.9720012442525741,3.1180648822481345,8.715168621788102,0.0
convs_code_line.1.bias,0.5273128526124954,0.0038703375740410414,0.5096268191912701,0.539038443601302,0.5269629326441729,1.0562843337977332,5.532644193840088,31.68999162117305,0.017083389721740436
convs_code_line.0.bias,0.5171082753284535,0.0018754264551697818,0.49179646927021287,0.5415681092212317,0.517118926964256,0.955435608504994,1.4090119940649088,0.030087015121305793,0.05679690036326807
convs_msg.2.bias,0.5277723547571818,0.0027417812138818836,0.5125945679453414,0.5421801788678398,0.5287946309580063,1.0181052590249675,1.1398233918968141,0.35065036498452506,0.08495167754013953
convs_msg.1.bias,0.6028773366307605,0.0038632465082771533,0.5798483648447238,0.616977269503279,0.6032122918270844,1.04077571348951,1.0973365377666073,-0.3884887397767007,0.0
convs_msg.0.bias,0.41639887308295487,0.002102455822682683,0.4055221279867401,0.43137995649349353,0.4161264164406073,0.9560875605236973,4.057330300380283,16.89779597377989,0.0
