layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.039208991389913794,0.28376532554182365,4.286066514235446e-06,0.25264800217503625,0.32974228963894064,0.007150811587313949,0.005710909030180023,1.117518810512784,-412.9458872610665,0.2739979198064587,0.0019962022535457
fc1.bias,0.4153519363781657,0.4289038316809484,5.687727510302073e-06,0.3821953434967289,0.4812908591606283,0.09209448627953927,0.0,0.25396126901980953,-463.9724472513072,0.4179733866633738,0.0025624764738676
convs_code_file.2.bias,0.5178792253540386,0.33970575478907905,2.50131321976619e-05,0.30269585401339727,0.3776307640134843,0.019702190984359484,0.0,0.6468394101002871,-458.63440141009426,0.3289667005399239,0.0050404969213096
convs_code_file.1.bias,0.6943734456945757,0.3728259967089715,3.1007181002033555e-05,0.3331663799408532,0.44330461779926195,0.09928775575107979,0.0,-16.367761841433236,-70.1602356983882,0.4036401728327519,0.0054974753708317
convs_code_file.0.bias,0.23340207708216892,0.32451519475846513,4.418722382842799e-05,0.28270825854577614,0.3822407673811689,0.10905288197711019,0.0,1.3138179011550923,-460.0189602289637,0.297901602591193,0.006504778768655
convs_code_line.2.bias,0.04026944728950007,0.02062280931947047,9.166304009803495e-05,0.01643324563632595,0.024143436266884637,0.0148391649487356,0.09617608113427265,-0.06853543467058537,-464.3147925116281,0.0190696381245142,0.0098822294562572
convs_code_line.1.bias,0.016732968458522145,0.3191275956603199,1.595553615184497e-05,0.27186403134258286,0.371072097885551,0.010826192859888806,0.0,0.48756463632770203,-464.6204715155197,0.313541500965792,0.0038778795877066
convs_code_line.0.bias,0.04141644563189212,0.31734363226804674,2.9583279499365575e-05,0.2678157912597364,0.36173323094771775,0.007343746216775868,0.05110752332725328,-0.019075540558500213,-464.29700441998204,0.2988141087252965,0.0056599644187354
convs_msg.2.bias,0.04443542953719355,0.24048077535074364,6.0554656949153494e-05,0.19407107245795588,0.28581083353586567,0.01220031228993802,0.03508386564621388,0.6275638552568082,-463.17877058038556,0.2518471940796873,0.0083678606489232
convs_msg.1.bias,0.7311706224798109,0.33007722337777057,7.7640363057507e-05,0.27770238023759103,0.3746632589450655,0.1615909950545438,0.0,-1.2708143798457574,-451.6320469573263,0.3304760083699981,0.0093526986556926
convs_msg.0.bias,0.021084157164262964,0.16129049915043314,6.0936691070070554e-05,0.14487340673387358,0.19164971363037217,0.007355138077549145,0.0833426268446494,2.815654999925195,1837.179545576887,0.1555914774155236,0.0078026398028704
