Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
0,0,gradients/classifier.out_proj.bias,0.1298273770850227,0.19800924532557682,8.617742949157811e-06,0.1687108880727152,0.23819082211089768,0.031108708442513976,0.026323326859438504,0.22460729090406228,-467.3180761695883,0.1929151136889959,0.0030200849851271
1,1,gradients/classifier.out_proj.weight,0.04050538040558161,0.395257865131835,2.2001209462812067e-05,0.32513787764994506,0.46291031279811873,0.0005094323804742548,0.05437938861851838,0.4591042173111374,-465.66269091841957,0.389654336856195,0.0044954054066788
2,2,gradients/classifier.dense.bias,0.11227744050645648,0.3897484920430735,7.865108725522266e-05,0.332428979232042,0.43191553714803466,0.05587742756039748,0.0644345141173363,0.32944786253092345,-464.4194227354878,0.3784899791406039,0.0083823083101164
3,3,gradients/classifier.dense.weight,0.04774217788878776,0.2430421183635008,5.901698898589214e-05,0.1959628318885325,0.2824832389013656,0.006554262674706307,0.02467541437337769,0.3879113445576865,-451.96762618092384,0.2487687832021327,0.007562876200626
4,4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,0.035111369856062745,0.09871122915588255,5.8867762437512086e-06,0.08118633693436433,0.11492486566047329,0.007886881487655057,0.0,-3.3406210099912608,-450.5121474010613,0.1085187055630361,0.0024070608930099
5,5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,0.012239628734644539,0.39090412122264845,1.4121225254527195e-05,0.3495508428491716,0.43563247834310515,0.011229189523742971,0.0,0.1642502807162028,-464.0777918986614,0.3905011771658716,0.0040067457516646
6,6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,0.18274864323753068,0.14231689888764743,6.128818971558005e-05,0.12560573274790332,0.15928894357786744,0.07399928416496375,0.0,0.4850778341805536,-463.6368882911468,0.1511887112729812,0.0073895660098825
7,7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,0.006812844591005162,0.4105983299573126,3.006738406945687e-06,0.35013547653312943,0.46146923286371416,0.0022468399901442015,0.0031015606953273354,1.9366837860323296,-353.43629402845283,0.4390162740059449,0.0018006310405043
8,8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,0.06956387794535754,0.4480101101648985,1.7326203553101217e-05,0.3860978658153454,0.5071149950464375,0.014817280023577347,0.0,0.8370358090753477,-438.9118811792225,0.452079306391781,0.0043369069042247
9,9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,0.20607439797371108,0.3975277482614998,5.121089680217762e-05,0.35256905477113676,0.46733196778471586,0.04603677536522108,0.0,0.2775058214797353,-386.42936879937514,0.3784185930677275,0.006756868929275
