Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.04692135277345198,4.193160410415159,-6.43141782275761,5.397774480834424,-0.05811180166643033,1.0680602327863868,0.3584635019346946,-0.9197015728534017,0.0
1,parameters/conv2d_4.weights,0.03061897603592528,1.5501791452531561,-4.942564962003388,5.030353573178351,0.025828285945394734,1.0410739607050925,0.943128855015746,-1.0499888781986584,0.03388422476462951
2,parameters/conv2d_8.weights,0.036415929202989014,2.1027591033445776,-5.722097405433364,5.760413023989162,0.047150225710777906,1.0313122893596955,0.5905017610503323,-0.9531340629235578,0.09481095646484697
3,parameters/conv2d_1.weights,0.021294356821769892,1.5029161118134773,-5.774637822417622,4.462190657294414,-0.17600258142861447,1.0364857114329722,1.1443707458299868,0.2535858271691366,0.06817520966842432
4,parameters/conv2d_2.weights,0.024586072373433337,0.897183134914719,-6.538634944051766,6.065731343761699,-0.19237653078677686,0.9374236666765121,1.6349151949230527,1.9251843496687588,0.0
5,parameters/conv2d_5.weights,0.023022381422633555,0.766843167833967,-4.128862625749751,5.077601776303536,-0.055250567673247895,1.0694983525629962,1.0245608516712499,-0.23991106101045317,0.0
6,parameters/conv2d_6.weights,0.014139627661925358,0.5964059265526733,-3.674190105923338,4.303546878755465,-0.03575004342762031,1.0640794259290351,1.5796196784164145,1.808863485118631,0.0
7,parameters/conv2d_3.weights,0.025822860094605125,1.399615704624541,-8.086663444195432,6.020388494018746,-0.2112187268920863,1.0717590406360604,1.5479069144646131,2.1795962085757647,0.0
8,parameters/conv2d_7.weights,0.014272368253732562,0.6056084919355994,-3.9348994731612454,5.4505241946762775,-0.05052091689078452,1.0209181137509735,2.0611322275277733,2.432195506770608,0.0
9,parameters/conv2d_9.weights,0.02448624177261905,1.2443491524530734,-5.103128442229513,5.261454147766884,-0.172408602552721,1.0293502327922703,1.3621621472644285,0.17208374583590963,0.0
10,parameters/conv2d_10.weights,0.017549675418424806,0.9108620499038251,-3.872005056620001,5.906207135235324,-0.09202372861993306,1.0653554016557825,1.8833794494856206,1.6934071042205683,0.0
11,parameters/conv2d_11.weights,0.018286007938814533,0.8014400284040639,-4.6848120943514076,5.470456010247256,-0.07457559982686601,1.0029629046384914,1.939687115435919,2.8664881819732266,0.004973072606007965
12,parameters/dense.weights,0.03290298939926513,1.6196686038343986,-6.963852766186807,7.1702544689655525,0.006245945600539733,0.9945244343288966,1.253054342609459,0.3113068562500565,0.0
13,parameters/dense_1.weights,0.0724112896262525,5.1454591330901644,-11.72469548910533,9.821157402079509,0.013929810356732703,1.0186424734083073,0.38511248785213686,-1.3907351034656739,0.09640274107110558
14,parameters/dense_2.weights,0.10135716869412427,12.556543885750813,-7.401928003835984,4.649758574255911,-0.8423672615952462,1.0041101964294668,1.1292156272626783,0.3983312095216434,0.0
