Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/classifier.out_proj.bias,0.00026555919010481975,0.00030271201831046443,8.236535318140007e-09,4.0594512428275733e-05,0.0003453160464085233,9.075535972128592e-05,0.0734494952035298,-0.09268274058360167,-1.7957698152667636
1,gradients/classifier.out_proj.weight,0.0003140533179600732,0.00022884803093911312,7.14217768800028e-09,6.870916187932223e-05,0.00034276045772852046,8.451140566811251e-05,0.0,0.004630072167286385,-1.274892380892616
2,gradients/classifier.dense.bias,0.5958355337128922,0.1942974397867534,0.03297567049733263,0.030963470945375788,0.6622227216347502,0.18159204414657767,0.10304010542562675,-0.009784990658277128,1.5938859391655422
3,gradients/classifier.dense.weight,0.09347530281987164,0.0302603484588667,0.000533330829314238,0.010458849497470208,0.09570340680126069,0.023093956553919673,0.0,-0.20064852677140088,12.498225893807694
4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,0.4250455762144873,0.39833893215615335,0.030574042277613768,0.07412578996947698,0.6410900121212739,0.1748543458928424,0.0,-2.503106658728074,8.253490369487343
5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,6.913352725956129e-05,0.00023751979420264088,6.381295961840271e-09,1.4753449256854055e-05,0.000324928601619001,7.988301422605602e-05,0.0,-0.29610032220440335,-0.19308293244640556
6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,0.00013512698539313884,0.0005716951242398072,2.6148137384224433e-08,6.494470807324546e-05,0.0006727655335853472,0.00016170385704800905,0.0,0.049344392408067234,0.9402274274568209
7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,6.464406001505803e-11,5.982385727441915e-11,3.611131162170192e-22,5.6513404931333387e-11,1.1633269562918504e-10,1.900297650940555e-11,0.0,-0.08656253749351045,113.52266364222876
8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,0.0001864030897438018,0.00017445473506572174,1.5592108282358125e-08,1.317174948595843e-05,0.00038370574224324796,0.00012486836381692598,0.02681293718087756,-0.42656480841950223,74.1639041356897
9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,4.560281937136868e-07,2.466143199917581e-07,5.934538305992734e-14,7.968857002461726e-08,9.938668480774643e-07,2.436090783610646e-07,0.010918057717900984,2.247191778645039,178.71869035656934
10,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.weight,0.00031630556082267423,0.0004501907196183136,3.539678680469088e-08,6.936326660338854e-05,0.0008345691591431123,0.00018814033805818818,0.0,-0.3800647930314933,3.500595974880339
11,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.bias,1.0306958713338419e-10,1.9729293722211426e-10,1.278529158832744e-20,3.671250798949932e-11,3.70957096539646e-10,1.130720636953595e-10,0.0319069766210977,-0.3349456719138998,0.7204628806945766
12,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.bias,3.981569357503349e-07,2.759717803320211e-07,2.0068640349960548e-14,1.5190432200088026e-08,5.035271204637814e-07,1.4166382865770838e-07,0.0,0.04295586935511708,0.4184147238730738
13,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.weight,0.00023382339887049306,0.00020849674975073748,2.1747891663611515e-08,3.728691003239948e-05,0.000505655795539732,0.00014747166393442543,0.004249098604170316,-0.15347738107062775,9.554640286358804
14,gradients/encoder.roberta.encoder.layer.11.attention.self.value.bias,2.742298878140001,1.6190073582199858,0.5634647920630017,0.861152620716978,2.9425817675438926,0.7506429191453161,0.021538242583837693,-0.17987470083835516,0.16298311383393357
15,gradients/encoder.roberta.encoder.layer.11.attention.self.value.weight,8.152181260603325e-05,0.0001884001600228399,1.566033550638496e-09,4.863853341670371e-05,0.00020344857970509015,3.957314178377168e-05,0.0,0.3502599959441863,41.42710972270015
16,gradients/encoder.roberta.encoder.layer.11.attention.self.key.bias,7.984862157377343e-05,0.0007765041193114027,8.808383467443778e-08,5.050421680178627e-05,0.0010191922315734654,0.00029678920916095174,0.07134333175389532,-0.9018578806106237,4.8211820118822795
17,gradients/encoder.roberta.encoder.layer.11.attention.self.key.weight,5.363552571805708e-10,5.267922094061488e-10,2.076110279995967e-20,7.960802146974647e-11,5.545988993412478e-10,1.4408713613629656e-10,0.02913189281152928,-0.3773206905413816,36.92792824903832
18,gradients/encoder.roberta.encoder.layer.11.attention.self.query.bias,3.030558428232942e-07,4.6164197503306474e-07,2.7225949287524488e-14,6.889117184545408e-08,7.085077535139741e-07,1.6500287660378678e-07,0.0,0.16262283952514395,5.18653195878488
19,gradients/encoder.roberta.encoder.layer.11.attention.self.query.weight,0.6774052423562902,0.4533760987360298,0.02654018702375459,0.04843478673615668,0.7156409500996892,0.16291159266226152,0.0,-0.6982236295121227,129.1610571055774
