Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.011248359402108478,8.800230504753128e-05,0.00948428603719855,0.012522417058630156,0.010789643498547774,1.0082557621829,-1.286052091626685,0.4880619612997748,0.0
1,parameters/classifier.out_proj.weight,0.031159600990475458,3.537217876426038e-06,0.0268908195779766,0.034789126582777365,0.030384974417469963,0.9846637744321963,-1.3111390752131444,1.2244046723519286,0.034355213741996224
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.017176663459393386,1.350798579963421e-05,0.014618911427323482,0.019553851132399307,0.016869423502462053,0.9932851844340486,2.3029982673088982,3.6958752247787126,0.08115760865955272
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.0304502446716648,5.999567862445651e-05,0.027548946830842195,0.03638381319834153,0.030706454395700716,1.0088467305685551,3.435232329846865,9.894487753981158,0.0
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.011500404234021093,4.392376514175353e-06,0.009645641950679025,0.014048603222839125,0.01199642014732782,1.0450504835263068,4.5913596507429935,20.48508916521374,0.0
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.02224184057572805,4.115720081421903e-05,0.02033814650826909,0.026235832182997198,0.022862732681161443,1.0479797420418562,0.951436292328635,-0.2004158526011009,0.04492641237614774
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.03722284588298367,7.750661682361743e-06,0.032706504850877324,0.04386443055865435,0.03801129513968592,1.028147653055238,1.6650067775298354,1.5920390483296711,0.03759576795558282
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.050634814153027966,5.052453531580815e-05,0.043841995069907824,0.05990526694306761,0.05042332318458007,1.0229949747172487,1.877432079601832,1.7918858171599172,0.04337180704096926
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.015739131990784246,2.231821170668005e-05,0.014060360283215893,0.01865247673835965,0.016626621893432454,0.9757651261540782,2.096584874271272,2.7957668054181473,0.039130064127256926
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.04603668982038077,8.605320722154869e-05,0.03769122548416602,0.05269984576226879,0.046405832705064695,0.9639723098271494,3.649782571040352,12.870532442826718,0.02706109822982269
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,0.014118026270430744,1.5555478494381405e-05,0.011055163774066902,0.01568704309834912,0.013818055892782882,1.045952471704107,1.864319032781419,3.2709652969413137,0.07800169018521735
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,0.0077184856691045614,9.974462244017463e-06,0.0064952145500597564,0.008950666177499005,0.007655090994144566,0.9813553368731573,3.0877336030523783,9.201686224659094,0.0
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,0.011709641373730357,2.0453181464928603e-05,0.010177003998958534,0.01431198744146627,0.012382645038924407,1.026517437767067,5.173888555131541,23.370885334981434,0.04574444124820367
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,0.0031122607212091856,4.744839362859145e-05,0.0030255887333594323,0.004291104432781611,0.00366876949563124,0.9531914228997933,0.8226379226313425,-0.6733573942979016,0.0765767973637188
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,0.013021365605987469,2.7822636304603374e-05,0.009905586168708768,0.01435085691148515,0.011982398168771564,1.0507641729179968,1.737198084426542,2.2323276286093514,0.0
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,0.0011602843258125893,3.715459274148138e-05,0.0012330281705659211,0.001668062637118542,0.0014280495677566466,1.0305528091921614,2.1693221241677887,4.441204557969251,0.013108727873007374
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,0.023990498967019748,1.7927163233312697e-05,0.020517366010994034,0.026458506650036462,0.023877679697429047,1.002799613266912,2.252106944050681,2.654804001474136,0.0
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,0.0128782386329766,1.8650407374102566e-05,0.010388095783896743,0.014696638617564487,0.012264140592190612,0.9455598343716098,3.4759263492793733,12.099672660602755,0.06754159029822188
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,0.0368484669373158,5.354373384220514e-05,0.02960145932612226,0.04179502923136332,0.03631761150653349,1.066491798629238,1.1223769945331488,-0.6028489389488918,0.019339355381167725
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,0.042798842422979044,7.512615455801996e-05,0.035469351188841536,0.05053220132931498,0.04314879695571191,1.0488125333763088,3.0477691763154313,7.9377016967940905,0.0
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,0.017557137728358985,3.4920516814050415e-05,0.016459534309466447,0.020982969584209723,0.01841003465070229,1.0404834961230127,4.868759021097052,23.31466408471587,0.07276400218190521
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,0.04623546398409409,2.541358829700445e-05,0.04005168086603381,0.05139451082033716,0.045850818479251355,0.9248922797194917,0.6569737330963688,-1.000404132593665,0.03573953923583785
22,parameters/encoder.roberta.encoder.layer.2.attention.self.query.weight,0.03420273222670739,3.211823019475515e-05,0.02840383282122732,0.04163197344754462,0.03474494119482264,1.0709564588418063,1.8111260437767949,2.09848547098155,0.0
23,parameters/encoder.roberta.encoder.layer.2.attention.self.key.weight,0.015862384114485092,8.151095187385831e-05,0.013215537088723875,0.017037580712445013,0.014740567697844662,1.023008684534437,2.183861760531059,3.5563237945153783,0.0393190270270679
24,parameters/encoder.roberta.encoder.layer.2.attention.self.value.weight,0.00812447644953501,8.703541105036707e-05,0.0074161999598831045,0.010098114308028535,0.00852401717816044,1.0042889160883421,2.5340860294829732,5.8557716215046405,0.09530067939443167
25,parameters/encoder.roberta.encoder.layer.2.attention.output.dense.weight,0.021220181642786582,5.408284643367789e-05,0.018088240064953093,0.024392314586294966,0.02043654535188564,0.9443358662913685,3.4936394562261825,10.888493509216358,0.0
26,parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.weight,0.03201698595198109,0.0001014418403656268,0.026676826374029558,0.03804516350061119,0.031863264915722625,0.9935936450619068,0.680302379423883,-1.0118987752056556,0.0
27,parameters/encoder.roberta.encoder.layer.2.intermediate.dense.weight,0.01406897278222721,8.656288051255778e-05,0.012274981253398926,0.01656087536116344,0.014465637501130864,0.9735175461384268,2.3789354636790825,5.130751810272449,0.08173923550467073
28,parameters/encoder.roberta.encoder.layer.2.output.dense.weight,0.007486512529116963,1.8945761690225205e-05,0.0071414922013467086,0.009398925613518527,0.008407795577404916,1.0129012514008302,4.078519530956357,15.144207580160863,0.02687491223728059
29,parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.weight,0.0381738708732673,3.067387640528351e-05,0.03134286339297018,0.04354521117719012,0.0377258474368746,1.0080478927640188,0.16155785260085304,-1.2957741620723238,0.0
30,parameters/encoder.roberta.encoder.layer.3.attention.self.query.weight,0.031196856981975867,3.480940714294202e-05,0.027224745176043008,0.03796591489501568,0.031694009909095,1.0446280926242004,1.7731068529891993,2.327969288872251,0.006183869885643457
31,parameters/encoder.roberta.encoder.layer.3.attention.self.key.weight,0.0442462387856383,5.573955618196874e-05,0.03705326925579398,0.05167486211713296,0.04437475607612159,1.0700804711572718,2.2013036870609475,3.4164424661952064,0.0
32,parameters/encoder.roberta.encoder.layer.3.attention.self.value.weight,0.04261040985273532,7.426185331431291e-05,0.03667342577125908,0.04993238982287414,0.04314930150672291,1.0152887737791285,2.8428390052702066,4.588079926052678,0.027195804638923803
33,parameters/encoder.roberta.encoder.layer.3.attention.output.dense.weight,0.0033600851139535103,6.981720236536238e-05,0.001957775904574273,0.0026072014302910146,0.002311438878189109,0.9299522924530117,3.2923524086094216,9.106150668750235,0.0
34,parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.weight,0.038180285499154656,4.276241048042821e-05,0.031054360770883187,0.04306499631614134,0.037276787366286764,1.064230001822639,0.5297691453615828,-0.7475980538803889,0.045036011039125856
35,parameters/encoder.roberta.encoder.layer.3.intermediate.dense.weight,0.05705982895828155,1.515402751795504e-05,0.0482278055824752,0.06498107025187581,0.05806593410580986,1.0650325984253242,2.781098686243142,5.7699270602581505,0.029791027094316278
36,parameters/encoder.roberta.encoder.layer.3.output.dense.weight,0.022701078767711876,9.344840888739466e-05,0.019258958667274246,0.02717279273759061,0.022941830254773896,0.9955537276933922,4.500143057314819,19.945172991201794,0.07868938221091938
37,parameters/encoder.roberta.encoder.layer.3.output.LayerNorm.weight,0.0026651946130714396,9.475935434842277e-06,0.0027688567655447327,0.003627026346271977,0.003193185258867603,0.9537321303233499,0.4207916393992392,-0.41427123820131334,0.06607549694440874
38,parameters/encoder.roberta.encoder.layer.4.attention.self.query.weight,0.014307244593971575,4.2206969000124595e-05,0.012971814878514225,0.01632586520139321,0.014659621365862841,0.9387065567324677,2.156075108927392,2.096310641075869,0.0
39,parameters/encoder.roberta.encoder.layer.4.attention.self.key.weight,0.026329307329448264,3.8949996866387413e-05,0.02249998437915168,0.030079699782859882,0.026722767210651917,1.0146175548963758,2.2415481638749424,3.7154194163158856,0.0
40,parameters/encoder.roberta.encoder.layer.4.attention.self.value.weight,0.003051972043171869,2.8625453897645907e-06,0.00347652226110761,0.004510618781900416,0.004029398244702934,1.0322534455560302,1.7592587966172455,2.4747330964334022,0.033423315502323435
41,parameters/encoder.roberta.encoder.layer.4.attention.output.dense.weight,0.017078637942695065,3.963768800442315e-05,0.01589706652401699,0.0197270518674862,0.017888771686191244,0.997723692013578,2.9091329062099556,8.241248722056119,0.0
42,parameters/encoder.roberta.encoder.layer.4.attention.output.LayerNorm.weight,0.022664401140383206,8.785062819604483e-05,0.018583623469172025,0.024891605793661713,0.022314220465421586,0.9270840368339616,0.5114739165725037,-0.8463123991048775,0.0
43,parameters/encoder.roberta.encoder.layer.4.intermediate.dense.weight,0.04206012892629495,1.1913362896335707e-05,0.03411444297658931,0.045645118144877796,0.04134958013504227,0.9725541607703984,2.5928421543770224,6.621820478702984,0.06770073737494493
44,parameters/encoder.roberta.encoder.layer.4.output.dense.weight,0.028516051657464042,8.431692151850698e-05,0.02550284889873755,0.0325623834828602,0.028889020541419015,0.9852534776536882,5.390938230550827,31.96544799086578,0.050302455966882514
45,parameters/encoder.roberta.encoder.layer.4.output.LayerNorm.weight,0.020497572686180063,4.7075812204564136e-05,0.016308554167883016,0.02271101444129294,0.019902120844073657,0.9978507943922491,0.4841726614042561,-1.2681965002559914,0.023011355349492592
