layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
fc2.bias,0.5448126510904311,0.0032252865343578773,0.5266405712809605,0.5700146541379993,0.5440855878293919,1.0046084214433808,2.8004467282266714,6.568809198720869,0.0
fc1.bias,0.10110121093622551,0.00557437635993813,-0.5395429014729475,0.2974821606210575,-0.10565101046361457,1.0061170587493213,1.5295173344710453,0.11547896501063079,0.0
convs_code_file.2.bias,0.4035017880193761,0.002556499230404256,0.39527572573050224,0.414520451883584,0.4035198321642551,1.025805765851802,1.383735746819595,0.3634293075861937,0.0
convs_code_file.1.bias,0.5853463861948182,0.003070930248341498,0.5608853405885764,0.5981561793965913,0.5845355896067226,0.9396987458783869,2.441650725118471,4.85014395954872,0.049613417903311426
convs_code_file.0.bias,0.47624961200419286,0.0027096579451982997,0.4554397827453519,0.49937295565495343,0.47697578239418165,1.0089316988842674,7.435298419542767,52.21736291157081,0.03930636270105396
convs_code_line.2.bias,0.4752238632967475,0.0022632106907222293,0.4624380967508357,0.49364411402677316,0.4742568605553799,0.9828409495427475,3.1770212277915717,8.56880448823583,0.05468353659998302
convs_code_line.1.bias,0.5950451530075875,0.002751621667512371,0.5750873833247689,0.6082768731325021,0.5946502865064976,0.9302602189479083,5.622826279576048,31.188617374948798,0.024056521755239722
convs_code_line.0.bias,0.4491967876961897,0.002002292277021779,0.4272091643789478,0.4704443277887159,0.44920604045971035,0.9669211279599955,1.5614138235112611,0.10273644425393706,0.052725687009802354
convs_msg.2.bias,0.5617119012103027,0.0019710414593635582,0.54555807388419,0.5770462517130395,0.562799917100395,0.9411193318374229,1.0381566590923268,0.4622626730299867,0.07425814808417404
convs_msg.1.bias,0.5521877522968446,0.002835275706605711,0.5310950433897468,0.5651021708150861,0.552494544650347,0.9309075600669846,0.9759678483430769,-0.1256317353706897,0.0007605424337861957
convs_msg.0.bias,0.4345650945695358,0.0019432648637523343,0.4232138300323629,0.450199757268918,0.43428075146920203,0.9691808749227916,3.9955724381662896,17.42344589105901,0.0
