Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/classifier.dense.weight,0.011481438467323244,9.10864082575244e-05,0.0096808114543509,0.012781896077562253,0.011013217437709964,1.0212337312533872,-1.5301602146384456,0.6106453948757264,0.07919460095253376
1,parameters/classifier.out_proj.weight,0.028470837788271225,3.0574147125614e-06,0.024570409692738413,0.031787171473622096,0.027763053772896215,0.9437266826759318,-1.2253665494326338,1.8578408320420872,0.0
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,0.018698530568834294,1.3142206574057372e-05,0.015914159513755945,0.02128633910782329,0.018364068888297357,1.018975722786459,2.1398714938030166,3.1904136644927052,0.0
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,0.02652948907125061,5.8351980074533416e-05,0.024001760634566768,0.03169905480313017,0.026752709381860557,0.9619589758172806,3.4463599679864667,9.821922957890083,0.059918990900717575
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,0.011315101986096239,4.552050052031928e-06,0.009490224880133638,0.013822242678946706,0.011803125757398936,1.0115670748195722,4.374566500988711,20.001499934554758,0.07631663651997668
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,0.021647854580519574,3.210391657684178e-05,0.019795000173176924,0.025535183473809623,0.02225216526977447,0.9428801212741582,0.9210798260095923,0.02920288686684272,0.0
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,0.03085140921429353,8.347159784296766e-06,0.027108130536170814,0.03635615345939081,0.03150489956642016,0.9784632200638016,1.7168478777694218,1.0058321711790983,0.09899930356234109
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,0.0444122411402625,5.185182986187481e-05,0.03845419973756353,0.05254343687342663,0.0442267405504646,1.0490248289560618,1.796116445337206,2.353545169551205,0.0
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,0.012193857896227943,1.8945913568956188e-05,0.010893233207758294,0.014450965332359652,0.012881438746529288,0.9860760988233286,2.1695480506069305,3.0859497464091104,0.07779782509787792
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,0.04188108275623675,7.703248722675061e-05,0.03428894083925865,0.047942773692503424,0.0422169041144327,0.9653690189250888,3.40294455501323,13.05248122147972,0.0
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,0.012890658008852777,1.0579367921683142e-05,0.010094069292237301,0.014323270397539981,0.012616765930953356,0.9311339718504628,2.062556609307784,3.360979050820227,0.0
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,0.007610184511114935,1.3369804388258513e-05,0.0064040775981601995,0.00882507580221577,0.007547679352182104,1.0120624410356163,3.114708864861592,9.416465050339669,0.004569058147489875
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,0.012302826784858755,1.928781867867967e-05,0.010692549275581668,0.015037002143759085,0.013009923377674485,0.9538580349172866,5.051967193815296,23.41563295881923,0.08988817984604325
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,0.002640224989392619,4.495863733214002e-05,0.0025666985182193924,0.003640273797858883,0.0031123282303043938,0.9302657624464543,0.8981792332922858,-0.21624012194949002,0.03593656707614238
