Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/conv2d/kernel.gradient,0.6787623497103343,0.38024534723850706,5.362794166833175,-5.11754916793189,8.480623053103685,2.3157707500599387,0.06935615689439173,2.3221993718613563,10.821562238751909
1,gradients/conv2d/bias.gradient,0.47525792267463995,0.1816481020748782,4.031092883911019,-0.8209040183308818,5.713166661260018,2.0077581736631083,0.08480192802773404,4.573910394323719,12.232907729386143
2,gradients/conv2d_4/kernel.gradient,0.06489123899787351,0.0341698023223012,0.07163380097246567,-0.884295259855994,1.1946662745200267,0.2676449158352644,0.023725271637460972,2.1620096303023772,20.035291442373705
3,gradients/conv2d_4/bias.gradient,0.022551068475002746,0.01507606421389122,0.007354893753967078,-0.06368907588221455,0.15788414666917272,0.0857606772009596,0.0,3.0072926260219255,8.0555121716893
4,gradients/batch_normalization/gamma.gradient,0.24731314440371935,0.17448910961979575,0.34390254566380135,-0.4375670655467802,1.4220174528565168,0.5864320469276908,0.08354078632452815,2.7147071802675895,6.830031965432444
5,gradients/batch_normalization/beta.gradient,0.5007370582718924,0.40089124189227593,1.0261860592240157,-1.2407153124748163,0.6125445276307852,1.0130084201150629,0.07395332993311468,1.8953608907865425,4.306811202258554
6,gradients/batch_normalization_4/gamma.gradient,0.0389302501095976,0.02970259717392818,0.014706227277563114,-0.12335518612940212,0.18702312973550708,0.12126923467047719,0.016465637238956107,2.2864153254913777,6.507546401659771
7,gradients/batch_normalization_4/beta.gradient,0.016295076625635063,0.014060777355935231,0.002308884519020226,-0.043413110276452456,0.05192911106901929,0.04805085346817797,0.062121976217154366,2.422350069470196,4.959381693585231
8,gradients/conv2d_8/kernel.gradient,0.15702219760344294,0.07732439426621152,0.3709599558761069,-1.483053674996555,2.9568783525779807,0.6090648207507202,0.0,2.408578739698873,13.746935455123202
9,gradients/conv2d_8/bias.gradient,0.05582314158197698,0.04125413258617611,0.04564761642642398,-0.2738731649564532,0.2756124648507987,0.21365302812369452,0.023050257051055695,2.1686413528778536,9.113111262419473
10,gradients/batch_normalization_8/gamma.gradient,0.11335685643365155,0.07600056471134857,0.1841666371358975,-0.3367178966120586,0.726143994710875,0.4291464052463885,0.05165154577036798,3.372923795826304,8.916596770206644
11,gradients/batch_normalization_8/beta.gradient,0.07181806059094274,0.06660730775611941,0.05637845262263457,-0.17680032139606036,0.26290705079640964,0.23744147199390983,0.0,1.877354329283981,5.603458064425689
12,gradients/conv2d_1/kernel.gradient,0.04158636045678734,0.02224065589310669,0.031749129517240224,-0.6694529446459707,2.3631270234519026,0.1781828541617861,0.0,5.980684652782392,67.25297169241622
13,gradients/conv2d_1/bias.gradient,0.03561082737722388,0.0024891210166066323,0.041331250891080015,-0.1405019705939351,0.7241707633260982,0.2033008875806499,0.0,5.262772141228285,21.37411927274083
14,gradients/conv2d_2/kernel.gradient,0.020718262039494926,0.0014238627099346232,0.015775990277917068,-0.6405836362641463,1.5449482466082178,0.1256025090430805,0.0005030895178170543,4.04574351883882,52.826670490298845
15,gradients/conv2d_2/bias.gradient,0.020666403567141067,0.004287074985995499,0.009208655106283867,-0.18043521871796112,0.21892865283500992,0.09596173772021799,0.06839535885820139,2.314723084045734,16.49174250231143
16,gradients/conv2d_5/kernel.gradient,0.012253334100805242,0.006857064312485178,0.0023638923201811414,-0.1494841647825217,0.27673220827312833,0.04861987577299296,0.0,3.2702892054535173,17.36686984683899
17,gradients/conv2d_5/bias.gradient,0.007857355159916313,0.00437034345134358,0.0012174980005889915,-0.03982649346405095,0.06750885581187327,0.03489266399387076,0.0,1.8618397650927936,10.520177379860893
18,gradients/conv2d_6/kernel.gradient,0.007868256782315468,0.0035718345301450436,0.0010664598351374003,-0.10728901004095875,0.20233996878995622,0.0326566966354154,0.0,2.118160899686688,17.469339123807107
19,gradients/conv2d_6/bias.gradient,0.005563308220066163,0.0024280518846444,0.0005687736719824022,-0.05878769319856071,0.060294039428565344,0.023848976329864775,0.05487364730920593,0.5869314235201926,25.784800111776725
20,gradients/batch_normalization_1/gamma.gradient,0.018829444221335197,0.009737311210316478,0.0068779301486029485,-0.09827671792908628,0.16413673959465971,0.08293328733749224,0.04731790702348187,2.2643277524300536,10.819956081264788
21,gradients/batch_normalization_1/beta.gradient,0.002524135926146326,0.0013271051933499358,0.00014582428872852808,-0.00444568193495963,0.03193701045309608,0.012075772800471193,0.0,4.742898631766281,14.304619519978836
22,gradients/batch_normalization_2/gamma.gradient,0.01997904244070825,0.010552316816097128,0.007508136602975399,-0.09278144731891712,0.12525255354198414,0.08664950434350777,0.0,1.6798634677108126,7.743895258289283
23,gradients/batch_normalization_2/beta.gradient,0.0026518439119337595,0.0017780153637309277,9.656619638186861e-05,-0.010664035343055078,0.018731183819384906,0.009826810081703299,0.0,3.020287259427891,8.09203207497621
24,gradients/conv2d_3/kernel.gradient,0.025446466851677212,0.0016571967987831597,0.022090617858169837,-0.6373197451061763,1.339736601318545,0.14862912856560082,0.08897122526385659,4.558271329176554,43.496382290485876
25,gradients/conv2d_3/bias.gradient,0.021757766954509164,0.004818431843301116,0.012028013713342672,-0.046921906622302216,0.40410061093467353,0.10967230148648628,0.0,5.622893383842127,19.493297563983226
26,gradients/batch_normalization_5/gamma.gradient,0.011738093188243566,0.006816176414526672,0.0016447600309511812,-0.04194575283320795,0.12599268049417595,0.04055564117297655,0.10170437999375803,3.5719216609376216,11.247460716304788
27,gradients/batch_normalization_5/beta.gradient,0.002259382918775545,0.0016535725969230963,4.753834613912984e-05,-0.01107079399692126,0.01405248843123742,0.006894805736141458,0.0,2.176683831680318,8.845867327383992
28,gradients/batch_normalization_6/gamma.gradient,0.012897783953148926,0.008418809609079472,0.0019010509764895815,-0.047886290171320456,0.0991755563861701,0.04360104329588599,0.09153625219726612,2.8758139431279215,7.498936142601834
29,gradients/batch_normalization_6/beta.gradient,0.0020091843230562816,0.0014090980229150435,4.3084901063827355e-05,-0.005926604230845946,0.015606504553883804,0.006563908977417874,0.0,2.8685703169133956,7.435777938802243
30,gradients/conv2d_7/kernel.gradient,0.005897564809642106,0.0022924444612478674,0.0007972556454411175,-0.08355184029660072,0.19492980422264708,0.028235715777029907,0.0,3.0625996888513862,25.0285067344726
31,gradients/conv2d_7/bias.gradient,0.004527645822662865,0.0010683067150062163,0.000724785993067866,-0.048532982781079946,0.05529999636352238,0.026921849733405022,0.0,0.28219589478039586,25.056544272560906
32,gradients/conv2d_9/kernel.gradient,0.02706722379077147,0.018773039504345532,0.016857612653902676,-0.5495124540474158,1.3524326678860268,0.12983686939349234,0.0,4.302029275775263,69.45977692336506
33,gradients/conv2d_9/bias.gradient,0.027474714254335217,0.01377842570971997,0.010185385811014627,-0.25155695853837906,0.20226147779262427,0.1009226724329806,0.03960118812032618,0.9035029196542643,16.369736701462614
34,gradients/conv2d_10/kernel.gradient,0.020717195153922247,0.011574416841520477,0.008021788926376085,-0.6497258712152951,0.9616105191791361,0.08956444007738845,0.027513986942446923,2.4991975442347893,65.39040324265008
35,gradients/conv2d_10/bias.gradient,0.017791958862785395,0.005934909967177874,0.012017815233399193,-0.16807962999957102,0.24030141287479317,0.10962579638661368,0.0,0.1583025552733241,16.663446291899863
36,gradients/batch_normalization_3/gamma.gradient,0.026344017934804145,0.010542509956771086,0.018202158323719624,-0.12968933285137058,0.32146804643062316,0.13491537467508893,0.0,3.397555761315225,14.416195023900185
37,gradients/batch_normalization_3/beta.gradient,0.003542541193536672,0.0016844047781332308,0.0002531159747672994,-0.00805777068769926,0.039096773954707065,0.01590961893847365,0.0,3.9404419839141487,11.605866436295225
38,gradients/batch_normalization_7/gamma.gradient,0.010658359995470837,0.0047218945397899965,0.0023389251923980484,-0.0397640735713396,0.10846857449929935,0.04836243575749816,0.0,3.459208721054373,11.264959595010776
39,gradients/batch_normalization_7/beta.gradient,0.0026274302325995486,0.0017625385523348932,9.644739652473891e-05,-0.009576181878068675,0.018951017417756583,0.009820763540821942,0.0,3.0359128159554225,7.45449359549008
