Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/classifier.out_proj.bias,0.12522794096979767,0.14471566063323446,0.0010520414843713647,0.09844740325243449,0.20860821284031247,0.032435188983130914,0.0007999374433678336,-0.2183841503854191,-1.9870438067239748
1,gradients/classifier.out_proj.weight,0.04181075551970314,0.041409598080536264,2.2686864216611297e-07,0.04056964134228141,0.04233805323966662,0.00047630729803982744,0.0832681421917046,0.10252075299297794,-0.717840850477762
2,gradients/classifier.dense.bias,0.1037689860698099,0.16717567353863488,0.0024829008732327813,0.06913238628878417,0.24311862908172124,0.04982871534800885,0.015459483580504158,0.061779485688551725,0.11920188723912814
3,gradients/classifier.dense.weight,0.042460809085489444,0.046090368235547734,3.138955016573749e-05,0.028905879044289075,0.0483809423980507,0.005602637786412361,0.09364112350738252,0.17180930432986832,13.086107260952835
4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,0.03608261182545728,0.04742527244623329,6.744326320049383e-05,0.028936001151541775,0.05426732611985543,0.00821238474503546,0.0044137602618026265,-3.5329722329277615,14.66309835335722
5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,0.011996339478087745,0.045518685575040366,0.00012667396004611333,0.005147656119603563,0.045865474599258334,0.011254952689647858,0.0,-0.2555780802962734,1.067531536433901
6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,0.16420247937354315,0.1523183786454034,0.0037720236335590657,0.06322650493329933,0.2666876578832353,0.06141680253447873,0.0,0.39655391115410715,1.3935829996264006
7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,0.008098692006925935,0.005953414665389134,5.549635059068382e-06,0.0011115030469318868,0.010095101580203774,0.0023557663422054936,0.0,1.5631010817277495,111.53740160057673
8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,0.07254447872455025,0.0670524584993171,0.0002960425999128991,0.04210441852043911,0.09727709001113104,0.017205888524367566,0.10518402781523178,0.4231568521118213,25.52426825979192
9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,0.19773540201556636,0.19190376835756573,0.0016485482522474604,0.07999704835680609,0.23146910958722977,0.04060231831124378,0.05635105021555009,-0.5189187435078116,78.80128812025362
10,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.weight,0.046792212111161996,0.040026836454495854,5.4690161909003445e-06,0.039853475670407354,0.04802302984552698,0.0023385927800495857,0.0,-0.5764565306510532,6.623609475215945
11,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.bias,0.0019662523148139045,0.0022110347105493353,4.447106546728466e-07,0.001079976057095229,0.003767243157460399,0.0006668662944494232,0.05279980754381165,0.16896568195479045,0.09083969228149325
12,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.bias,0.03063363942033545,0.03775545082119339,0.00012880282047927514,0.02397312334568222,0.06362155184223305,0.011349133027653932,0.0,0.08170600532054326,0.45633130502637376
13,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.weight,0.012872890005775675,0.0187961959622704,4.4783407234050546e-05,0.00800336675297966,0.028809699999342228,0.0066920405881950315,0.0,-0.14137119223184486,8.755439137825746
14,gradients/encoder.roberta.encoder.layer.11.attention.self.value.bias,0.06824970677394009,0.050429107803067516,0.00014578217508072317,0.026131894987142436,0.0686610166220985,0.012074028949809107,0.003361238209081343,0.08698738726824976,0.05303066185570801
15,gradients/encoder.roberta.encoder.layer.11.attention.self.value.weight,0.03303129098798388,0.03156060710460091,1.2468953482947892e-05,0.030530019903651572,0.041740121830468865,0.0035311405357117383,0.0,-0.19019571433582952,17.397504403708716
16,gradients/encoder.roberta.encoder.layer.11.attention.self.key.bias,0.015452783182413202,0.02258843831291816,6.744626904124395e-05,0.015168249268467281,0.0391724798409821,0.008212567749567828,0.0,-0.02692620894092701,4.040630645754576
17,gradients/encoder.roberta.encoder.layer.11.attention.self.key.weight,0.07135313485610113,0.03686379859601436,0.00021948155055573744,0.026187352505471807,0.07449243125661922,0.014814909738360636,0.08992680402935063,1.8115195801147204,107.27218474562574
18,gradients/encoder.roberta.encoder.layer.11.attention.self.query.bias,0.05569356165473265,0.02447544187651569,0.00016242704772862214,0.023423542313153665,0.06571202003903663,0.012744687039262386,0.0,0.35355766393051746,9.62420257634682
19,gradients/encoder.roberta.encoder.layer.11.attention.self.query.weight,0.0030113288873684454,0.0025827967006826517,1.6901985924776003e-06,0.0010620430090006426,0.005867419450467877,0.0013000763794783067,0.0,0.598814705177682,52.24681214197932
20,gradients/encoder.roberta.encoder.layer.10.output.LayerNorm.weight,0.008168666911456634,0.008100072990104967,3.157782636313074e-08,0.007806185174189482,0.008489544171821463,0.00017770150917510702,0.0,1.492116889272703,26.174742320022553
21,gradients/encoder.roberta.encoder.layer.10.output.LayerNorm.bias,0.04478127896626675,0.03521466836214776,0.00010074461918826478,0.022320155585779267,0.06018609550281221,0.010037161909039721,0.0,-0.07402164248292319,1.2511010118252768
22,gradients/encoder.roberta.encoder.layer.10.output.dense.bias,0.00383826351799834,0.0031500368513853664,4.079832955761277e-06,0.0010771163040394168,0.0090337801405501,0.0020198596376385072,0.0453877091490439,0.10299199822034344,1.0722006686136796
