layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.037207551190073504,0.24919091593515574,4.389986583228644e-06,0.2218649757540771,0.2895659750562875,0.007039912017642152,0.0,0.9351389493422362,-412.73679809719357,0.2535564885492846,0.0020520823663752
fc1.bias,0.38915959013821866,0.38456133547578736,7.750299831642572e-06,0.34268183413446995,0.43153229670557336,0.10141993171831318,0.0,0.5047401011529188,-463.4183160638984,0.3999841881596711,0.0027161894859729
convs_code_file.2.bias,0.4515882255980825,0.291174718690231,2.7061796017452346e-05,0.25945212554840025,0.32368168607763076,0.01901045055202072,0.0,0.6073712699709488,-458.7553925934119,0.323361699894322,0.0054336259386177
convs_code_file.1.bias,0.7296873440070465,0.4227686154362614,3.189969889077229e-05,0.37779631892852,0.5026883348743292,0.09765019613703387,0.07301249282064294,-16.56898985523672,-70.15230034045126,0.4355592345783736,0.0056695425141346
convs_code_file.0.bias,0.20615452690577873,0.3047763124324672,4.512305940339965e-05,0.26551231475591364,0.3589906834115978,0.10345390165539894,0.0739016139401201,0.9628641649128136,-460.0980764334228,0.3167603789513433,0.0069290503003964
convs_code_line.2.bias,0.035017642539974025,0.016921810871997015,0.00010182802133265121,0.013484112196510337,0.01981062114183503,0.016641238772405413,0.04270838269444845,0.14070466677152665,-464.24117443099226,0.0179941039890904,0.0092878516047863
convs_code_line.1.bias,0.019164686575058494,0.39405315346797576,1.7109446672080286e-05,0.33569293386677074,0.4581933130327529,0.010846347547260887,0.02333004524694046,0.14558784003051028,-464.63600790919935,0.3380311722801019,0.0040081950173526
convs_code_line.0.bias,0.03631914127715751,0.26199026240654094,3.1472143945496405e-05,0.22110142537691824,0.29863710646984004,0.00710178045945142,0.0,-0.034921133142991834,-464.78825881220274,0.281315533899211,0.0060367629817739
convs_msg.2.bias,0.04569555598824468,0.2611268755457873,8.24230685227593e-05,0.2107327403234331,0.3103486748556299,0.01432240085668292,0.051639022337105656,0.6640649396022151,-463.23160499006394,0.265927800935066,0.0083161090821707
convs_msg.1.bias,0.8037635783975825,0.3713898856745094,8.456712190039419e-05,0.3124597759050463,0.42155633606622844,0.1684100334139337,0.014411260421349987,-1.153470173742204,-451.337758380943,0.3382554962431377,0.0093657622982304
convs_msg.0.bias,0.01920105677571125,0.1367121454559411,5.2956430985772535e-05,0.1227967819457632,0.16244505202992637,0.0064043654287929495,0.06321496806170292,2.573579265091597,1837.023077319234,0.1448155608672209,0.0083536486385435
