layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.456608327971381e-07,1.119558185057683e-14,1.0653519617157445e-07,4.917674462791696e-07,-3.1558510518864194e-05,0.0200467691820429,0.6305821340870481,0.18465028619901752,0.02848534281887651,4.893976472932134e-07,1.0580917658963625e-07
fc1.bias,4.1693973721584764e-08,2.023490648009082e-16,1.0653646445526058e-08,6.412834033528168e-08,0.7224649448495858,0.1133428719451089,1.1386839723843971,1.2828507224508356,0.0,2.9224179802623174e-08,1.4224945159855913e-08
convs_code_file.2.bias,9.322256716960387e-05,3.810365399180267e-10,1.160095319468145e-05,0.00010121918775300038,0.8051789876384037,0.1374376907114736,0.0895300746049152,-0.6120942876200648,0.0,3.77890351144327e-05,1.952015727185688e-05
convs_code_file.1.bias,5.6707311603168876e-08,5.651854266826305e-16,1.0654589161748263e-08,9.118432413665029e-08,-0.0001044009550747,0.0706972257171937,1.78968007674701,3.6885492536586066,0.0,4.156455505555061e-08,2.3773628807622753e-08
convs_code_file.0.bias,4.9114067933662025e-09,4.047325381415944e-18,9.828777339138593e-10,8.060225200081523e-09,0.563354952842928,0.1337718840011416,-0.01702820328498178,-0.42655520769609956,0.0,2.4269088156626077e-09,2.011796555672552e-09
convs_code_line.2.bias,4.5108707428611484e-07,5.371102035973574e-14,9.567654653227773e-08,9.36788485283726e-07,1.953889443484899e-05,0.039087298509953,2.4137311713039495,9.098972178900185,0.0708379843909232,1.8880495944468577e-07,2.3175638148654235e-07
convs_code_line.1.bias,1.413056688752891e-06,6.592789007576119e-13,1.0850192547552658e-06,3.909544577103904e-06,6.742295416513179e-06,0.0432375307227778,2.0484251794914057,5.998151804011894,0.09082233398672641,3.62732699740548e-06,8.119599132701147e-07
convs_code_line.0.bias,2.398435754569712e-07,1.1144397781989309e-14,8.912289099926034e-08,4.060652532030165e-07,0.0005278906998377,0.0197473282303864,0.4772344634575999,-0.0983924731122973,0.0,1.016292885651588e-07,1.0556702980566097e-07
convs_msg.2.bias,2.606767347934409e-08,2.271512084465882e-16,1.1973441133936746e-08,7.023963356579071e-08,-0.0006588076272084,0.0546666985913124,4.945170502667224,29.87091534094822,0.0,1.759813715065137e-08,1.5071536366495233e-08
convs_msg.1.bias,2.2116735248445244e-07,1.5739161407567732e-14,1.116376274072347e-07,6.267216702886322e-07,6.062533815187235e-07,0.0751172360038982,1.1709644719388415,2.4328567230771427,0.09084163292522708,2.688982850950424e-07,1.2545581456260902e-07
convs_msg.0.bias,1.3396976482868926e-08,1.2848916509279573e-18,1.1553140871181781e-08,1.5548646075724155e-08,0.3357254763638286,0.0639204642931742,0.9158901235647832,-0.5373627898368125,0.0,1.515613560401737e-08,1.1335306131410643e-09
