Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.4978299726436973e-09,1.765295905855465e-18,1.1751529191888437e-09,6.266029783547396e-09,1.831291045712778e-06,0.020884424568294,-2.264230536011179,2.507896039205586,0.0,1.2728584372417075e-09,1.328644386529166e-09
1,parameters/classifier.out_proj.weight,1.204585099167049e-07,9.639549901194249e-18,1.0886886284463302e-07,1.207450374151235e-07,-4.371185445960871e-05,0.0187137944230178,-1.2715375646806153,2.6337266777905,0.0,1.1173341346174193e-07,3.1047624548738415e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.276521671686605e-07,2.023560404961974e-14,1.0217775091081116e-07,6.060811644729354e-07,-0.0113615072623671,0.1283658394965572,1.6926931186691225,3.4297546298692723,0.07452930728644462,3.311400408408348e-07,1.4225190350086613e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.8998741664661934e-08,3.5884705490393537e-16,1.116011470057326e-08,8.522102073091912e-08,0.0003445132038981,0.0755137771931206,2.901343918956654,10.792427685871747,0.0,4.6414448648494504e-08,1.8943258824815107e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.3685600783372047e-06,7.030351006270889e-12,9.075096819343005e-07,8.710288979344165e-06,-0.0002076929983255,0.0251005607441857,4.136932040760698,20.692872030977508,0.0,7.0475431332688325e-06,2.651480908147537e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.178432428484032e-08,9.715057837251454e-19,1.0162439167415292e-08,1.3676988071214787e-08,0.3357254763638286,0.0639204642931742,0.5448295264465762,-0.12014622277626119,0.01839539195114057,1.3331725788362897e-08,9.856499296023638e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.156264926533877e-06,2.447396918052767e-12,1.0755230043380088e-06,7.018220246244315e-06,8.546326140564047e-05,0.1016103293044025,1.1171973537527835,1.7890244355997431,0.05223269653340326,1.4716159019454484e-06,1.5644158392360924e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.5102203876624598e-07,1.125262555180548e-16,1.1904045603190138e-07,1.6368730585882065e-07,0.000112793106243,0.1006120468130983,1.5430120774442688,2.058305109545444,0.0,1.228261524388201e-07,1.0607839342583149e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.5518463110670152e-09,4.0220331317718925e-18,1.1966019461872162e-09,9.139137390509117e-09,3.158816936226893e-05,0.0397860407903909,1.5542965881493385,3.2234324388639757,0.0,4.002313778971495e-09,2.00550071846706e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.034231418642177e-07,1.9158390179341596e-15,9.997776606987996e-08,2.5664132765740027e-07,3.304292350580742e-06,0.0403816936415788,3.223255935387554,12.635042193843425,0.08344465053177821,1.1539277899869885e-07,4.3770298353268746e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.23276394983849e-09,6.994558155750483e-18,9.392586264703393e-10,9.12089660896704e-09,0.6156525901945613,0.0974861908782125,1.6045443323582023,2.6886643508093133,0.04814495993282219,3.3564808396098863e-09,2.644722699216401e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.0037717884144204e-08,2.3565716042003036e-16,8.772342358690402e-09,5.732828115473172e-08,-0.0113346586189311,0.0607580357729595,2.805740456631523,9.42989533795969,0.0,4.6385412800684926e-08,1.53511289623933e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.554011502805217e-05,4.9286152541577106e-11,9.875546122737523e-06,3.590154388548638e-05,-0.000112760096662,0.0509716953262455,4.513751088656554,23.167896597021524,0.08288261949251839,3.538025172219123e-05,7.020409713227361e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,1.7336208154454652e-06,1.2891831432028786e-13,8.375173589593536e-07,1.8030590596742772e-06,0.5109690259462994,0.1123735305669006,0.21317694562966819,-0.2757743968584564,0.0,1.1641287419938773e-06,3.5905196604431487e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,2.446126552226218e-07,2.5142867576276048e-14,1.0508450999040055e-07,6.847786111118217e-07,0.0001951886705329,0.0759863889472458,1.4685720000847158,2.2270487444109683,0.0,6.517800100411501e-07,1.585650263339178e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,3.5023411405232064e-06,5.532516991296528e-13,1.0888861708446658e-06,3.890765711422762e-06,-3.776269572425157e-05,0.0745593718141202,1.9956452779444378,4.611944990651366,0.0,3.3750712053381594e-06,7.438089130480037e-07
