Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/classifier.out_proj.bias,1.40692283091393e-06,3.074856141822771e-06,1.299161161339778e-12,9.925286386493934e-07,5.22820858425431e-06,1.1398075106524689e-06,0.0,0.27600229969237966,-2.2509541076664825
1,gradients/classifier.out_proj.weight,4.2013345631525246e-07,1.1628736102821354e-07,2.421331337456428e-14,9.294777431639754e-08,6.081248376547961e-07,1.5560627678395334e-07,0.0,-0.16210520780964094,-0.7665062911491338
2,gradients/classifier.dense.bias,2.0122491783578763e-07,1.4517775083123885e-07,2.3382674040159958e-14,1.0235688506688166e-07,7.091533401800467e-07,1.5291394324965912e-07,0.0,0.10006101635504436,0.7469093184265614
3,gradients/classifier.dense.weight,3.3780212399189797e-07,4.860685906495972e-07,2.4182153718980714e-14,1.1221036843005363e-07,6.93377894122965e-07,1.5550612116241826e-07,0.0,0.2726028477725646,11.025403506376307
4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,0.0001016435577223568,3.100122221204793e-05,6.234395981322234e-10,1.150864562892724e-05,0.00011106665985714334,2.4968772459458708e-05,0.008767740317564495,-2.543742134218014,9.721898727339202
5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,1.5031840435400156e-09,3.0958320716599976e-09,3.4146095783546042e-18,1.0456198093104707e-09,7.47310851890681e-09,1.8478662230677309e-09,0.08617391254851817,0.2423068642739755,-0.21252778490756125
6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,1.8039356161663848e-06,1.7292298422712337e-06,1.1317869721170778e-13,1.0361679001247285e-06,2.138115311872717e-06,3.3642041735261523e-07,0.008331911539436564,0.7827484677602151,2.0034937859067248
7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,2.3432972555732198e-06,2.4389825816252633e-06,2.1986518129753012e-13,1.0657655398512673e-06,2.767746100357498e-06,4.6889783673795094e-07,0.022871283670363802,2.8184981868184504,130.61054004193767
8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,3.7569690186245937e-07,3.5407056987243276e-07,7.21960730640883e-15,9.746087282350465e-08,3.963959672731004e-07,8.496827235155973e-08,0.0,1.8479052140338434,44.61572232754418
9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,4.663009148498038e-06,7.046646530378027e-06,4.793673538444098e-12,9.135715896855192e-07,8.334491833260361e-06,2.1894459432569005e-06,0.02808442602689081,0.509213407440405,137.37748921176484
