Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.5468606253197356,0.6565285879003757,-2.4189244709073763,2.4189244709073763,-0.009721798106668686,1.0144525763669896,0.8539011144113218,-1.163994557332836,0.0
1,parameters/conv2d_4.weights,0.44065662830236835,0.46788615436982783,-2.3094542696060905,2.3094542696060905,-0.01248009866872297,0.953774292545426,0.5212948237110456,-1.1628471999415375,0.03934246759105103
2,parameters/conv2d_8.weights,0.4285280098004688,0.40511045316946565,-2.544303906801976,2.544303906801976,-0.02470852896594473,1.0083526694327,0.9411028490672482,-1.1809388789141222,0.0
3,parameters/conv2d_1.weights,0.42533308870666486,0.44497158405175596,-2.5145612131974335,2.5145612131974335,-0.06413249533208844,1.0693897400333974,1.1880458888224388,-0.7133681920103758,0.012822363348555266
4,parameters/conv2d_2.weights,0.011338417150624069,0.00044381934058333413,-0.1007028039571047,0.1269938712536296,-0.0019150655982209184,1.0449398262225507,1.510872330220805,1.2179617232775926,0.0
5,parameters/conv2d_5.weights,0.305333963202073,0.2663713208850293,-2.253980351380563,2.253980351380563,-0.0656808271926775,0.9482232950189623,0.9164574031475065,-0.25075165513345565,0.01861220325806207
6,parameters/conv2d_6.weights,0.24547329178945498,0.2582863516067264,-2.169891094065561,2.169891094065561,-0.04121838379777266,0.9780041663039414,1.2728517643560604,0.33318116103216927,0.0
7,parameters/conv2d_3.weights,0.3042104763505337,0.19619932136401963,-2.832914301369026,2.832914301369026,-0.06703271163909467,1.0593056937432532,1.8086883492111163,2.2801226232848695,0.0
8,parameters/conv2d_7.weights,0.2937432823875911,0.1447442981566481,-2.715641757226478,2.715641757226478,-0.04883851367590077,0.9708003793132132,1.4469093995426499,1.5030595768285102,0.0
9,parameters/conv2d_9.weights,0.016241765875885605,0.0007521901522409484,-0.13317597176633117,0.09703825008720413,-0.003569568904597491,1.0176352260511494,1.300598015774738,-0.009149589596128466,0.0
10,parameters/conv2d_10.weights,0.24430766039932564,0.17709343081055406,-2.2048353788533714,2.2048353788533714,-0.07960056689292945,0.9332429013418212,1.6130572254458524,1.469468277277336,0.024936704015802953
11,parameters/conv2d_11.weights,0.23771645936900468,0.17863472780661901,-2.2826614995183836,2.2826614995183836,-0.08161292560007732,0.9778346504233177,1.9020741253531548,2.142438872851778,0.0
12,parameters/dense.weights,0.3674281240272337,0.2262710995621997,-2.4150262874011776,2.4150262874011776,-0.00788812062075417,0.9930078543116312,1.0510694774368294,-1.035815581127738,0.0
13,parameters/dense_1.weights,0.5956026834997608,0.46632239983906665,-2.462358289830113,2.462358289830113,-0.0012811337950774924,0.9300088421966393,0.10614547674245028,-1.9538239269269306,0.0
14,parameters/dense_2.weights,1.4282865997462848,2.559042041463131,-2.665348876969871,2.665348876969871,0.18873052640815613,1.0448143942191872,1.1114914777821334,0.3823393249322561,0.0
