Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.5602685355318522,0.5768330502223267,-2.4782315788141767,2.4782315788141767,-0.009960156821996463,0.9556310560716976,0.6723210879121994,-1.2519365785502061,0.020553995715004533
1,parameters/conv2d_4.weights,0.4563360249418145,0.48463576060241215,-2.3916290224364714,2.3916290224364714,-0.012924164194028176,1.018386566676826,0.5028765659975478,-0.966385289437754,0.0
2,parameters/conv2d_8.weights,0.38891361837256955,0.4241470087574127,-2.3091009595721856,2.3091009595721856,-0.022424399770935317,0.981782039282005,0.8011078839493837,-0.957061992698146,0.0
3,parameters/conv2d_1.weights,0.42548827308168663,0.325242479770104,-2.515478660301093,2.515478660301093,-0.06415589431390047,0.9300498266349713,0.891901156856053,-0.43053629613035727,0.025300028065347667
4,parameters/conv2d_2.weights,0.011390459719974693,0.00041016941435684473,-0.10116502302958319,0.12757676455028802,-0.0019238556200451733,0.9385196172241489,1.5661038073070643,0.8919901812937334,0.0
5,parameters/conv2d_5.weights,0.3196933898159061,0.27210772173252873,-2.359981875433918,2.359981875433918,-0.06876970406742249,0.9493272867133686,1.1503449455264891,-0.6356234484736926,0.0
6,parameters/conv2d_6.weights,0.27147213571324974,0.25743241321426774,-2.399711045046746,2.399711045046746,-0.04558395171490686,0.992429285558948,1.030862037199632,-0.00578807982264877,0.0
7,parameters/conv2d_3.weights,0.2945351477971517,0.21549392260464303,-2.7428142595882927,2.7428142595882927,-0.06490075511769919,1.0113344244720188,1.999567582870791,2.567389765149925,0.0
8,parameters/conv2d_7.weights,0.2639396995390934,0.1955223618462733,-2.4401091443936673,2.4401091443936673,-0.04388329333279649,0.9919264109990595,1.6223209933845908,1.706831839657417,0.022017269248948514
9,parameters/conv2d_9.weights,0.01879174777743984,0.0006176632960027197,-0.1540848015278934,0.11227340267909391,-0.004129996642112699,0.9516677331800305,1.247255664901392,0.2812476086467567,0.07158403878698737
10,parameters/conv2d_10.weights,0.275960374696374,0.21308936534453593,-2.4904957801883056,2.4904957801883056,-0.08991368600522699,0.938538189863446,1.6300865580809434,1.004515942901777,0.03622580580452862
11,parameters/conv2d_11.weights,0.27469404496968136,0.2238481161574848,-2.6377370850283692,2.6377370850283692,-0.09430808751906734,0.9929434436211673,1.882592339352342,1.8425754364688007,0.0
12,parameters/dense.weights,0.4271571490859735,0.2460876269014057,-2.8076123639830803,2.8076123639830803,-0.009170411559888843,0.9305632303713652,0.8300600947009527,-0.9311969911959799,0.05856779644177639
13,parameters/dense_1.weights,0.5877803500416012,0.5748361177783297,-2.43001896670394,2.43001896670394,-0.00126430805532313,0.9642361815055964,0.137568020861789,-1.6610411793623423,0.046214425586577956
14,parameters/dense_2.weights,1.5065634608759373,2.44164299538719,-2.8114226019083444,2.8114226019083444,0.19907385190683527,1.0688780262749444,1.0293577098785522,0.01690869885992613,0.08960725364970203
