word,value
defect,1.0
/v2/images,1.0
live_migrate,1.0
bufferedhttp,1.0
base_options,1.0
fix-nova-typos,1.0
c-mode,1.0
implication,1.0
test_services,1.0
persistant=,1.0
network_manager,1.0
ichihara,1.0
over-ridden,1.0
copy-paste,1.0
powering,1.0
flavor_swap,1.0
four,1.0
computedriver,1.0
mysqlpinglistener,1.0
prime,1.0
defining,1.0
ungracefully,1.0
set_default,1.0
validating,1.0
chance/simple,1.0
disparate,0.9960611416137876
garyk,0.9918938123930858
impacts,0.9849500833455281
clutter,0.9830222501266627
os-server-external-events,0.9807567815255742
user-id2,0.9788331920235646
netappcmodeiscsidriver._get_lun_handle,0.9763619513655523
usage_from_instance,0.9761441665835688
re-assigned,0.9699654060255902
nonetheless,0.9692077370369754
iscsi_target_count_by_host,0.9691024775536954
accessed,0.9678778339469168
virtapi/conductor,0.9661322306441251
amis,0.9655201134929312
interprets,0.9582292954730675
use_local,0.9464317403948824
fb8075a19d,0.9454133547409573
nova.virt.driver,0.9445946426171469
convert_image,0.9433864477007077
image-create,0.9424293670594618
denies,0.9420623998033131
decides,0.9417739885570128
viewing,0.9404226625251076
appearing,0.939086181083797
regressions,0.9309992445581496
kotton,0.9263909748547422
thorough,0.9252813431266415
subtransaction,0.9208056537537821
specifics,0.9200783715773316
imagenotfound,0.9105903996044746
backward,0.9090953577799209
h402,0.9085578495263679
fat32,0.9069684617235041
remote_consoles,0.9066662700263578
moseley,0.9060718602240204
safe_minidom_parse_string,0.8995242450354103
vendor-data,0.8926449127920972
deprecationwarning,0.8918325079772813
andrew,0.8908971447181306
floatingipnotfoundforaddress,0.8898995361221799
instance_create,0.8827137829794852
confirms,0.8817569907786533
minesweeper,0.8764025092330108
2.5,0.8759974129379252
vm-data/allowvssprovider=false,0.8722639407369919
flat_injected,0.870654179225124
thingee,0.87007478028643
computeapi,0.8658839055334598
permitted,0.8657584403862207
wind,0.865251347007086
nova/volume/iscsi.py,0.8621694512192193
'locations,0.861340328084302
fatal_exception_format_errors,0.8607840368190166
locating,0.8579523193548115
toomanyinstances,0.8544575030606791
executing,0.8524702179135732
xenhost,0.8495405126412182
re-created,0.8493524975585166
tenantid,0.8492401364574089
solved,0.8473542534953706
re-enable,0.8442532807153467
securitygrouprule,0.8422163581700666
shred,0.8420533813214788
swiftly,0.8366257760691552
quota_classes,0.836194110548457
xmlutils,0.8358503729021616
motivator,0.8352773147055481
entry_points,0.834516336629266
podoliaka,0.8310944621381575
lot,0.8100195723835455
fakelibvirt,0.8095010953970346
v1/v2,0.808833622040516
invalidinput,0.8074796409497883
xenapinfs-glance-integration,0.8074527215867912
nfs.py,0.807264303685241
i06831a37f8c857bbfd0bce1b1c3aeda7d341a589,0.8066924670516876
inherits,0.8059929742884785
superceded,0.8022924725938891
riedemann,0.801871522382105
512,0.8018409411700583
terminates,0.800437242696551
framework,0.7980286673489637
catalogue,0.7957591409594323
subject,0.7957254632809319
bubbled,0.7929508693042222
tools/test-requires,0.7923071829535476
disconnects,0.7907950401646134
